| Government | Faroe Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Faroe Islands |
| Country name: | local long form: none |
| Country name: | local short form: Foroyar |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1948 |
| Government type: | NA |
| Capital: | name: Torshavn |
| Capital: | geographic coordinates: 62 00 N, 6 46 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark); there are no first-order administrative divisions as defined by the US Government, but there are 34 municipalities |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark) |
| National holiday: | Olaifest (Olavsoka), 29 July |
| Constitution: | 5 June 1953 (Danish Constitution), 23 March 1948 (Home Rule Act), and 24 June 2005 (Takeover Act ) serve as the Faroe Islands’ constitutional position in the Unity of the Realm (2013) |
| Legal system: | the laws of Denmark, where applicable, apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Dan Michael KNUDSEN, chief administrative officer (since 2008) |
| Executive branch: | head of government: Prime Minister Kaj Leo JOHANNESSEN (since 26 September 2008) |
| Executive branch: | cabinet: Landsstyri appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; high commissioner appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually elected prime minister by the Faroese Parliament; election last held on 14 November 2011 (next to be held no later than November 2015) |
| Executive branch: | election results: Kaj Leo JOHANNESSEN reelected prime minister in 2011 |
| Legislative branch: | unicameral Faroese Parliament or Logting (33 seats; members elected by popular vote on a proportional basis from the seven constituencies to serve four-year terms) |
| Legislative branch: | elections: last held on 29 October 2011 (next to be held no later than October 2015) |
| Legislative branch: | election results: percent of vote by party - Union Party 24.7%, People's Party 22.5%, Republican Party 18.3%, Social Democratic Party 17.7%, Progressive Party 6.3%, Center Party 6.2%, Independence Party 4.2%, other 0.1%; seats by party - Union Party 8, People's Party 8, Republican Party 6, Social Democratic Party 6, Progressive Party 2, Center Party 2, Independence Party 1 |
| Legislative branch: | note: election of two seats to the Danish Parliament was last held on 15 September 2011 (next to be held no later than September 2015); results - percent of vote by party - NA; seats by party - Social Democratic Party 1, Union Party 1 |
| Judicial branch: | the Faroese Court or Raett (Rett - Danish) decides both civil and criminal cases; the Court is part of the Danish legal system |
| Political parties and leaders: | Center Party (Midflokkurin) [Jenis av RANA] |
| Political parties and leaders: | Independence Party (Sjalvstyrisflokkurin) [Kari P. HOJGAARD] |
| Political parties and leaders: | People's Party (Folkaflokkurin) [Jorgen NICLASEN] |
| Political parties and leaders: | Progressive Party (Framsokn) [Poul MICHELSEN] |
| Political parties and leaders: | Republican Party (Tjodveldi) [Hogni HOYDAL] |
| Political parties and leaders: | Social Democratic Party (Javnadarflokkurin) [Aksel JOHANNESEN] |
| Political parties and leaders: | Union Party (Sambandsflokkurin) [Kaj Leo JOHANNESEN] |
| Political pressure groups and leaders: | conservationists |
| International organization participation: | Arctic Council, IMO (associate), NC, NIB, UNESCO (associate), UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | white with a red cross outlined in blue extending to the edges of the flag; the vertical part of the cross is shifted toward the hoist side in the style of the Dannebrog (Danish flag); referred to as Merkid, meaning "the banner" or "the mark," the flag resembles those of neighboring Iceland and Norway, and uses the same three colors - but in a different sequence; white represents the clear Faroese sky as well as the foam of the waves; red and blue are traditional Faroese colors |
| National symbol(s): | ram |
| National anthem: | name: "Mitt alfagra land" (My Fairest Land) |
| National anthem: | lyrics/music: Simun av SKAROI/Peter ALBERG |
| National anthem: | note: adopted 1948; the anthem is also known as "Tu alfagra land mitt" (Thou Fairest Land of Mine); as an autonomous overseas division of Denmark, the Faroe Islands are permitted their own national anthem |
