| Government | Austria |
| --- | --- |
| Country name: | conventional long form: Republic of Austria |
| Country name: | conventional short form: Austria |
| Country name: | local long form: Republik Oesterreich |
| Country name: | local short form: Oesterreich |
| Government type: | federal republic |
| Capital: | name: Vienna |
| Capital: | geographic coordinates: 48 12 N, 16 22 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 9 states (Bundeslaender, singular - Bundesland); Burgenland, Karnten (Carinthia), Niederoesterreich (Lower Austria), Oberoesterreich (Upper Austria), Salzburg, Steiermark (Styria), Tirol (Tyrol), Vorarlberg, Wien (Vienna) |
| Independence: | 12 November 1918 (republic proclaimed); notable earlier dates: 976 (Margravate of Austria established); 17 September 1156 (Duchy of Austria founded); 11 August 1804 (Austrian Empire proclaimed) |
| National holiday: | National Day, 26 October (1955); note - commemorates the passage of the law on permanent neutrality |
| Constitution: | several previous; latest adopted 1 October 1920, revised 1929, replaced May 1934 (authoritarian-corporate constitution), replaced by German Weimar constitution in 1938 following German annexation; latest reinstated 1 May 1945 (1920 constitution with 1929 revisions); amended many times, last in 2008 (2013) |
| Legal system: | civil law system; judicial review of legislative acts by the Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 16 years of age; universal; note - reduced from 18 years of age in 2007 |
| Executive branch: | chief of state: President Heinz FISCHER (SPOe) (since 8 July 2004) |
| Executive branch: | head of government: Chancellor Werner FAYMANN (SPOe) (since 2 December 2008); Vice Chancellor Michael SPINDELEGGER (OeVP) (since 21 April 2011) |
| Executive branch: | cabinet: Council of Ministers chosen by the president on the advice of the chancellor |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected for a six-year term (eligible for a second term) by direct popular vote and formally sworn into office before the Federal Assembly or Bundesversammlung; presidential election last held on 25 April 2010 (next to be held on 25 April 2016); chancellor formally chosen by the president but determined by the coalition parties forming a parliamentary majority; vice chancellor chosen by the president on the advice of the chancellor |
| Executive branch: | election results: Heinz FISCHER reelected president; percent of vote - Heinz FISCHER 79.33%, Barbara ROSENKRANZ 15.24%, Rudolf GEHRING 5.43% |
| Executive branch: | note: government coalition - SPOe and OeVP |
| Legislative branch: | bicameral Federal Assembly or Bundesversammlung consists of Federal Council or Bundesrat (62 seats; delegates appointed by state parliaments with each state receiving 3 to 12 seats in proportion to its population; members serve five- or six-year terms) and the National Council or Nationalrat (183 seats; members elected by popular vote for a five-year term under a system of proportional representation with partially open party lists) |
| Legislative branch: | elections: National Council - last held on 29 September 2013 (next to be held by September 2018) |
| Legislative branch: | election results: National Council - percent of vote by party - SPOe 27.1%, OeVP 23.8%, FPOe 21.4%, Greens 11.5%, Team Stronach for Austria 5.8%, NEOS - The New Austria 4.8%, other 5.6%; seats by party - SPOe 53, OeVP 46, FPOe 42, Greens 22; Team Stronach for Austria 11, NEOS - The New Austria 9 |
