| Government | Austria |
| --- | --- |
| Country name: | conventional long form: Republic of Austria |
| Country name: | conventional short form: Austria |
| Country name: | local short form: Oesterreich |
| Country name: | local long form: Republik Oesterreich |
| Government type: | federal republic |
| Capital: | Vienna |
| Administrative divisions: | 9 states (Bundeslaender, singular - Bundesland); Burgenland, Kaernten, Niederoesterreich, Oberoesterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien |
| Independence: | 1156 (from Bavaria) |
| National holiday: | National Day, 26 October (1955); note - commemorates the State Treaty restoring national sovereignty and the end of occupation and the passage of the law on permanent neutrality |
| Constitution: | 1920; revised 1929 (reinstated 1 May 1945) |
| Legal system: | civil law system with Roman law origin; judicial review of legislative acts by the Constitutional Court; separate administrative and civil/penal supreme courts; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal; compulsory for presidential elections |
| Executive branch: | chief of state: President Thomas KLESTIL (since 8 July 1992) |
| Executive branch: | head of government: Chancellor Wolfgang SCHUESSEL (OeVP)(since 4 February 2000); Vice Chancellor Hubert GORBACH (since 21 October 2003) |
| Executive branch: | cabinet: Council of Ministers chosen by the president on the advice of the chancellor |
| Executive branch: | elections: president elected by direct popular vote for a six-year term; presidential election last held 19 April 1998 (next to be held in the spring of 2004); chancellor traditionally chosen by the president from the plurality party in the National Council; vice chancellor chosen by the president on the advice of the chancellor |
| Executive branch: | note: government coalition - OeVP and FPOe |
| Executive branch: | election results: Thomas KLESTIL reelected president; percent of vote - Thomas KLESTIL 63%, Gertraud KNOLL 14%, Heide SCHMIDT 11%, Richard LUGNER 10%, Karl NOWAK 2% |
| Legislative branch: | bicameral Federal Assembly or Bundesversammlung consists of Federal Council or Bundesrat (64 members; members represent each of the states on the basis of population, but with each state having at least three representatives; members serve a four- or six-year term) and the National Council or Nationalrat (183 seats; members elected by direct popular vote to serve four-year terms) |
| Legislative branch: | election results: National Council - percent of vote by party - OeVP 42.3%, SPOe 36.9%, FPOe 10.2%, Greens 9%; seats by party - OeVP 79, SPOe 69, FPOe 19, Greens 16 |
| Legislative branch: | elections: National Council - last held 24 November 2002 (next to be held in the fall of 2006) |
| Judicial branch: | Supreme Judicial Court or Oberster Gerichtshof; Administrative Court or Verwaltungsgerichtshof; Constitutional Court or Verfassungsgerichtshof |
| Political parties and leaders: | Austrian People's Party or OeVP [Wolfgang SCHUESSEL]; Freedom Party of Austria or FPOe [Herbert HAUPT]; Social Democratic Party of Austria or SPOe [Alfred GUSENBAUER]; The Greens Alternative or GA [Alexander VAN DER BELLEN] |
| Political pressure groups and leaders: | Austrian Trade Union Federation (primarily Socialist) or OeGB; Federal Economic Chamber; OeVP-oriented League of Austrian Industrialists or VOeI; Roman Catholic Church, including its chief lay organization, Catholic Action; three composite leagues of the Austrian People's Party or OeVP representing business, labor, and farmers |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CE, CEI, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNITAR, UNMIBH, UNMIK, UNMISET, UNMOGIP, UNMOT, UNOMIG, UNTSO, UPU, WCL, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Eva NOWOTNY |
| Diplomatic representation in the US: | chancery: 3524 International Court NW, Washington, DC 20008-3035 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 895-6750 |
| Diplomatic representation in the US: | telephone: [1] (202) 895-6700 |
| Diplomatic representation from the US: | chief of mission: Ambassador William Lee LYONS BROWN, Jr. |
| Diplomatic representation from the US: | embassy: Boltzmanngasse 16, A-1090, Vienna |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [43] (1) 31339, 31375, 31335 |
| Diplomatic representation from the US: | FAX: [43] (1) 5125835 |
| Flag description: | three equal horizontal bands of red (top), white, and red |
