| Government | GUINEA-BISSAU |
| --- | --- |
| Country name: | `conventional long form: Republic of Guinea-Bissau |
| Country name: | conventional short form: Guinea-Bissau |
| Country name: | local long form: Republica da Guine-Bissau |
| Country name: | local short form: Guine-Bissau |
| Country name: | former: Portuguese Guinea |
| Country name: | note: the country is named after the Guinea region of West Africa that lies along the Gulf of Guinea and stretches north to the Sahel; "Bissau" distinguishes the country from neighboring Guinea |
| Government type: | republic |
| Capital: | name: Bissau |
| Capital: | geographic coordinates: 11 51 N, 15 35 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 regions (regioes, singular - regiao); Bafata, Biombo, Bissau, Bolama/Bijagos, Cacheu, Gabu, Oio, Quinara, Tombali |
| Independence: | 24 September 1973 (declared); 10 September 1974 (from Portugal) |
| National holiday: | Independence Day, 24 September (1973) |
| Constitution: | promulgated 16 May 1984; amended 1991, 1993, 1996; note - constitution suspended following military coup in April 2012 and restored in 2014 (2015) |
| Legal system: | mixed legal system of civil law which incorporated Portuguese law at independence and influenced by early French civil code and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jose Mario VAZ (since 17 June 2014) |
| Executive branch: | head of government: Prime Minister Carlos CORREIA (since 17 September 2015); the initial appointment of Baciro DJA in August was nullified by the Supreme Court and he resigned |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in two rounds if needed for a 5-year term (no term limits); election last held on 13 April 2014 with a runoff on 18 May 2014 (next to be held in 2019); prime minister appointed by the president after consultation with party leaders in the National People's Assembly |
| Executive branch: | election results: first round - Jose Mario VAZ (PAIGC) 41%, Nuno Gomez NABIAM (independent) 25.1%, other 33.9%; Jose Mario VAZ elected president in second round - Jose Mario VAZ 61.9%, Nuno Gomez NABIAM 38.1% |
| Legislative branch: | description: unicameral National People's Assembly or Assembleia Nacional Popular (102 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 13 April 2014 (next to be held in 2018) |
| Legislative branch: | election results: percent of vote by party - PAIGC 48.0%, PRS 30.8%, other parties 21.2%; seats by party - PAIGC 57, PRS 41, other 4 |
| Judicial branch: | highest court(s): Supreme Court or Suprema Tribunal Justica (consists of 9 judges and organized into Civil, Criminal, and Social and Administrative Disputes Chambers); note - the Supreme Court has both appellate and constitutional jurisdiction |
| Judicial branch: | judge selection and term of office: judges nominated by the Higher Council of the Magistrate, a major government organ responsible for judge appointments, dismissals, and judiciary discipline; judges appointed by the president with life tenure |
| Judicial branch: | subordinate courts: Appeal Court; regional (first instance) courts; military court |
| Political parties and leaders: | African Party for the Independence of Guinea-Bissau and Cabo Verde or PAIGC [Domingos Simoes PEREIRA] |
| Political parties and leaders: | Democratic Convergence Party or PCD [Vicente FERNANDES] |
| Political parties and leaders: | New Democracy Party or PND [Mamadu Iaia DJALO] |
| Political parties and leaders: | Party for Social Renewal or PRS [Filomeno Mendes PEREIRA] |
| Political parties and leaders: | Republican Party for Independence and Development or PRID [Aristides GOMES] |
| Political parties and leaders: | Union for Change or UM [Agnelo REGALA] |
| Political pressure groups and leaders: | Chamber of Commerce of Agriculture, Industry, and Services [Braima CAMARA] |
| International organization participation: | ACP, AfDB, AOSIS, AU (suspended), CPLP, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: none; note - Guinea-Bissau does not have official representation in Washington, DC |
| Diplomatic representation from the US: | the US Embassy suspended operations on 14 June 1998 in the midst of violent conflict between forces loyal to then President VIEIRA and military-led junta; the US Ambassador to Senegal, currently Ambassador James P. ZUMWALT, is accredited to Guinea-Bissau |
| Flag description: | two equal horizontal bands of yellow (top) and green with a vertical red band on the hoist side; there is a black five-pointed star centered in the red band; yellow symbolizes the sun; green denotes hope; red represents blood shed during the struggle for independence; the black star stands for African unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the flag design was heavily influenced by the Ghanaian flag |
| National symbol(s): | black star; national colors: red, yellow, green, black |
| National anthem: | name: "Esta e a Nossa Patria Bem Amada" (This Is Our Beloved Country) |
| National anthem: | lyrics/music: Amilcar Lopes CABRAL/XIAO He |
| National anthem: | note: adopted 1974; a delegation from then Portuguese Guinea visited China in 1963 and heard music by XIAO He; Amilcar Lopes CABRA, the leader of Guinea-Bissau's independence movement, asked the composer to create a piece that would inspire his people to struggle for independence |
