| Government | Saint Pierre and Miquelon |
| --- | --- |
| Country name: | conventional long form: Territorial Collectivity of Saint Pierre and Miquelon |
| Country name: | conventional short form: Saint Pierre and Miquelon |
| Country name: | local long form: Departement de Saint-Pierre et Miquelon |
| Country name: | local short form: Saint-Pierre et Miquelon |
| Dependency status: | self-governing territorial overseas collectivity of France |
| Government type: | parliamentary representative democracy |
| Capital: | name: Saint-Pierre |
| Capital: | geographic coordinates: 46 46 N, 56 11 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | none (territorial overseas collectivity of France); note - there are no first-order administrative divisions as defined by the US Government, but there are two communes - Saint Pierre, Miquelon at the second order |
| Independence: | none (territorial collectivity of France; has been under French control since 1763) |
| National holiday: | Fete de la Federation, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) (2013) |
| Legal system: | French civil law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Francois HOLLANDE (since 15 May 2012); represented by Prefect Patrice LATRON (since 16 November 2011) |
| Executive branch: | head of government: President of the Territorial Council Stephane ARTANO (since 21 February 2007) |
| Executive branch: | cabinet: NA |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: French president elected by popular vote for a five-year term; election last held on 6 May 2012 (next to be held in 2017); prefect appointed by the French president on the advice of the French Ministry of Interior; president of the Territorial Council elected by the members of the council |
| Legislative branch: | unicameral Territorial Council or Conseil Territorial (19 seats, 15 from Saint Pierre and 4 from Miquelon; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: elections last held on 18 March 2012 (next to be held in March 2018) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Legislative branch: | note: Saint Pierre and Miquelon elect one member to the French Senate; elections last held on 21 September 2008 (next to be held in September 2014); results - percent of vote by party - NA; seats by party - UMP 1; Saint Pierre and Miquelon also elects one member to the French National Assembly; elections last held on 17 June 2012 (next to be held by June 2017); results - percent of vote by party - NA; seats by party - PRG 1 |
| Judicial branch: | highest court(s): Superior Tribunal of Appeals or Tribunal Superieur d'Appel (composition NA) |
| Judicial branch: | judge selection and term of office: judge selection and tenure NA |
| Judicial branch: | subordinate courts: NA |
| Political parties and leaders: | Archipelago Tomorrow or AD (affiliated with UDF/RPR list) |
| Political parties and leaders: | Cap sur l'Avenir (affiliated with PRG) |
| Political parties and leaders: | Left Radical Party or PRG |
| Political parties and leaders: | Rassemblement pour la Republique or RPR (now UMP) |
| Political parties and leaders: | Saint Pierre and Miquelon 2000/Avenir Miquelon or SPM 2000/AM |
| Political parties and leaders: | Socialist Party or PS |
| Political parties and leaders: | Union pour la Democratie Francaise or UDF |
| Political pressure groups and leaders: | NA |
| International organization participation: | UPU, WFTU (NGOs) |
| Diplomatic representation in the US: | none (territorial overseas collectivity of France) |
| Diplomatic representation from the US: | none (territorial overseas collectivity of France) |
| Flag description: | a yellow three-masted sailing ship facing the hoist side rides on a blue background with scattered, white, wavy lines under the ship; a continuous black-over-white wavy line divides the ship from the white wavy lines; on the hoist side, a vertical band is divided into three parts: the top part (called ikkurina) is red with a green diagonal cross extending to the corners overlaid by a white cross dividing the rectangle into four sections; the middle part has a white background with an ermine pattern; the third part has a red background with two stylized yellow lions outlined in black, one above the other; these three heraldic arms represent settlement by colonists from the Basque Country (top), Brittany, and Normandy; the blue on the main portion of the flag symbolizes the Atlantic Ocean and the stylized ship represents the Grande Hermine in which Jacques Cartier "discovered" the islands in 1536 |
| Flag description: | note: the flag of France used for official occasions |
| National symbol(s): | 16th-century sailing ship |
| National anthem: | note: as a collectivity of France, "La Marseillaise" is official (see France) |
