| Government | Mauritius |
| --- | --- |
| Country name: | conventional long form: Republic of Mauritius |
| Country name: | conventional short form: Mauritius |
| Country name: | local long form: Republic of Mauritius |
| Country name: | local short form: Mauritius |
| Government type: | parliamentary democracy |
| Capital: | name: Port Louis |
| Capital: | geographic coordinates: 20 09 S, 57 29 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| Independence: | 12 March 1968 (from the UK) |
| National holiday: | Independence Day, 12 March (1968) |
| Constitution: | several previous; latest adopted 12 March 1968; amended many times, last in 2012 (2012) |
| Legal system: | civil legal system based on French civil law with some elements of English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rajkeswur Kailash PURRYAG (since 21 July 2012); note - former President Sir Anerood JUGNAUTH resigned on 31 March 2012 |
| Executive branch: | head of government: Prime Minister Navinchandra RAMGOOLAM (since 5 July 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected by the National Assembly for five-year terms (eligible for a second term); elections last held on 21 July 2012 (next to be held in 2017); prime minister and deputy prime minister appointed by the president, responsible to the National Assembly; note - former President Sir Anerood JUGNAUTH resigned on 31 March 2012 |
| Executive branch: | election results: Rajkeswur Kailash PURRYAG elected president by unanimous vote; percent of vote by the National Assembly - NA |
| Legislative branch: | unicameral National Assembly (70 seats; 62 members elected by popular vote, 8 appointed by the election commission to give representation to various ethnic minorities; members to serve five-year terms) |
| Legislative branch: | elections: last held on 5 May 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - AF 41, MMM 18, MR 2, FSM 1; appointed seats - to be assigned 8 |
| Judicial branch: | highest court(s): Supreme Court of Mauritius (consists of the chief justice, a senior puisne judge, and 17 puisne judges) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president after consultation with the prime minister; senior puisne judge appointed by the president with the advice of the chief justice; other puisne judges appointed by the president with the advice of the Judicial and Legal Commission, a 4-member body of judicial officials including the chief justice; all judges serve until retirement at age 62 |
| Judicial branch: | subordinate courts: Court of Civil Appeal; Court of Criminal Appeal; Public Bodies Appeal Tribunal (formed by a 2008 constitutional amendment) |
| Political parties and leaders: | Alliance of the Future or AF [Navinchandra RAMGOOLAM] (governing coalition - includes MLP, MMSM, MR, MSD, PMSD) |
| Political parties and leaders: | Mauritian Labor Party or MLP [Navinchandra RAMGOOLAM] |
| Political parties and leaders: | Mauritian Militant Movement or MMM [Paul BERENGER] |
| Political parties and leaders: | Mauritian Militant Socialist Movement or MMSM [Pravind JUGNAUTH] |
| Political parties and leaders: | Mauritian Socialist Militant Movement or MSMM [Madan DULLOO] |
| Political parties and leaders: | Mauritian Solidarity Front of FSM [Cehl FAKEERMEEAH] |
| Political parties and leaders: | Maurition Social Democratic Party or PMSD [Xavier Luc DUVAL] |
| Political parties and leaders: | Rodrigues Movement or MR [Joseph (Nicholas) Von MALLY] |
| Political parties and leaders: | Rodrigues Peoples Organization or OPR [Serge CLAIR] |
| Political pressure groups and leaders: | other: various labor unions |
| International organization participation: | ACP, AfDB, AOSIS, AU, C, CD, COMESA, CPLP (associate), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, PCA, SAARC (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Somduth SOBORUN (since 28 January 2011) |
| Diplomatic representation in the US: | chancery: 1709 N Street NW, Washington, DC 20036; administrative offices - 3201 Connecticut Avenue NW, Suite 441, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-1491 through 1492 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0983 |
| Diplomatic representation from the US: | chief of mission: Ambassador Shari VILLAROSA (since 10 September 2012; note - also accredited to Seychelles |
| Diplomatic representation from the US: | embassy: 4th Floor, Rogers House, John Kennedy Street, Port Louis |
| Diplomatic representation from the US: | mailing address: international mail: P. O. Box 544, Port Louis; US mail: American Embassy, Port Louis, US Department of State, Washington, DC 20521-2450 |
| Diplomatic representation from the US: | telephone: [230] 202-4400 |
| Diplomatic representation from the US: | FAX: [230] 208-9534 |
| Flag description: | four equal horizontal bands of red (top), blue, yellow, and green; red represents self-determination and independence, blue the Indian Ocean surrounding the island, yellow has been interpreted as the new light of independence, golden sunshine, or the bright future, and green can symbolize either agriculture or the lush vegetation of the island |
| National anthem: | name: "Motherland" |
| National anthem: | lyrics/music: Jean Georges PROSPER/Philippe GENTIL |
| National anthem: | note: adopted 1968 |
