| Government | MAURITIUS |
| --- | --- |
| Country name: | conventional long form: Republic of Mauritius |
| Country name: | conventional short form: Mauritius |
| Country name: | local long form: Republic of Mauritius |
| Country name: | local short form: Mauritius |
| Country name: | note: island named after Prince Maurice VAN NASSAU, stadtholder of the Dutch Republic, in 1598 |
| Government type: | parliamentary republic |
| Capital: | name: Port Louis |
| Capital: | geographic coordinates: 20 09 S, 57 29 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| Independence: | 12 March 1968 (from the UK) |
| National holiday: | Independence Day, 12 March (1968); note - also became Republic Day (1992) |
| Constitution: | several previous; latest adopted 12 March 1968; amended many times, last in 2015 (2016) |
| Legal system: | civil legal system based on French civil law with some elements of English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 out of the previous 7 years including the last 12 months |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ameenah GURIB-FAKIM (since 5 June 2015); Vice President Paramaslyum (aka Barlen) Pillay VYAPOORY (since 4 April 2016) |
| Executive branch: | head of government: Prime Minister Sir Anerood JUGNAUTH (since 17 December 2014) |
| Executive branch: | cabinet: Cabinet of Ministers (Council of Ministers) appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president and vice president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); election last held on 4 June 2015 (next to be held in 2020); prime minister and deputy prime minister appointed by the president, responsible to the National Assembly |
| Executive branch: | election results: Ameenah GURIB-FAKIM (independent) elected president by the National Assembly - unanimous vote |
