| Government | Mauritius |
| --- | --- |
| Country name: | conventional long form: Republic of Mauritius |
| Country name: | conventional short form: Mauritius |
| Country name: | local long form: Republic of Mauritius |
| Country name: | local short form: Mauritius |
| Government type: | parliamentary democracy |
| Capital: | name: Port Louis |
| Capital: | geographic coordinates: 20 09 S, 57 29 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| Independence: | 12 March 1968 (from the UK) |
| National holiday: | Independence Day, 12 March (1968) |
| Constitution: | several previous; latest adopted 12 March 1968; amended many times, last in 2012 (2012) |
| Legal system: | civil legal system based on French civil law with some elements of English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rajkeswur Kailash PURRYAG (since 21 July 2012); note - former President Sir Anerood JUGNAUTH resigned on 31 March 2012 |
| Executive branch: | head of government: Prime Minister Navinchandra RAMGOOLAM (since 5 July 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected by the National Assembly for five-year terms (eligible for a second term); elections last held on 21 July 2012 (next to be held in 2017); prime minister and deputy prime minister appointed by the president, responsible to the National Assembly; note - former President Sir Anerood JUGNAUTH resigned on 31 March 2012 |
| Executive branch: | election results: Rajkeswur Kailash PURRYAG elected president by unanimous vote |
| Legislative branch: | unicameral National Assembly (70 seats; 62 members elected by popular vote, 8 appointed by the election commission to give representation to various ethnic minorities; members to serve five-year terms) |
| Legislative branch: | elections: last held on 5 May 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - AF 41, MMM 18, MR 2, FSM 1; appointed seats - to be assigned 8; note - as of 4 March 2014 seats by party were AF 38, MMM 19, MSM 9, FSM 1, MMSD 1, OPR 1, other 1 |
