| Government | Pitcairn Islands |
| --- | --- |
| Country name: | conventional long form: Pitcairn, Henderson, Ducie, and Oeno Islands |
| Country name: | conventional short form: Pitcairn Islands |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | Adamstown |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Birthday of Queen ELIZABETH II, second Saturday in June (1926) |
| Constitution: | 30 November 1838; reformed 1904 with additional reforms in 1940; further refined by the Local Government Ordinance of 1964 |
| Legal system: | local island by-laws |
| Suffrage: | 18 years of age; universal with three years residency |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by UK High Commissioner to New Zealand and Governor (nonresident) of the Pitcairn Islands Richard FELL (since NA December 2001); Commissioner (nonresident) Leslie JAQUES (since September 2003); serves as liaison between the governor and the Island Council |
| Executive branch: | head of government: Governor Richard FELL; mayor and chairman of the Island Council Jay WARREN (since 15 December 2004) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections: the monarchy is hereditary; high commissioner and commissioner appointed by the monarch; island mayor elected by popular vote for a three-year term; election last held December 2004 (next to be held December 2007) |
| Executive branch: | election results: Jay WARREN elected mayor and chairman of the Island Council |
| Legislative branch: | unicameral Island Council (10 seats - 5 elected by popular vote, 1 nominated by the 5 elected members, 2 appointed by the governor including 1 seat for the Island Secretary, the Island Mayor, and a commissioner liaising between the governor and council; elected members serve one-year terms) |
| Legislative branch: | elections: last held 15 December 2004 (next to be held December 2005) |
| Legislative branch: | election results: percent of vote - NA%; seats - all independents |
| Judicial branch: | Magistrate's Court; Supreme Court; Court of Appeal; Judicial Officers are appointed by the Governor |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and the Pitcairn Islander coat of arms centered on the outer half of the flag; the coat of arms is yellow, green, and light blue with a shield featuring a yellow anchor |
