| Government | Pitcairn Islands |
| --- | --- |
| Country name: | conventional long form: Pitcairn, Henderson, Ducie, and Oeno Islands |
| Country name: | conventional short form: Pitcairn Islands |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | name: Adamstown |
| Capital: | geographic coordinates: 25 04 S, 130 05 W |
| Capital: | time difference: UTC-9 (4 hours behind Washington, DC, during Standard Time) |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Birthday of Queen ELIZABETH II, second Saturday in June (1926); Discovery Day, 2 July (1767) |
| Constitution: | several previous; latest made 10 February 2010, presented 17 February 2010, effective 4 March 2010 (2010) |
| Legal system: | local island by-laws |
| Suffrage: | 18 years of age; universal with three years residency |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by UK High Commissioner to New Zealand and Governor (nonresident) of the Pitcairn Islands Victoria M. TREADELL (since May 2010); Commissioner (nonresident) Leslie JAQUES (since September 2003) serves as liaison between the governor and the Island Council |
| Executive branch: | head of government: Mayor and Chairman of the Island Council Shawn CHRISTIAN (since 13 November 2013) |
| Executive branch: | cabinet: NA |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor and commissioner appointed by the monarch; island mayor elected by popular vote for a three-year term; election last held in November 2013 (next to be held not later than December 2016) |
| Executive branch: | election results: Shawn CHRISTIAN elected mayor and chairman of the Island Council |
| Legislative branch: | unicameral Island Council (10 seats; mayor, deputy mayor, 5 members elected by popular vote, 3 ex officio members including governor, deputy governor, and commissioner; deputy mayor and elected members serve two-year terms) |
| Legislative branch: | elections: last held on 13 November 2013 (next to be held not later than December 2015) |
| Legislative branch: | election results: percent of vote - NA; seats - 5 independents |
| Judicial branch: | highest court(s): Pitcairn Court of Appeal (consists of the court president, 2 judges, and the Supreme Court chief justice (ex-officio member); Pitcairn Supreme Court (consists of the chief justice and 2 judges) |
| Judicial branch: | note - appeals beyond the Pitcairn Court of Appeal are heard by the Judicial Committee of the Privy Council (in London);the Court of Appeal was established in 2000 by an Order in Council |
| Judicial branch: | judge selection and term of office: all judges of both courts appointed by the governor of the Pitcairn Islands on the instructions of the Queen of England through the Secretary of State; all judges appointed until retirement, normally at age 75 |
| Judicial branch: | subordinate courts: Magistrate's Court |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | SPC, UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and the Pitcairn Islander coat of arms centered on the outer half of the flag; the green, yellow, and blue of the shield represents the island rising from the ocean; the green field features a yellow anchor surmounted by a bible (both the anchor and the bible were items found on the HMS Bounty); sitting on the crest is a Pitcairn Island wheelbarrow from which springs a slip of miro (a local plant) |
| National anthem: | name: "We From Pitcairn Island" |
| National anthem: | lyrics/music: unknown/Frederick M. LEHMAN |
| National anthem: | note: serves as a local anthem; as a territory of the United Kingdom, "God Save the Queen" is official (see United Kingdom) |
