| Government | Taiwan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Taiwan |
| Country name: | local long form: none |
| Country name: | local short form: Taiwan |
| Country name: | former: Formosa |
| Government type: | multiparty democracy |
| Capital: | name: Taipei |
| Capital: | geographic coordinates: 25 02 N, 121 31 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | includes main island of Taiwan plus smaller islands nearby and off coast of China's Fujian Province; Taiwan is divided into 14 counties (hsien, singular and plural), 3 municipalities (shih, singular and plural), and 5 special municipalities (chih-hsia-shih, singular and plural) |
| Administrative divisions: | note: Taiwan uses a variety of romanization systems; while a modified Wade-Giles system still dominates, the city of Taipei has adopted a Pinyin romanization for street and place names within its boundaries; other local authorities use different romanization systems; names for administrative divisions that follow are taken from the Taiwan Yearbook 2007 published by the Government Information Office in Taipei. |
| Administrative divisions: | counties: Changhua, Chiayi (county), Hsinchu (county), Hualien, Kinmen, Lienchiang, Miaoli, Nantou, Penghu, Pingtung, Taitung, Taoyuan, Yilan, Yunlin |
| Administrative divisions: | municipalities: Chiayi (city), Hsinchu (city), Keelung (city) |
| Administrative divisions: | special municipalities: Kaohsiung (city), New Taipei (city), Taichung (city), Tainan (city), Taipei (city) |
| National holiday: | Republic Day (Anniversary of the Chinese Revolution), 10 October (1911) |
| Constitution: | previous 1912, 1931; latest adopted 25 December 1946, promulgated 1 January 1947, effective 25 December 1947; revised several times, last in 2005 (2013) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President MA Ying-jeou (since 20 May 2008); Vice President WU Den-yih (since 20 May 2012) |
| Executive branch: | head of government: Premier JIANG Yi-huah (President of the Executive Yuan) (since 18 February 2013); Vice Premier MAO Chi-kuo (Vice President of the Executive Yuan) (since 18 February 2013) |
| Executive branch: | cabinet: Executive Yuan - ministers appointed by president on recommendation of premier |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 14 January 2012 (next to be held in January 2016); premier appointed by the president; vice premiers appointed by the president on the recommendation of the premier |
| Executive branch: | election results: MA Ying-jeou elected president; percent of vote - MA Ying-jeou 51.6%, TSAI Ing-wen 45.6%, James SOONG Chu-ye 2.8% |
| Legislative branch: | unicameral Legislative Yuan (113 seats - 73 district members elected by popular vote, 34 at-large members elected on basis of proportion of islandwide votes received by participating political parties, 6 elected by popular vote among aboriginal populations; members to serve four-year terms); parties must receive 5% of vote to qualify for at-large seats |
| Legislative branch: | elections: Legislative Yuan - last held on 14 January 2012 (next to be held in January 2016) |
| Legislative branch: | election results: Legislative Yuan - percent of vote by party - KMT 44.6%, DPP 34.6%, TSU 9.0%, PFP 5.5%, others 6.3%; seats by party - KMT 64, DPP 40, PFP 3, TSU 3, NPSU 2, independent 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president, vice president, and  approximately 100 judges organized into 8 civil and 12 criminal divisions, each with a division chief justice and 4 associate justices); Constitutional Court (consists of the court president, vice president, and 13 justices) |
| Judicial branch: | judge selection and term of office: both Supreme Court and Constitutional Court justices appointed by the president of the republic with the approval of the Legislative Yuan; Supreme Court justices appointed for life; Constitutional Court president, vice-president, and 8 grand justices serve 4-year terms and remaining justices serve 8-year terms |
| Judicial branch: | subordinate courts: high courts; district courts; hierarchy of administrative courts |
| Political parties and leaders: | Democratic Progressive Party or DPP [SU Tseng-chang] |
| Political parties and leaders: | Kuomintang or KMT (Nationalist Party) [MA Ying-jeou] |
| Political parties and leaders: | New Party [YOK Mu-ming] |
| Political parties and leaders: | Non-Partisan Solidarity Union or NPSU [LIN Pin-kuan] |
| Political parties and leaders: | People First Party or PFP [James SOONG Chu-ye] |
| Political parties and leaders: | Taiwan Solidarity Union or TSU [HUANG Kun-huei] |
| Political pressure groups and leaders: | environmental groups |
| Political pressure groups and leaders: | independence movement |
| Political pressure groups and leaders: | various business groups |
| Political pressure groups and leaders: | note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; public opinion polls consistently show a substantial majority of Taiwan people supports maintaining Taiwan's status quo for the foreseeable future; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; advocates of eventual unification predicate their goal on the democratic transformation of the mainland |
| International organization participation: | ADB, APEC, BCIE, ICC (national committees), IOC, ITUC (NGOs), WTO |
| Diplomatic representation in the US: | none; commercial and cultural relations with the people in the United States are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office in the United States (TECRO), a private nonprofit corporation that performs citizen and consular services similar to those at diplomatic posts |
| Diplomatic representation in the US: | representative: KING Pu-tsung |
| Diplomatic representation in the US: | office: 4201 Wisconsin Avenue NW, Washington, DC 20016 |
