| Government | Taiwan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Taiwan |
| Country name: | local long form: none |
| Country name: | local short form: T'ai-wan |
| Country name: | former: Formosa |
| Government type: | multiparty democracy |
| Capital: | name: Taipei |
| Capital: | geographic coordinates: 25 03 N, 121 30 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | includes main island of Taiwan plus smaller islands nearby and off coast of China's Fujian Province; Taiwan is divided into 18 counties (hsien, singular and plural), 5 municipalities (shih, singular and plural), and 2 special municipalities (chuan-shih, singular and plural) |
| Administrative divisions: | note: Taiwan uses a variety of romanization systems; while a modified Wade-Giles system still dominates, the city of Taipei has adopted a Pinyin romanization for street and place names within its boundaries; other local authorities use different romanization systems; names for administrative divisions that follow are taken from the Taiwan Yearbook 2007 published by the Government Information Office in Taipei. |
| Administrative divisions: | counties: Changhua, Chiayi [county], Hsinchu, Hualien, Kaohsiung [county], Kinmen, Lienchiang, Miaoli, Nantou, Penghu, Pingtung, Taichung, Tainan, Taipei [county], Taitung, Taoyuan, Yilan, and Yunlin |
| Administrative divisions: | municipalities: Chiayi [city], Hsinchu, Keelung, Taichung, Tainan |
| Administrative divisions: | special municipalities: Kaohsiung [city], Taipei [city] |
| National holiday: | Republic Day (Anniversary of the Chinese Revolution), 10 October (1911) |
| Constitution: | 25 December 1947; amended in 1992, 1994, 1997, 1999, 2000, 2005 |
| Constitution: | note: constitution adopted on 25 December 1946; went into effect on 25 December 1947 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President MA Ying-jeou (since 20 May 2008); Vice President Vincent SIEW (since 20 May 2008) |
| Executive branch: | head of government: Premier (President of the Executive Yuan) LIO Chao-shiuan (since 20 May 2008); Vice Premier (Vice President of Executive Yuan) Paul CHIU (CHANG-hsiung) (since 20 May 2008) |
| Executive branch: | cabinet: Executive Yuan - (ministers appointed by president on recommendation of premier) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 22 March 2008 (next to be held in March 2012); premier appointed by the president; vice premiers appointed by the president on the recommendation of the premier |
| Executive branch: | election results: MA Ying-jeou elected president on 22 March 2008; percent of vote - MA Ying-jeou 58.45%, Frank HSIEH 41.55%; MA Ying-jeou takes office on 20 May 2008 |
| Legislative branch: | unicameral Legislative Yuan (113 seats - 73 district members elected by popular vote, 34 at-large members elected on basis of proportion of islandwide votes received by participating political parties, 6 elected by popular vote among aboriginal populations; to serve four-year terms); parties must receive 5% of vote to qualify for at-large seats |
| Legislative branch: | elections: Legislative Yuan - last held 12 January 2008 (next to be held in January 2012) |
| Legislative branch: | election results: Legislative Yuan - percent of vote by party - KMT 53.5%, DPP 38.2%, NPSU 2.4%, PFP 0.3%, others 1.6%, independents 4%; seats by party - KMT 81, DPP 27, NPSU 3, PFP 1, independent 1 |
| Judicial branch: | Judicial Yuan (justices appointed by the president with consent of the Legislative Yuan) |
| Political parties and leaders: | Democratic Progressive Party or DPP [TSAI Ing-wen]; Kuomintang or KMT (Nationalist Party) [WU Po-hsiung]; Non-Partisan Solidarity Union or NPSU [CHANG Po-ya]; People First Party or PFP [James SOONG] |
| Political pressure groups and leaders: | Organization for Taiwan Nation Building; World United Formosans for Independence |
| Political pressure groups and leaders: | other: environmental groups; independence movement; various business groups |
| Political pressure groups and leaders: | note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that the island currently enjoys sovereign independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; public opinion polls consistently show a substantial majority of Taiwan people supports maintaining Taiwan's status quo for the foreseeable future; advocates of Taiwan independence oppose the stand that the island will eventually unify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN |
| International organization participation: | ADB, APEC, BCIE, ICC, IOC, ITUC, WCL, WFTU, WTO |
| Diplomatic representation in the US: | none; unofficial commercial and cultural relations with the people of the US are maintained through an unofficial instrumentality, the Taipei Economic and Cultural Representative Office (TECRO), which has its headquarters in Taipei and in the US in Washington, DC; there are also branch offices called Taipei Economic and Cultural Office (TECO) in 12 other US cities |
| Diplomatic representation from the US: | none; unofficial commercial and cultural relations with the people on Taiwan are maintained through an unofficial instrumentality - the American Institute in Taiwan (AIT) - which has offices in the US and Taiwan; US office at 1700 N. Moore St., Suite 1700, Arlington, VA 22209-1996, telephone: [1] (703) 525-8474, FAX: [1] (703) 841-1385); Taiwan offices at #7 Lane 134, Hsin Yi Road, Section 3, Taipei, Taiwan, telephone: [886] (2) 2162-2000, FAX: [886] (2) 2162-2251; #2 Chung Cheng 3rd Road, 5th Floor, Kaohsiung, Taiwan, telephone: [886] (7) 238-7744, FAX: [886] (7) 238-5237; and the American Trade Center, Room 3208 International Trade Building, Taipei World Trade Center, 333 Keelung Road Section 1, Taipei, Taiwan 10548, telephone: [886] (2) 2720-1550, FAX: [886] (2) 2757-7162 |
| Flag description: | red field with a dark blue rectangle in the upper hoist-side corner bearing a white sun with 12 triangular rays |
