| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Taiwan |
| Country name: | local long form: none |
| Country name: | local short form: T'ai-wan |
| Country name: | former: Formosa |
| Government type: | multiparty democratic regime headed by popularly elected president |
| Capital: | Taipei |
| Administrative divisions: | since in the past the authorities claimed to be the government of all China, the central administrative divisions include the provinces of Fu-chien (some 20 offshore islands of Fujian Province including Quemoy and Matsu) and Taiwan (the island of Taiwan and the Pescadores islands); note - the more commonly referenced administrative divisions are those of Taiwan Province - 16 counties (hsien, singular and plural), 5 municipalities* (shih, singular and plural), and 2 special municipalities** (chuan-shih, singular and plural); Chang-hua, Chia-i, Chia-i*, Chi-lung*, Hsin-chu, Hsin-chu*, Hua-lien, I-lan, Kao-hsiung, Kao-hsiung**, Miao-li, Nan-t'ou, P'eng-hu, P'ing-tung, T'ai-chung, T'ai-chung*, T'ai-nan, T'ai-nan*, T'ai-pei, T'ai-pei**, T'ai-tung, T'ao-yuan, and Yun-lin; the provincial capital is at Chung-hsing-hsin-ts'un |
| Administrative divisions: | note: Taiwan uses the Wade-Giles system for romanization |
| National holiday: | Republic Day (Anniversary of the Chinese Revolution), 10 October (1911) |
| Constitution: | 1 January 1947, amended in 1992, 1994, 1997, and 1999 |
| Legal system: | based on civil law system; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President CHEN Shui-bien (20 May 2000) and Vice President Annette LU (since 20 May 2000) |
| Executive branch: | head of government: Premier (President of the Executive Yuan) CHANG Chun-hsiung (since NA October 2000) and Vice Premier (Vice President of the Executive Yuan) LAI In-jaw (since NA October 2000) |
| Executive branch: | cabinet: Executive Yuan appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held 18 March 2000 (next to be held NA March 2004); premier appointed by the president; vice premiers appointed by the president on the recommendation of the premier |
| Executive branch: | election results: CHEN Shui-bien elected president; percent of vote - CHEN Shui-bien (DPP) 39.3%, James SOONG (independent) 36.84%, LIEN Chan (KMT) 23.1%, HSU Hsin-liang (independent) 0.63%, LEE Ao (CNP) 0.13% |
| Legislative branch: | unicameral Legislative Yuan (225 seats - 168 elected by popular vote, 41 elected on the basis of the proportion of nationwide votes received by participating political parties, eight elected from overseas Chinese constituencies on the basis of the proportion of nationwide votes received by participating political parties, eight elected by popular vote among the aboriginal populations; members serve three-year terms) and unicameral National Assembly (300 seats, note - total number of seats has been reduced from 334 to 300 since the last election; members are elected by proportional representation based on the election of the Legislative Yuan and serve four-year terms) |
| Legislative branch: | elections: Legislative Yuan - last held 5 December 1998 (next to be held NA December 2001); National Assembly - last held 23 March 1996 (next to be held NA June 2002) |
| Legislative branch: | election results: Legislative Yuan - percent of vote by party - KMT 46%, DPP 29%, CNP 7%, independents 10%, other parties 8%; seats by party - KMT 123, DPP 70, CNP 11, independents 15, other parties 6; subsequent to the election there have been some changes in the distribution of seats in the Legislative Yuan due to new party formation and party defections, the new distribution is as follows - KMT 114, DPP 66, PFP 17, NP 9, other/independent 19; National Assembly - percent of vote by party - KMT 55%, DPP 30%, CNP 14%, other 1%; seats by party - KMT 183, DPP 99, CNP 46, other 6 |
| Judicial branch: | Judicial Yuan (justices appointed by the president with the consent of the National Assembly; note - beginning in 2003, justices will be appointed by the president with the consent of the Legislative Yuan) |
| Political parties and leaders: | Chinese New Party or CNP [HAU Lang-bin]; Democratic Progressive Party or DPP [Frank HSIEH, chairman]; Kuomintang or KMT (Nationalist Party) [LIEN Chan, chairman]; New Party or NP [LI Ching-hwa]; People First Party or PFP [James SOONG, chairman]; other minor parties |
| Political pressure groups and leaders: | Taiwan independence movement, various business and environmental groups |
| Political pressure groups and leaders: | note: debate on Taiwan independence has become acceptable within the mainstream of domestic politics on Taiwan; political liberalization and the increased representation of opposition parties in Taiwan's legislature have opened public debate on the island's national identity; a broad popular consensus has developed that Taiwan currently enjoys de facto independence and - whatever the ultimate outcome regarding reunification or independence - that Taiwan's people must have the deciding voice; advocates of Taiwan independence oppose the stand that the island will eventually reunify with mainland China; goals of the Taiwan independence movement include establishing a sovereign nation on Taiwan and entering the UN; other organizations supporting Taiwan independence include the World United Formosans for Independence and the Organization for Taiwan Nation Building |
| International organization participation: | APEC, AsDB, BCIE, ICC, ICFTU, IFRCS, IOC, WCL, WTrO (observer) |
| Diplomatic representation in the US: | none; unofficial commercial and cultural relations with the people of the US are maintained through a private instrumentality, the Taipei Economic and Cultural Representative Office (TECRO) in the US with headquarters in Taipei and field offices in Washington and 12 other US cities |
| Diplomatic representation from the US: none; unofficial commercial and cultural relations with the people on Taiwan are maintained through a private corporation, the American Institute in Taiwan (AIT), which has its headquarters in Rosslyn, Virginia (telephone: [1] (703) 525-8474 and FAX: | [1] (703) 841-1385) and offices in Taipei at #7 Lane 134, Hsin Yi Road, Section 3, telephone [886] (2) 2709-2000, FAX [886] (2) 2702-7675, and in Kao-hsiung at #2 Chung Cheng 3rd Road, 5th Floor, telephone [886] (7) 224-0154 through 0157, FAX [886] (7) 223-8237, and the American Trade Center at Room 3208 International Trade Building, Taipei World Trade Center, 333 Keelung Road Section 1, Taipei 10548, telephone [886] (2) 2720-1550, FAX [886] (2) 2757-7162 |
| Flag description: | red with a dark blue rectangle in the upper hoist-side corner bearing a white sun with 12 triangular rays |
