| Government | Turkmenistan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turkmenistan |
| Country name: | local long form: none |
| Country name: | former: Turkmen Soviet Socialist Republic |
| Country name: | local short form: Turkmenistan |
| Government type: | republic |
| Capital: | Ashgabat |
| Administrative divisions: | 5 provinces (welayatlar, singular - welayat): Ahal Welayaty (Ashgabat), Balkan Welayaty (Balkanabat), Dasoguz Welayaty, Labap Welayaty (Turkmenabat), Mary Welayaty |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 27 October 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 27 October (1991) |
| Constitution: | adopted 18 May 1992 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President and Chairman of the Cabinet of Ministers Saparmurat NIYAZOV (since 27 October 1990, when the first direct presidential election occurred); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President and Chairman of the Cabinet of Ministers Saparmurat NIYAZOV (since 27 October 1990, when the first direct presidential election occurred); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 21 June 1992 (next to be held NA); note - President NIYAZOV was unanimously approved as president for life by the Assembly on 28 December 1999); deputy chairmen of the cabinet of ministers are appointed by the president |
| Executive branch: | election results: Saparmurat NIYAZOV elected president without opposition; percent of vote - Saparmurat NIYAZOV 99.5% |
| Executive branch: | note: NIYAZOV's term in office was extended indefinitely on 28 December 1999 by the Assembly (Majlis) during a session of the People's Council (Halk Maslahaty) |
| Legislative branch: | under the 1992 constitution, there are two parliamentary bodies, a unicameral People's Council or Halk Maslahaty (more than 100 seats, some of which are elected by popular vote and some of which are appointed; meets infrequently) and a unicameral Assembly or Majlis (50 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | election results: Assembly - percent of vote by party - NA%; seats by party - NA; note - all 50 elected officials preapproved by President NIYAZOV; most are from the DPT |
| Legislative branch: | elections: People's Council - NA; Assembly - last held 12 December 1999 (next to be held NA 2004) |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Democratic Party of Turkmenistan or DPT [Saparmurat NIYAZOV] |
| Political parties and leaders: | note: formal opposition parties are outlawed; unofficial, small opposition movements exist underground or in foreign countries |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IBRD, ICAO, ICRM, IDB, IFC, IFRCS, ILO, IMF, IMO, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Mered Bairamovich ORAZOV |
| Diplomatic representation in the US: | FAX: [1] (202) 588-0697 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-1500 |
| Diplomatic representation in the US: | chancery: 2207 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Laura E. KENNEDY |
| Diplomatic representation from the US: | embassy: 9 Pushkin Street, Ashgabat, Turkmenistan 774000 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [9] (9312) 35-00-45 |
| Diplomatic representation from the US: | FAX: [9] (9312) 39-26-14 |
| Flag description: | green field with a vertical red stripe near the hoist side, containing five carpet guls (designs used in producing rugs) stacked above two crossed olive branches similar to the olive branches on the UN flag; a white crescent moon and five white stars appear in the upper corner of the field just to the fly side of the red stripe |
