| Government | Turkmenistan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turkmenistan |
| Country name: | local long form: none |
| Country name: | local short form: Turkmenistan |
| Country name: | former: Turkmen Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | Ashgabat |
| Administrative divisions: | 5 provinces (welayatlar, singular - welayat): Ahal Welayaty (Ashgabat), Balkan Welayaty (Balkanabat), Dashoguz Welayaty, Lebap Welayaty (Turkmenabat), Mary Welayaty |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 27 October 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 27 October (1991) |
| Constitution: | adopted 18 May 1992 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President and Chairman of the Cabinet of Ministers Saparmurat NIYAZOV (since 27 October 1990, when the first direct presidential election occurred); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President and Chairman of the Cabinet of Ministers Saparmurat NIYAZOV (since 27 October 1990, when the first direct presidential election occurred); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | note: NIYAZOV's term in office was extended indefinitely on 28 December 1999 during a session of the People's Council (Halk Maslahaty) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 21 June 1992 (next to be held in 2008 when NIYAZOV turns 70 and is constitutionally ineligible to run); note - President NIYAZOV was unanimously approved as president for life by the People's Council on 28 December 1999; deputy chairmen of the cabinet of ministers are appointed by the president |
| Executive branch: | election results: Saparmurat NIYAZOV elected president without opposition; percent of vote - Saparmurat NIYAZOV 99.5% |
| Legislative branch: | under the 1992 constitution, there are two parliamentary bodies, a unicameral People's Council or Halk Maslahaty (supreme legislative body of up to 2,500 delegates, some of whom are elected by popular vote and some of whom are appointed; meets at least yearly) and a unicameral Parliament or Mejlis (50 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: People's Council - last held in April 2003; Mejlis - last held 19 December 2004 (next to be held December 2009) |
| Legislative branch: | election results: Mejlis - DPT 100%; seats by party - DPT 50; note - all 50 elected officials are members of the Democratic Party of Turkmenistan and are preapproved by President NIYAZOV |
| Legislative branch: | note: in late 2003, a new law was adopted, reducing the powers of the Mejlis and making the Halk Maslahaty the supreme legislative organ; the Halk Maslahaty can now legally dissolve the Mejlis, and the president is now able to participate in the Mejlis as its supreme leader; the Mejlis can no longer adopt or amend the constitution, or announce referendums or its elections; since the president is both the "Chairman for Life" of the Halk Maslahaty and the supreme leader of the Mejlis, the 2003 law has the effect of making him the sole authority of both the executive and legislative branches of government |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Democratic Party of Turkmenistan or DPT [Saparmurat NIYAZOV] |
| Political parties and leaders: | note: formal opposition parties are outlawed; unofficial, small opposition movements exist underground or in foreign countries; the two most prominent opposition groups-in-exile have been Gundogar and Erkin; Gundogar was led by former Foreign Minister Boris SHIKHMURADOV until his arrest and imprisonment in the wake of the 25 November 2002 assassination attempt on President NIYAZOV; Erkin is led by former Foreign Minister Abdy KULIEV and is based out of Moscow; the Union of Democratic Forces, a coalition of opposition-in-exile groups, is based in Europe |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, G-77, IBRD, ICAO, ICRM, IDB, IFC, IFRCS, ILO, IMF, IMO, IOC, IOM (observer), ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mered Bairamovich ORAZOV |
| Diplomatic representation in the US: | chancery: 2207 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-0697 |
| Diplomatic representation from the US: | chief of mission: Ambassador Tracey A. JACOBSON |
| Diplomatic representation from the US: | embassy: 9 Pushkin (1984) Street, Ashgabat, Turkmenistan 774000 |
| Diplomatic representation from the US: | mailing address: 7070 Ashgabat Place, Washington, D.C. 20521-7070 |
| Diplomatic representation from the US: | telephone: [9] (9312) 35-00-45 |
| Diplomatic representation from the US: | FAX: [9] (9312) 39-26-14 |
| Flag description: | green field with a vertical red stripe near the hoist side, containing five carpet guls (designs used in producing rugs) stacked above two crossed olive branches similar to the olive branches on the UN flag; a white crescent moon and five white stars appear in the upper corner of the field just to the fly side of the red stripe |
