| Government | TURKMENISTAN |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turkmenistan |
| Country name: | local long form: none |
| Country name: | local short form: Turkmenistan |
| Country name: | former: Turkmen Soviet Socialist Republic |
| Country name: | etymology: the suffix "-stan" means "place of" or "country," so Turkmenistan literally means the "Land of the Turkmen [people]" |
| Government type: | presidential republic; authoritarian |
| Capital: | name: Ashgabat (Ashkhabad) |
| Capital: | geographic coordinates: 37 57 N, 58 23 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 5 provinces (welayatlar, singular - welayat) and 1 independent city*: Ahal Welayaty (Anew), Ashgabat*, Balkan Welayaty (Balkanabat), Dashoguz Welayaty, Lebap Welayaty (Turkmenabat), Mary Welayaty |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 27 October 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 27 October (1991) |
| Constitution: | history: adopted 18 May 1992 |
| Constitution: | amendments: proposed by the National Assembly; passage requires two-thirds majority vote of the total Assembly membership or absolute majority approval in a referendum; amended several times, last in 2016; note - in mid-2014, the president established a Constitutional Commission to initiate a process for developing constitutional reforms (2017) |
| Legal system: | civil law system with Islamic law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Turkmenistan |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (no term limits); election last held on 12 February 2017 (next to be held in February 2024) |
| Executive branch: | election results: Gurbanguly BERDIMUHAMEDOW reelected president; percent of vote - Gurbanguly BERDIMUHAMEDOW (DPT) 97.7%, other 2.3% |
| Legislative branch: | description: unicameral National Assembly or Mejlis (125 seats; members directly elected from single-seat constituencies by absolute majority vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 15 December 2013 (next to be held in December 2018), although interim elections are held on an ad hoc basis to fill vacant sets |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DPT 47, Organization of Trade Unions of Turkmenistan 33, Women's Union of Turkmenistan 16, PIE 14, Magtymguly Youth Organization 8, independent 7; note - all of these parties support President BERDIMUHAMIDOW |
| Judicial branch: | highest court(s): Supreme Court of Turkmenistan (consists of the court president and 21 associate judges and organized into civil, criminal, and military chambers) |
| Judicial branch: | judge selection and term of office: judges appointed by the president for 5-year terms |
| Judicial branch: | subordinate courts: High Commercial Court; appellate courts; provincial, district, and city courts; military courts |
| Political parties and leaders: | Agrarian Party of Turkmenistan or APT [Ovezmyrat ENERMYRADOW] |
| Political parties and leaders: | Democratic Party of Turkmenistan or DPT [Kasymguly BABAYEW] |
| Political parties and leaders: | Organization of Trade Unions of Turkmenistan |
| Political parties and leaders: | Magtymguly Youth Organization |
| Political parties and leaders: | Party of Industrialists and Entrepreneurs or PIE [Ovezmammed MAMMEDOW] |
| Political parties and leaders: | Women's Union of Turkmenistan |
| Political parties and leaders: | note: a law authorizing the registration of political parties went into effect in January 2012; unofficial, small opposition movements exist abroad |
| Political pressure groups and leaders: | none |
| International organization participation: | ADB, CIS (associate member, has not ratified the 1993 CIS charter although it participates in meetings and held the chairmanship of the CIS in 2012), EAPC, EBRD, ECO, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mered Bairamovich ORAZOW (since 14 February 2001) |
| Diplomatic representation in the US: | chancery: 2207 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-0697 |
| Diplomatic representation from the US: | chief of mission: Ambassador Allan MUSTARD (since 20 January 2015) |
| Diplomatic representation from the US: | embassy: No. 9 1984 Street (formerly Pushkin Street), Ashgabat, Turkmenistan 744000 |
| Diplomatic representation from the US: | mailing address: 7070 Ashgabat Place, Washington, DC 20521-7070 |
| Diplomatic representation from the US: | telephone: [993] (12) 94-00-45 |
| Diplomatic representation from the US: | FAX: [993] (12) 94-26-14 |
