| Government | Bolivia |
| --- | --- |
| Country name: | conventional long form: Plurinational State of Bolivia |
| Country name: | conventional short form: Bolivia |
| Country name: | local long form: Estado Plurinacional de Bolivia |
| Country name: | local short form: Bolivia |
| Government type: | republic; note - the new constitution defines Bolivia as a "Social Unitarian State" |
| Capital: | name: La Paz (administrative capital) |
| Capital: | geographic coordinates: 16 30 S, 68 09 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Capital: | note: Sucre (constitutional capital) |
| Administrative divisions: | 9 departments (departamentos, singular - departamento); Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija |
| Independence: | 6 August 1825 (from Spain) |
| National holiday: | Independence Day, 6 August (1825) |
| Constitution: | 7 February 2009 |
| Legal system: | civil law system with influences from Roman, Spanish, canon (religious), French, and indigenous law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, universal and compulsory |
| Executive branch: | chief of state: President Juan Evo MORALES Ayma (since 22 January 2006); Vice President Alvaro GARCIA Linera (since 22 January 2006); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Juan Evo MORALES Ayma (since 22 January 2006); Vice President Alvaro GARCIA Linera (since 22 January 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a five-year term and are eligible for re-election once; election last held on 6 December 2009 (next to be held in 2014) |
| Executive branch: | election results: Juan Evo MORALES Ayma reelected president; percent of vote - Juan Evo MORALES Ayma 64%; Manfred REYES VILLA 26%; Samuel DORIA MEDINA Arana 6%; Rene JOAQUINO 2%; other 2% |
| Legislative branch: | bicameral Plurinational Legislative Assembly or Asamblea Legislativa Plurinacional consists of Chamber of Senators or Camara de Senadores (36 seats; members are elected by proportional representation from party lists to serve five-year terms) and Chamber of Deputies or Camara de Diputados (130 seats total; 70 uninominal deputies directly elected from a single district, 7 "special" indigenous deputies directly elected from non-contiguous indigenous districts, and 53 plurinominal deputies elected by proportional representation from party lists; all deputies serve five-year terms) |
| Legislative branch: | elections: Chamber of Senators and Chamber of Deputies - last held on 6 December 2009 (next to be held in 2014) |
| Legislative branch: | election results: Chamber of Senators - percent of vote by party - NA; seats by party - MAS 26, PPB-CN 10; Chamber of Deputies - percent of vote by party - NA; seats by party - MAS 89, PPB-CN 36, UN 3, AS 2; note - as of 19 January 2012, the current composition of the Chamber of Deputies is: MAS 86, PPB-CN 36, UN 3, BI 3, AS 2 |
| Judicial branch: | Supreme Court or Tribunal Supremo de Justicia (judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms); Plurinational Constitutional Tribunal (seven primary or titulares and seven alternate or suplente magistrates elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to rule on constitutional issues (at least two candidates must be indigenous)); Agro-Environmental Court (judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to run on agro-environmental issues); Council of the Judiciary (five judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to rule on ethical and administrative issues in the judiciary); Plurinational Electoral Organ (seven members elected by the Assembly and the president-one member must be of indigenous origin-to six-year terms); provincial and local courts (to try minor cases); District Courts (one in each department) |
| Political parties and leaders: | Bacada Indigena or BI; Bolivia-National Convergence or PPB-CN [vacant]; Fearless Movement or MSM [Juan DE GRANADO Cosio]; Movement Toward Socialism or MAS [Juan Evo MORALES Ayma]; National Unity or UN [Samuel DORIA MEDINA Arana]; People or Gente [Roman LOAYZA]; Social Alliance or AS [Rene JOAQUINO] |
| Political pressure groups and leaders: | Bolivian Workers Central or COB; Federation of Neighborhood Councils of El Alto or FEJUVE; Landless Movement or MST; National Coordinator for Change or CONALCAM; Sole Confederation of Campesino Workers of Bolivia or CSUTCB |
| Political pressure groups and leaders: | other: Cocalero groups; indigenous organizations (including Confederation of Indigenous Peoples of Eastern Bolivia or CIDOB and National Council of Ayullus and Markas of Quollasuyu or CONAMAQ); Interculturales union or CSCIB; labor unions (including the Central Bolivian Workers' Union or COB and Cooperative Miners Federation or FENCOMIN) |
| International organization participation: | CAN, CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, PCA, UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNIDO, Union Latina, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Freddy BERSATTI Tudela |
| Diplomatic representation in the US: | chancery: 3014 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4410 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-3712 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, Miami, New York, San Francisco |
| Diplomatic representation in the US: | note: as of September 2008, the US has expelled the Bolivian ambassador to the US |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Larry MEMMOTT |
| Diplomatic representation from the US: | embassy: Avenida Arce 2780, Casilla 425, La Paz |
| Diplomatic representation from the US: | mailing address: P. O. Box 425, La Paz; APO AA 34032 |
| Diplomatic representation from the US: | telephone: [591] (2) 216-8000 |
| Diplomatic representation from the US: | FAX: [591] (2) 216-8111 |
| Diplomatic representation from the US: | note: in September 2008, the Bolivian Government expelled the US Ambassador to Bolivia, and the countries have yet to reinstate ambassadors |
| Flag description: | three equal horizontal bands of red (top), yellow, and green with the coat of arms centered on the yellow band; red stands for bravery and the blood of national heroes, yellow for the nation's mineral resources, and green for the fertility of the land |
| Flag description: | note: similar to the flag of Ghana, which has a large black five-pointed star centered in the yellow band; in 2009, a presidential decree made it mandatory for a so-called wiphala - a square, multi-colored flag representing the country's indigenous peoples - to be used alongside the traditional flag |
| National symbol(s): | llama; Andean condor |
| National anthem: | name: "Cancion Patriotica" (Patriotic Song) |
| National anthem: | lyrics/music: Jose Ignacio de SANJINES/Leopoldo Benedetto VINCENTI |
| National anthem: | note: adopted 1852 |
