| Government | Latvia |
| --- | --- |
| Country name: | conventional long form: Republic of Latvia |
| Country name: | conventional short form: Latvia |
| Country name: | local long form: Latvijas Republika |
| Country name: | local short form: Latvija |
| Country name: | former: Latvian Soviet Socialist Republic |
| Government type: | parliamentary democracy |
| Capital: | name: Riga |
| Capital: | geographic coordinates: 56 57 N, 24 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 109 municipalities (novadi, singular-novads) and 9 cities*: Adazu Novads, Aglonas Novads, Aizkraukles Novads, Aizputes Novads, Aknistes Novads, Alojas Novads, Alsungas Novads, Aluksnes Novads, Amatas Novads, Apes Novads, Auces Novads, Babites Novads, Baldones Novads, Baltinavas Novads, Balvu Novads, Bauskas Novads, Beverinas Novads, Brocenu Novads, Burtnieku Novads, Carnikavas Novads, Cesu Novads, Cesvaines Novads, Ciblas Novads, Dagdas Novads, Daugavpils*, Daugavpils Novads, Dobeles Novads, Dundagas Novads, Durbes Novads, Engures Novads, Erglu Novads, Garkalnes Novads, Grobinas Novads, Gulbenes Novads, Iecavas Novads, Ikskiles Novads, Ilukstes Novads, Incukalna Novads, Jaunjelgavas Novads, Juanpiebalgas Novads, Jaunpils Novads, Jekabpils*, Jekabpils Novads, Jelgava*, Jelgavas Novads, Jurmala*, Kandavas Novads, Karsavas Novads, Keguma Novads, Kekavas Novads, Kocenu Novads, Kokneses Novads, Kraslavas Novads, Krimuldas Novads, Krustpils Novads, Kuldigas Novads, Lielvardes Novads, Liepaja*, Ligatnes Novads, Limbazu Novads, Livanu Novads, Lubanas Novads, Ludzas Novads, Madonas Novads, Malpils Novads, Marupes Novads, Mazsalacas Novads, Nauksenu Novads, Neretas Novads, Nicas Novads, Ogres Novads, Olaines Novads, Ozolnieku Novads, Pargaujas Novads, Pavilostas Novads, Plavinu Novads, Preilu Novads, Priekules Novads, Priekulu Novads, Raunas Novads, Rezekne*, Rezeknes Novads, Riebinu Novads, Riga*, Rojas Novads, Ropazu Novads, Rucavas Novads, Rugaju Novads, Rujienas Novads, Rundales Novads, Salacgrivas Novads, Salas Novads, Salaspils Novads, Saldus Novads, Saulkrastu Novads, Sejas Novads, Siguldas Novads, Skriveru Novads, Skrundas Novads, Smiltenes Novads, Stopinu Novads, Strencu Novads, Talsu Novads, Tervetes Novads, Tukuma Novads, Vainodes Novads, Valkas Novads, Valmiera*, Varaklanu Novads, Varkavas Novads, Vecpiebalgas Novads, Vecumnieku Novads, Ventspils*, Ventspils Novads, Viesites Novads, Vilakas Novads, Vilanu Novads, Zilupes Novads |
| Independence: | 18 November 1918 (from the Soviet Russia) |
| National holiday: | Independence Day, 18 November (1918); note - 18 November 1918 was the date Latvia declared itself independent from Soviet Russia; 4 May 1990 is when it declared the renewal of independence; 21 August 1991 was the date of de facto independence from the Soviet Union |
| Constitution: | 15 February 1922; restored to force by the Constitutional Law of the Republic of Latvia adopted by the Supreme Council on 21 August 1991; multiple amendments since |
| Legal system: | based on civil law system with traces of Socialist legal traditions and practices; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal for Latvian citizens |
| Executive branch: | chief of state: President Valdis ZATLERS (since 8 July 2007) |
| Executive branch: | head of government: Prime Minister Valdis DOMBROVSKIS (since 12 March 2009) |
| Executive branch: | cabinet: Cabinet of Ministers nominated by the prime minister and appointed by Parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by Parliament for a four-year term (eligible for a second term); election last held on 31 May 2007 (next to be held in 2011); prime minister appointed by the president, confirmed by Parliament |
| Executive branch: | election results: Valdis ZATLERS elected president; parliamentary vote - Valdis ZATLERS 58, Aivars ENDZINS 39 |
| Legislative branch: | unicameral Parliament or Saeima (100 seats; members elected by proportional representation from party lists by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 2 October 2010 (next to be held in October 2014) |
| Legislative branch: | election results: percent of vote by party - Unity bloc 31.2%, SC 26%, ZZS 19.7%, National Alliance 7.7%, For a Good Latvia bloc 7.7%; seats by party - Unity Coalition 33, SC 29, ZZS 22, National Alliance 8, For a Good Latvia 8 |
| Judicial branch: | Supreme Court (judges' appointments are confirmed by parliament); Constitutional Court (judges' appointments are confirmed by parliament) |
| Political parties and leaders: | All For Latvia! [Irnants PARADNIEKS, Raivis DZINTARS]; Civic Union [Sandra KALNIETE, Girts Valdis KRISTOVSKIS]; First Party of Latvia/Latvia's Way or LPP/LC [Ainars SLESERS]; For a Good Latvia (alliance of TP, LPP/LC); For Human Rights in a United Latvia or PCTVL [Jakovs PLINERS, Tatjana ZDANOKA]; For the Fatherland and Freedom/Latvian National Independence Movement or TB/LNNK [Roberts ZILE, Maris GRINBLATS]; Harmony Center or SC [Nils USAKOVS, Janis URBANOVICS]; National Alliance (alliance of TB/LNNK, All For Latvia!); New Era Party or JL [Solvita ABOLTINA, Dzintars ZAKIS]; People's Party or TP [Andris SKELE]; Society for Different Politics or SCP [Aigars STOKENBERGS; Artis PABRIKS]; The Union of Latvian Greens and Farmers Party or ZZS [Augusts BRIGMANIS]; Unity bloc (alliance of Civic Union, New Era, SCP) |
| Political pressure groups and leaders: | Free Trade Union Confederation of Latvia [Peteris KRIGERS], Employers' Confederation of Latvia [Elina EGLE], Farmers' Parliament [Juris LAZDINS] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CE, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NATO, NIB, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Andrejs PILDEGOVICS |
| Diplomatic representation in the US: | chancery: 2306 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-2840 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Judith G. GARBER |
| Diplomatic representation from the US: | embassy: 7 Raina Boulevard, Riga LV-1510 |
| Diplomatic representation from the US: | mailing address: American Embassy Riga, PSC 78, Box Riga, APO AE 09723 |
| Diplomatic representation from the US: | telephone: [371] 670-36200 |
| Diplomatic representation from the US: | FAX: [371] 678-20047 |
| Flag description: | three horizontal bands of maroon (top), white (half-width), and maroon; the flag is one of the older banners in the world; a medieval chronicle mentions a red standard with a white stripe being used by Latvian tribes in about 1280 |
| National anthem: | name: "Dievs, sveti Latviju!" (God Bless Latvia) |
| National anthem: | lyrics/music: Karlis BAUMANIS |
| National anthem: | note: adopted 1920, restored 1990; the song was first performed in 1873 while Latvia was a part of Russia; the anthem was banned during the Soviet occupation from 1940 to 1990 |
