| Government | Saint Barthelemy |
| --- | --- |
| Country name: | conventional long form: Overseas Collectivity of Saint Barthelemy |
| Country name: | conventional short form: Saint Barthelemy |
| Country name: | local long form: Collectivite d'outre mer de Saint-Barthelemy |
| Country name: | local short form: Saint-Barthelemy |
| Country name: | abbreviation: Saint-Barth (French); St. Barts or St. Barths (English) |
| Country name: | etymology: explorer Christopher COLUMBUS named the island in honor of his brother Bartolomeo's namesake saint in 1493 |
| Dependency status: | overseas collectivity of France |
| Government type: | parliamentary democracy (Territorial Council); overseas collectivity of France |
| Capital: | name: Gustavia |
| Capital: | geographic coordinates: 17 53 N, 62 51 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Independence: | none (overseas collectivity of France) |
| National holiday: | Fete de la Federation, 14 July (1790); note - local holiday is St. Barthelemy Day, 24 August (1572) |
| Constitution: | history: 4 October 1958 (French Constitution) (2018) |
| Constitution: | amendments: amendment procedures of France's constitution apply (2018) |
| Legal system: | French civil law |
| Citizenship: | see France |
| Suffrage: | 18 years of age, universal |
| Executive branch: | chief of state: President Emmanuel MACRON (since 14 May 2017), represented by Prefect Anne LAUBIES (since 8 June 2015) |
| Executive branch: | head of government: President of Territorial Council Bruno MAGRAS (since 16 July 2007) |
| Executive branch: | cabinet: Executive Council elected by the Territorial Council; note - there is also an advisory, economic, social, and cultural council |
| Executive branch: | elections/appointments: French president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); prefect appointed by the French president on the advice of French Ministry of Interior; president of Territorial Council indirectly elected by its members for a 5-year term; election last held on 2 April 2017 (next to be held in 2022) |
| Executive branch: | election results: Bruno MAGRAS (SBA) reelected president; Territorial Council vote - NA |
| Legislative branch: | description: unicameral Territorial Council (19 seats; members elected by absolute majority vote in the first round vote and proportional representation vote in the second round; members serve 5-year terms) Saint Barthelemy indirectly elects 1 senator to the French Senate by an electoral college for a 6-year term and directly elects 1 deputy (shared with Saint Martin) to the French National Assembly |
| Legislative branch: | elections: Territorial Council - last held on 19 March 2017 (next to be held in 2022) French Senate - election last held in September 2014 (next to be held not later than September 2017) French National Assembly - election last held on 11 and 18 June 2017 (next to be held by June 2022) |
| Legislative branch: | election results: Territorial Council - percent of vote by party - SBA 53.7%, United for Saint Barth 20.6%, Saint Barth Essential 18.1%, All for Saint Barth 7.7%; seats by party - SBA 14, United for Saint Barth 2, Saint Barth Essential 2, All for Saint Barth 1 French Senate - percent of vote by party NA; seats by party UMP 1 French National Assembly - percent of vote by party NA; seats by party UMP 1 |
| Political parties and leaders: | All for Saint Barth (Tous pour Saint-Barth) [Bettina COINTRE] |
| Political parties and leaders: | Saint Barth Essential (Saint-Barth Autrement) [Marie-Helene BERNIER] |
| Political parties and leaders: | Saint Barth First! (Saint-Barth d'Abord!) or SBA [Bruno MAGRAS] |
| Political parties and leaders: | Saint Barth United (Unis pour Saint-Barthelemy) [Xavier LEDEE] |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (overseas collectivity of France) |
| Diplomatic representation from the US: | none (overseas collectivity of France) |
| Flag description: | the flag of France is used |
| National symbol(s): | pelican |
| National anthem: | name: "L'Hymne a St. Barthelemy" (Hymn to St. Barthelemy) |
| National anthem: | lyrics/music: Isabelle Massart DERAVIN/Michael VALENTI |
| National anthem: | note: local anthem in use since 1999; as a collectivity of France, "La Marseillaise" is official (see France) |
