| Government | Comoros |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local short form: Comores |
| Country name: | local long form: Union des Comores |
| Government type: | independent republic |
| Capital: | Moroni |
| Administrative divisions: | 3 islands; Grande Comore (Njazidja), Anjouan (Nzwani), and Moheli (Mwali); note - there are also four municipalities named Domoni, Fomboni, Moroni, and Moutsamoudou |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | 23 December 2001 |
| Constitution: | note: a Transitional National Unity Government (GUNT) was formed on 20 January 2002 following the passing of the new constitution; the GUNT governed until the presidential elections on 14 April 2002 |
| Legal system: | French and Muslim law in a new consolidated code |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President AZALI Assoumani (since 26 May 2002); note - AZALI Assoumani became president on 6 May 1999 after a bloodless coup on 30 April 1999; on 16 January 2002, President AZALI resigned his position to run in the 14 April 2002 presidential elections; during that time, Prime Minister Hamada Madi BOLERO served as interim president; AZALI Assoumani sworn in as president on 26 May 2002 |
| Executive branch: | election results: President AZALI Assoumani elected president with 75% of the vote |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 14 April 2002 (next to be held NA April 2007); prime minister appointed by the president |
| Executive branch: | head of government: Prime Minister Hamada Madi BOLERO (since NA November 2000); note - on 16 January 2002, President AZALI resigned his position to run in the 14 April 2002 presidential elections; Prime Minister Hamada Madi BOLERO was appointed interim president and Djaffar SALIM interim deputy prime minister |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Legislative branch: | bicameral legislature consists of the Senate (15 seats - five from each island); members selected by regional councils for six-year terms) and a Federal Assembly or Assemblee Federale (42 seats; members elected by popular vote to serve five-year terms); note - the Federal Assembly was dissolved following the coup of 30 April 1999 |
| Legislative branch: | elections: Federal Assembly - last held 1 and 8 December 1996 (next to be held NA April 2003) |
| Legislative branch: | note: the constitution stipulates that only parties that win six seats in the Federal Assembly (two from each island) are permitted to be in the opposition, but if no party accomplishes that, the second most successful party will be in the opposition; in the elections of December 1996 the FNJ appeared to qualify as opposition |
| Legislative branch: | election results: Federal Assembly - percent of vote by party - NA%; seats by party - RND 39, FNJ 3, independent 1 |
| Judicial branch: | Supreme Court or Cour Supremes (two members appointed by the president, two members elected by the Federal Assembly, one elected by the Council of each island, and others are former presidents of the republic) |
| Political parties and leaders: | Front National pour la Justice or FNJ (Islamic party in opposition) [Ahmed Abdallah MOHAMED, Ahmed ABOUBACAR, Soidiki M'BAPANOZA]; Rassemblement National pour le Development or RND (party of the government) [Ali Bazi SELIM] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AFESD, AL, CCC, ECA, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, InOC, Interpol, IOC, ISO (subscriber), ITU, NAM, OAU, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WMO, WTrO (applicant) |
| Diplomatic representation in the US: | chief of mission: Ambassador-designate Ahmed DJABIR (ambassador to the US and Canada and permanent representative to the UN) |
| Diplomatic representation in the US: | telephone: [1] (212) 972-8010 and 223-2711 |
| Diplomatic representation in the US: | FAX: [1] (212) 983-4712 and 715-0699 |
| Diplomatic representation in the US: | chancery: (temporary) care of the Permanent Mission of the Federal and Islamic Republic of the Comoros to the United Nations, 420 East 50th Street, New York, NY 10022 |
| Diplomatic representation from the US: | the US does not have an embassy in Comoros; the ambassador to Mauritius is accredited to Comoros |
| Flag description: | four equal horizontal bands of yellow (top), white, red, and blue with a green isosceles triangle based on the hoist; centered within the triangle is a white crescent with the convex side facing the hoist and four white, five-pointed stars placed vertically in a line between the points of the crescent; the horizontal bands and the four stars represent the four main islands of the archipelago - Mwali, Njazidja, Nzwani, and Mayotte (a territorial collectivity of France, but claimed by Comoros); the crescent, stars, and color green are traditional symbols of Islam |
