| Government | Comoros |
| --- | --- |
| Country name: | conventional long form: Union of the Comoros |
| Country name: | conventional short form: Comoros |
| Country name: | local long form: Union des Comores |
| Country name: | local short form: Comores |
| Government type: | republic |
| Capital: | name: Moroni |
| Capital: | geographic coordinates: 11 42 S, 43 14 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 3 islands and 4 municipalities*; Grande Comore, Anjouan, Domoni*, Fomboni*, Moheli, Moroni*, Mutsamudu* |
| Independence: | 6 July 1975 (from France) |
| National holiday: | Independence Day, 6 July (1975) |
| Constitution: | 23 December 2001 |
| Legal system: | French and Islamic law in a new consolidated code; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ahmed Abdallah SAMBI (since 26 May 2006) |
| Executive branch: | head of government: President Ahmed Abdallah SAMBI (since 26 May 2006) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: as defined by the 2001 constitution, the presidency rotates every four years among the elected presidents from the three main islands in the Union; election last held 14 May 2006 (next to be held by May 2010); prime minister appointed by the president; note - the post of prime minister has been vacant since May 2002 |
| Executive branch: | election results: Ahmed Abdallah SAMBI elected president; percent of vote - Ahmed Abdallah SAMBI 58.0%, Ibrahim HALIDI 28.3%, Mohamed DJAANFAMI 13.7% |
| Legislative branch: | unicameral Assembly of the Union (33 seats; 15 deputies are selected by the individual islands' local assemblies and 18 by universal suffrage; to serve for five years); |
| Legislative branch: | elections: last held 18 and 25 April 2004 (next to be held in 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - CdIA 12, CRC 6; note - 15 additional seats are filled by deputies from local island assemblies |
| Judicial branch: | Supreme Court or Cour Supremes (two members appointed by the president, two members elected by the Federal Assembly, one elected by the Council of each island, and others are former presidents of the republic) |
| Political parties and leaders: | Convention for the Renewal of the Comoros or CRC [AZALI Assowmani]; Camp of the Autonomous Islands or CdIA (a coalition of parties organized by the islands' presidents in opposition to the Union President); Front National pour la Justice or FNJ [Ahmed RACHID] (Islamic party in opposition); Mouvement pour la Democratie et le Progress or MDP-NGDC [Abbas DJOUSSOUF]; Parti Comorien pour la Democratie et le Progress or PCDP [Ali MROUDJAE]; Rassemblement National pour le Development or RND [Omar TAMOU, Abdoulhamid AFFRAITANE] |
| Political pressure groups and leaders: | other: environmentalists |
| International organization participation: | ACCT, ACP, AfDB, AMF, AU, COMESA, FAO, FZ, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IPU, ITSO, ITU, ITUC, LAS, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Representative to the US and Ambassador to the UN Mohamed TOIHIRI |
| Diplomatic representation in the US: | chancery: Mission to the US, 866 United Nations Plaza, Suite 418, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-1637 |
| Diplomatic representation from the US: | the US does not have an embassy in Comoros; the ambassador to Madagascar is accredited to Comoros |
| Flag description: | four equal horizontal bands of yellow (top), white, red, and blue with a green isosceles triangle based on the hoist; centered within the triangle is a white crescent with the convex side facing the hoist and four white, five-pointed stars placed vertically in a line between the points of the crescent; the horizontal bands and the four stars represent the four main islands of the archipelago - Mwali, Njazidja, Nzwani, and Mahore (Mayotte - territorial collectivity of France, but claimed by Comoros) |
| Flag description: | note: the crescent, stars, and color green are traditional symbols of Islam |
