| Government | Cambodia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Cambodia |
| Country name: | conventional short form: Cambodia |
| Country name: | local short form: Kampuchea |
| Country name: | local long form: Preahreacheanachakr Kampuchea |
| Country name: | former: Khmer Republic, Kampuchea Republic |
| Government type: | multiparty democracy under a constitutional monarchy established in September 1993 |
| Capital: | Phnom Penh |
| Administrative divisions: | 20 provinces (khett, singular and plural) and 4 municipalities* (krong, singular and plural); Banteay Mean Cheay, Batdambang, Kampong Cham, Kampong Chhnang, Kampong Spoe, Kampong Thum, Kampot, Kandal, Kaoh Kong, Keb*, Kracheh, Mondol Kiri, Otdar Mean Cheay, Pailin*, Phnum Penh*, Pouthisat, Preah Seihanu*, Preah Vihear, Prey Veng, Rotanah Kiri, Siem Reab, Stoeng Treng, Svay Rieng, Takev |
| Independence: | 9 November 1953 (from France) |
| National holiday: | Independence Day, 9 November (1953) |
| Constitution: | promulgated 21 September 1993 |
| Legal system: | primarily a civil law mixture of French-influenced codes from the United Nations Transitional Authority in Cambodia (UNTAC) period, royal decrees, and acts of the legislature, with influences of customary law and remnants of communist legal theory; increasing influence of common law in recent years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King Norodom SIHANOUK (reinstated 24 September 1993) |
| Executive branch: | head of government: Prime Minister HUN SEN (since 30 November 1998) and Deputy Prime Ministers SAR KHENG (since 1993) and TOL LAH (since 1998) |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | elections: none; the monarch is chosen by a Royal Throne Council; following legislative elections, a member of the majority party or majority coalition is named prime minister by the Chairman of the National Assembly and appointed by the king |
| Legislative branch: | bicameral consists of the National Assembly (122 seats; members elected by popular vote to serve five-year terms) and the Senate (61 seats; two members appointed by the monarch, two elected by the National Assembly, and 57 elected by "functional constituencies"; members serve five-year terms) |
| Legislative branch: | elections: National Assembly - last held 27 July 2003 (next to be held in July 2007); Senate - last held 2 March 1999 (next to be held in 2004) |
| Legislative branch: | election results: National Assembly - percent of vote by party - CPP 47%, SRP 22%, FUNCINPEC 21%, other 10%; seats by party - CPP 73, FUNCINPEC 26, SRP 24; Senate - percent of vote by party - NA%; seats by party - CPP 31, FUNCINPEC 21, SRP 7, other 2 (2003) |
| Judicial branch: | Supreme Council of the Magistracy (provided for in the constitution and formed in December 1997); Supreme Court (and lower courts) exercises judicial authority |
| Political parties and leaders: | Buddhist Liberal Party or BLP [IENG MOULY]; Cambodian Pracheachon Party or Cambodian People's Party or CPP [CHEA SIM]; Khmer Citizen Party or KCP [NGUON SOEUR]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [Prince NORODOM RANARIDDH]; Sam Rangsi Party or SRP (formerly Khmer Nation Party or KNP) [SAM RANGSI] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ARF, AsDB, ASEAN, CP, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITU, NAM, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador ROLAND ENG |
| Diplomatic representation in the US: | FAX: [1] (202) 726-8381 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7742 |
| Diplomatic representation in the US: | chancery: 4530 16th Street NW, Washington, DC 20011 |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles Aaron RAY |
| Diplomatic representation from the US: | embassy: 27 EO Street 240, Phnom Penh |
| Diplomatic representation from the US: | mailing address: Box P, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [855] (23) 216-436/438 |
| Diplomatic representation from the US: | FAX: [855] (23) 216-437/811 |
| Flag description: | three horizontal bands of blue (top), red (double width), and blue with a white three-towered temple representing Angkor Wat outlined in black in the center of the red band |
