| Government | New Zealand |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: New Zealand |
| Country name: | abbreviation: NZ |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Wellington |
| Capital: | geographic coordinates: 41 18 S, 174 47 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in September; ends first Sunday in April |
| Capital: | note: New Zealand is divided into two time zones - New Zealand standard time (12 hours in advance of UTC), and Chatham Islands time (45 minutes in advance of New Zealand standard time) |
| Administrative divisions: | 16 regions and 1 territory*; Auckland, Bay of Plenty, Canterbury, Chatham Islands*, Gisborne, Hawke's Bay, Manawatu-Wanganui, Marlborough, Nelson, Northland, Otago, Southland, Taranaki, Tasman, Waikato, Wellington, West Coast |
| Dependent areas: | Cook Islands, Niue, Tokelau |
| Independence: | 26 September 1907 (from the UK) |
| National holiday: | Waitangi Day (Treaty of Waitangi established British sovereignty over New Zealand), 6 February (1840); ANZAC Day (commemorated as the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | consists of a series of legal documents, including certain acts of the UK and New Zealand parliaments, as well as The Constitution Act 1986, which is the principal formal charter; adopted 1 January 1987, effective 1 January 1987 |
| Legal system: | common law system, based on English model, with special legislation and land courts for the Maori |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Lt Gen Sir Jerry MATEPARAE (since 31 August 2011) |
| Executive branch: | head of government: Prime Minister John KEY (since 19 November 2008); Deputy Prime Minister Simon William ENGLISH (since 19 November 2008) |
| Executive branch: | cabinet: Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of a majority coalition usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Legislative branch: | unicameral House of Representatives - commonly called Parliament (usually 120 seats; 70 members elected by popular vote in single-member constituencies including 7 Maori constituencies, 50 proportional seats chosen from party lists; serve three-year terms) |
| Legislative branch: | elections: last held on 26 November 2011 (next to be held not later than November 2014) |
| Legislative branch: | election results: percent of vote by party - National Party 48%, Labor Party 27.1%, Green Party 10.6%, NZ First 6.8%, Maori 1.4%, ACT Party 1.1%, Mana 1%, United Future 0.6%, other 3.43%; seats by party - National Party 60, Labor Party 34, Green Party 13, NZ First 8, Maori 3, ACT Party 1, Mana 1, United Future 1 |
| Legislative branch: | note: results of 2011 election saw the total number of seats decline to 121 |
| Judicial branch: | Supreme Court; Court of Appeal; High Court; note - judges appointed by the governor general |
| Political parties and leaders: | ACT New Zealand [Rodney HIDE]; Green Party [Russel NORMAN and Metiria TUREI]; Mana Party [Hone HARAWIRA]; Maori Party [Tariana TURIA and Dr. Pita SHARPLES]; New Zealand National Party [John KEY]; New Zealand First Party or NZ First [Winston PETERS]; New Zealand Labor Party [Phil GOFF]; Jim Anderton's Progressive Party [James (Jim) ANDERTON]; United Future New Zealand [Peter DUNNE] |
| Political pressure groups and leaders: | Women's Electoral Lobby or WEL |
| Political pressure groups and leaders: | other: apartheid groups; civil rights groups; farmers groups; Maori; nuclear weapons groups; women's rights groups |
| International organization participation: | ADB, ANZUS (US suspended security obligations to NZ on 11 August 1986), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CD, CP, EAS, EBRD, FAO, FATF, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NSG, OECD, OPCW, Paris Club (associate), PCA, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMISS, UNMIT, UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael K. MOORE |
| Diplomatic representation in the US: | chancery: 37 Observatory Circle NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-4800 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5227 |
| Diplomatic representation in the US: | consulate(s) general: New York, Santa Monica |
| Diplomatic representation from the US: | chief of mission: Ambassador David HUEBNER |
| Diplomatic representation from the US: | embassy: 29 Fitzherbert Terrace, Thorndon, Wellington |
| Diplomatic representation from the US: | mailing address: P. O. Box 1190, Wellington; PSC 467, Box 1, APO AP 96531-1034 |
| Diplomatic representation from the US: | telephone: [64] (4) 462-6000 |
| Diplomatic representation from the US: | FAX: [64] (4) 499-0490 |
