| Government | Greenland |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Greenland |
| Country name: | local long form: none |
| Country name: | local short form: Kalaallit Nunaat |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 |
| Government type: | parliamentary democracy within a constitutional monarchy |
| Capital: | name: Nuuk (Godthab) |
| Capital: | geographic coordinates: 64 11 N, 51 45 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: Greenland has four time zones |
| Administrative divisions: | 4 municipalities (kommuner, singular kommune); Kujalleq, Qaasuitsup, Qeqqata, Sermersooq |
| Administrative divisions: | note: the North and East Greenland National Park (Avannaarsuani Tunumilu Nuna Allanngutsaaliugaq) and the Thule Air Base in Pituffik (in northwest Greenland) are two unincorporated areas; the national park's 972,000 sq km - about 46% of the island - make it the largest national park in the world and also the most northerly |
| Independence: | none (extensive self-rule as part of the Kingdom of Denmark; foreign affairs is the responsibility of Denmark, but Greenland actively participates in international agreements relating to Greenland) |
| National holiday: | June 21 (longest day) |
| Constitution: | previous 1953 (Greenland established as a constituency in the Danish constitution), 1979 (Greenland Home Rule Act); latest 21 June 2009 (Greenland Self-Government Act) (2009) |
| Legal system: | the laws of Denmark apply |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Mikaela ENGELL (since April 2011) |
| Executive branch: | head of government: Prime Minister Aleqa HAMMOND (since 13 March 2013) |
| Executive branch: | cabinet: Home Rule Government elected by the Parliament (Landsting) on the basis of the strength of parties |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; high commissioner appointed by the monarch; prime minister elected by parliament (usually the leader of the majority party) |
| Executive branch: | election results: Aleqa HAMMOND elected prime minister |
| Legislative branch: | unicameral Parliament or Inatsisartut (Landsting) (31 seats; members elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 13 March 2013 (next to be held by 2017) |
| Legislative branch: | election results: percent of vote by party - S 42.8%, IA 34.4%, A 8.1%, PI 6.4%; D 6.2%; other 2.1%; seats by party - S 14, IA 11, A 2, PI 2, D 2 |
| Legislative branch: | note: two representatives were elected to the Danish Parliament or Folketing on 15 September 2011 (next to be held by September 2015); percent of vote by party - NA; seats by party - Siumut 1, Inuit Ataqatigiit 1 (2013) |
| Judicial branch: | highest court(s): High Court of Greenland (consists of the presiding professional judge and 2 lay assessors) |
| Judicial branch: | note - appeals beyond the High Court of Greenland can be heard by the Supreme Court (in Copenhagen) |
| Judicial branch: | judge selection and term of office: judges appointed by the monarch upon the recommendation of the Judicial Appointments Council, a 6-member independent body of judges and lawyers; judges appointed for life with retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Greenland; 18 district or magistrates' courts |
| Political parties and leaders: | Candidate List (Kattusseqatigiit) or K [Anthon FREDERIKSEN] |
| Political parties and leaders: | Democrats Party (Demokraatit) or D [Jens B. FREDERIKSEN] |
| Political parties and leaders: | Forward Party (Siumut) or S [Aleqa HAMMOND] |
| Political parties and leaders: | Inuit Community (Inuit Ataqatigiit) or IA [Kuupik KLEIST] |
| Political parties and leaders: | Inuit Party (Partii Inuit) or PI [Nikku OLSEN] |
| Political parties and leaders: | Solidarity Party (Atassut) or A [Gerhardt PETERSEN] |
| Political pressure groups and leaders: | conservationists; environmentalists |
| International organization participation: | Arctic Council, ICC, NC, NIB, UPU |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | two equal horizontal bands of white (top) and red with a large disk slightly to the hoist side of center - the top half of the disk is red, the bottom half is white; the design represents the sun reflecting off a field of ice; the colors are the same as those of the Danish flag and symbolize Greenland's links to the Kingdom of Denmark |
| National symbol(s): | polar bear |
| National anthem: | name: "Nunarput utoqqarsuanngoravit" ("Our Country, Who's Become So Old" also translated as "You Our Ancient Land") |
| National anthem: | lyrics/music: Henrik LUND/Jonathan PETERSEN |
| National anthem: | note: adopted 1916; the government also recognizes "Nuna asiilasooq" as a secondary anthem |
