| Government |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Greenland |
| Country name: | local long form: none |
| Country name: | local short form: Kalaallit Nunaat |
| Dependency status: | part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979 |
| Government type: | parliamentary democracy within a constitutional monarchy |
| Capital: | Nuuk (Godthab) |
| Administrative divisions: | 3 districts (landsdele); Avannaa (Nordgronland), Tunu (Ostgronland), Kitaa (Vestgronland) |
| Administrative divisions: | note: there are 18 municipalities in Greenland |
| Independence: | none (part of the Kingdom of Denmark; self-governing overseas administrative division of Denmark since 1979) |
| Independence: | note: foreign affairs is the responsibility of Denmark, but Greenland actively participates in international agreements relating to Greenland |
| National holiday: | June 21 (longest day) |
| Constitution: | 5 June 1953 (Danish constitution) |
| Legal system: | Danish |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Gunnar MARTENS (since NA 1995) |
| Executive branch: | head of government: Prime Minister Jonathan MOTZFELDT (since 19 September 1997) |
| Executive branch: | cabinet: Home Rule Government is elected by the Parliament (Landstinget) on the basis of the strength of parties |
| Executive branch: | elections: the monarch is hereditary; high commissioner appointed by the monarch; prime minister is elected by Parliament (usually the leader of the majority party); election last held 16 February 1999 (next to be held NA February 2003) |
| Executive branch: | election results: Jonathan MOTZFELDT reelected prime minister following the 16 February 1999 elections; percent of parliamentary vote - 57.3% |
| Executive branch: | note: government coalition - Siumut and Inuit Ataqatigiit (IA) |
| Legislative branch: | unicameral Parliament or Landstinget (31 seats; members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 16 February 1999 (next to be held by NA February 2003) |
| Legislative branch: | election results: percent of vote by party - Siumut 35.2%, Inuit Ataqatigiit 22.1%, Atassut Party 25.2%, Candidate's League 12.3%, independent 5.2%; seats by party - Siumut 11, Atassut 8, Inuit Ataqatigiit 7, Candidate List 4, independent 1 |
| Legislative branch: | note: two representatives were elected to the Danish Parliament or Folketing on 11 March 1998 (next to be held by not later than March 2002); percent of vote by party - Siumut 35.6%, Atassut 35.2%; seats by party - Siumut 1, Atassut 1; Greenlandic representatives are affiliated with Danish political parties (Siamut with Social Democratic Party and Atassut with Liberal Party) |
| Judicial branch: | High Court or Landsret (appeals can be made to the Ostre Landsret or Eastern Division of the High Court or Supreme Court in Copenhagen) |
| Political parties and leaders: | Akulliit Party [Bjarne KREUTZMANN]; Atassut Party (Solidarity, a conservative party favoring continuing close relations with Denmark) [Daniel SKIFTE]; Inuit Ataqatigiit or IA (Eskimo Brotherhood, a leftist party favoring complete independence from Denmark rather than home rule) [Josef MOTZFELDT]; Issituup (Polar Party) [Nicolai HEINRICH]; Kattusseqatigiit (Candidate List, an independent right-of-center party with no official platform [leader NA]; Siumut (Forward Party, a social democratic party advocating more distinct Greenlandic identity and greater autonomy from Denmark) [Jonathan MOTZFELDT] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ICC, NC, NIB |
| Diplomatic representation in the US: | none (self-governing overseas administrative division of Denmark) |
| Diplomatic representation from the US: | none (self-governing overseas administrative division of Denmark) |
| Flag description: | two equal horizontal bands of white (top) and red with a large disk slightly to the hoist side of center - the top half of the disk is red, the bottom half is white |
