| Government | Svalbard |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Svalbard (sometimes referred to as Spitzbergen) |
| Dependency status: | territory of Norway; administered by the Polar Department of the Ministry of Justice, through a governor (sysselmann) residing in Longyearbyen, Spitsbergen; by treaty (9 February 1920) sovereignty was awarded to Norway |
| Government type: | NA |
| Capital: | Longyearbyen |
| Independence: | none (territory of Norway) |
| National holiday: | NA |
| Legal system: | NA |
| Executive branch: | chief of state: King HARALD V of Norway (since 17 January 1991) |
| Executive branch: | head of government: Governor Odd Olsen INGERO (since 8 June 2001) and Assistant Governor Rune Baard HANSEN (since NA) |
| Executive branch: | elections: none; the monarch is hereditary; governor and assistant governor responsible to the Polar Department of the Ministry of Justice |
| International organization participation: | none |
| Flag description: | the flag of Norway is used |
