| Government | SVALBARD |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Svalbard (sometimes referred to as Spitsbergen, the largest island in the archipelago) |
| Dependency status: | territory of Norway; administered by the Polar Department of the Ministry of Justice, through a governor (sysselmann) residing in Longyearbyen, Spitsbergen; by treaty (9 February 1920) sovereignty was awarded to Norway |
| Government type: | NA |
| Capital: | name: Longyearbyen |
| Capital: | geographic coordinates: 78 13 N, 15 38 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Independence: | none (territory of Norway) |
| Legal system: | the laws of Norway where applicable apply only the laws of Norway made explicitly applicable to Svalbard have effect there; the Svalbard Act and the Svalbard Environmental Protection Act, and certain regulations, apply only to Svalbard; the Spitsbergen Treaty and the Svalbard Treaty grants certain rights to citizens and corporations of signatory nations |
| Citizenship: | see Norway |
| Executive branch: | chief of state: King HARALD V of Norway (since 17 January 1991) |
| Executive branch: | head of government: Governor Odd Olsen INGERO (since September 2009); Assistant Governor Lars Erik ALHEIM |
| Executive branch: | elections/appointments: none; the monarchy is hereditary; governor and assistant governor responsible to the Polar Department of the Ministry of Justice |
| Judicial branch: | highest court(s): none; note - Svalbard is subordinate to Norway's Nord-Troms District Court and Halogaland Court of Appeal, both located in Tromso |
| Political pressure groups and leaders: | NA |
| International organization participation: | none |
| Flag description: | the flag of Norway is used |
| National anthem: | note: as a territory of Norway, "Ja, vi elsker dette landet" is official (see Norway) |
