| Government | Sint Maarten |
| --- | --- |
| Country name: | Dutch long form: Land Sint Maarten |
| Country name: | Dutch short form: Sint Maarten |
| Country name: | English long form: Country of Sint Maarten |
| Country name: | English short form: Sint Maarten |
| Country name: | former: Netherlands Antilles; Curacao and Dependencies |
| Dependency status: | constituent country within the Kingdom of the Netherlands; full autonomy in internal affairs granted in 2010; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary |
| Capital: | name: Philipsburg |
| Capital: | geographic coordinates: 18 1 N, 63 2 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | Queen's Day (Birthday of Queen-Mother JULIANA and accession to the throne of her oldest daughter BEATRIX), 30 April (1909 and 1980) |
| Constitution: | Staatsregeling, 10 October 2010; revised Kingdom Charter pending |
| Legal system: | based on Dutch civil law system with some English common law influence |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen BEATRIX of the Netherlands (since 30 April 1980); represented by Governor General Eugene HOLIDAY (since 10 October 2010) |
| Executive branch: | head of government: Sarah WESCOTT-WILLIAMS (since 10 October 2010) |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch for a six-year term; following legislative elections, the leader of the majority party is usually elected prime minister by the legislature |
| Legislative branch: | unicameral parliament or Staten (15 seats; members elected by popular vote for four year term) |
| Legislative branch: | elections: last held 17 September 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - National Alliance 45.9%, UPP 36.1%, Democratic Party 17.1%; seats by party - National Alliance 7, UPP 6, Democratic Party 2 |
| Judicial branch: | Common Court of Justice, Joint High Court of Justice (judges appointed by the monarch) |
| Political parties and leaders: | Democratic Party or DP [Sarah WESCOTT-WILLIAMS]; National Alliance or NA [William MARLIN]; United People's Party or UPP [Theodore HEYLIGER]; Concordia Political Alliance or CPA [Jeffery RICHARDSON] |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | the US does not have an embassy in Sint Maarten; the Consul General to Curacao is accredited to Sint Maarten |
| Flag description: | two equal horizontal bands of red (top) and blue with a white isosceles triangle based on the hoist side; the center of the triangle displays the Sint Maarten coat of arms; the arms consist of an orange-bordered blue shield prominently displaying the white court house in Philipsburg, as well as a bouquet of yellow sage (the national flower) in the upper left, and the silhouette of a Dutch-French friendship monument in the upper right; the shield is surmounted by a yellow rising sun in front of which is a Brown Pelican in flight; a yellow scroll below the shield bears the motto: SEMPER PROGREDIENS (Always Progressing); the three main colors are identical to those on the Dutch flag |
| Flag description: | note: the flag somewhat resembles that of the Philippines, but with the main red and blue bands reversed; the banner more closely evokes the wartime Philippine flag |
| National anthem: | name: "O Sweet Saint Martin's Land" |
| National anthem: | lyrics/music: Gerard KEMPS |
| National anthem: | note: the song, written in 1958, is used as an unofficial anthem for the entire island (both French and Dutch sides); as a collectivity of France, in addition to the local anthem, "La Marseillaise" is official on the French side (see France); as a constituent part of the Kingdom of the Netherlands, in addition to the local anthem, "Het Wilhelmus" is official on the Dutch side (see Netherlands) |
