| Government | Canada |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Canada |
| Government type: | confederation with parliamentary democracy |
| Capital: | Ottawa |
| Administrative divisions: | 10 provinces and 3 territories*; Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories*, Nova Scotia, Nunavut*, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon Territory* |
| Independence: | 1 July 1867 (union of British North American colonies); 11 December 1931 (independence recognized) |
| National holiday: | Canada Day, 1 July (1867) |
| Constitution: | 17 April 1982 (Constitution Act); originally, the machinery of the government was set up in the British North America Act of 1867; charter of rights and unwritten customs |
| Legal system: | based on English common law, except in Quebec, where civil law system based on French law prevails; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Adrienne CLARKSON (since 7 October 1999) |
| Executive branch: | elections: none; the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister for a five-year term; following legislative elections, the leader of the majority party or the leader of the majority coalition in the House of Commons is automatically designated prime minister by the governor general |
| Executive branch: | head of government: Prime Minister Paul MARTIN (since 12 December 2003); Deputy Prime Minister Anne MCLELLAN (since 12 December 2003) |
| Executive branch: | cabinet: Federal Ministry chosen by the prime minister from among the members of his own party sitting in Parliament |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (members appointed by the governor general with the advice of the prime minister and serve until reaching 75 years of age; its normal limit is 105 senators) and the House of Commons or Chambre des Communes (308 seats; members elected by direct, popular vote to serve for up to five-year terms) |
| Legislative branch: | elections: House of Commons - last held 28 June 2004 (next to be held by NA 2009) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Liberal Party 36.7%, Conservative Party 29.6%, New Democratic Party 15.7%, Bloc Quebecois 12.4%, Greens 4.3%, independents 0.4%, other 0.9%; seats by party - Liberal Party 134, Conservative Party 99, Bloc Quebecois 54, New Democratic Party 19, independent 2 |
| Judicial branch: | Supreme Court of Canada (judges are appointed by the prime minister through the governor general); Federal Court of Canada; Federal Court of Appeal; Provincial Courts (these are named variously Court of Appeal, Court of Queens Bench, Superior Court, Supreme Court, and Court of Justice) |
| Political parties and leaders: | Bloc Quebecois [Gilles DUCEPPE]; Conservative Party of Canada (a merger of the Canadian Alliance and the Progressive Conservative Party) [Stephen HARPER]; Liberal Party [Paul MARTIN]; New Democratic Party [Jack LAYTON] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, AfDB, APEC, ARF, AsDB, ASEAN (dialogue partner), Australia Group, BIS, C, CDB, CE (observer), EAPC, EBRD, ESA (cooperating state), FAO, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINUSTAH, MONUC, NAM (guest), NATO, NEA, NSG, OAS, OECD, OPCW, OSCE, Paris Club, PCA, UN, UNAMSIL, UNCTAD, UNDOF, UNESCO, UNFICYP, UNHCR, UNMOVIC, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael F. KERGIN |
| Diplomatic representation in the US: | chancery: 501 Pennsylvania Avenue NW, Washington, DC 20001 |
| Diplomatic representation in the US: | FAX: [1] (202) 682-7726 |
| Diplomatic representation in the US: | telephone: [1] (202) 682-1740 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Buffalo, Chicago, Dallas, Detroit, Los Angeles, Miami, Minneapolis, New York, and Seattle |
| Diplomatic representation in the US: | consulate(s): Anchorage, Denver, Houston, Philadelphia, Raleigh-Durham, San Diego, San Francisco (trade office), and San Jose (trade office) |
| Diplomatic representation from the US: | chief of mission: Ambassador Paul CELLUCCI |
| Diplomatic representation from the US: | embassy: 490 Sussex Drive, Ottawa, Ontario K1N 1G8 |
| Diplomatic representation from the US: | mailing address: P. O. Box 5000, Ogdensburgh, NY 13669-0430 |
| Diplomatic representation from the US: | telephone: [1] (613) 238-5335, 4470 |
| Diplomatic representation from the US: | FAX: [1] (613) 688-3082 |
| Diplomatic representation from the US: | consulate(s) general: Calgary, Halifax, Montreal, Quebec, Toronto, Vancouver, Winnipeg |
| Flag description: | two vertical bands of red (hoist and fly side, half width), with white square between them; an 11-pointed red maple leaf is centered in the white square; the official colors of Canada are red and white |
