| Government | Gambia, The |
| --- | --- |
| Country name: | conventional long form: Republic of The Gambia |
| Country name: | conventional short form: The Gambia |
| Government type: | republic under multiparty democratic rule |
| Capital: | Banjul |
| Administrative divisions: | 5 divisions and 1 city*; Banjul*, Central River, Lower River, North Bank, Upper River, Western |
| Independence: | 18 February 1965 (from UK) |
| National holiday: | Independence Day, 18 February (1965) |
| Constitution: | 24 April 1970; suspended July 1994; rewritten and approved by national referendum 8 August 1996; reestablished in January 1997 |
| Legal system: | based on a composite of English common law, Koranic law, and customary law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Yahya A. J. J. JAMMEH (since 18 October 1996; note - from 1994 to 1996 was Chairman of the Junta); Vice President Isatou Njie SAIDY (since 20 March 1997); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Yahya A. J. J. JAMMEH (since 18 October 1996; note - from 1994 to 1996 was Chairman of the Junta); Vice President Isatou Njie SAIDY (since 20 March 1997); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; the number of terms is not restricted; election last held 18 October 2001 (next to be held NA October 2006) |
| Executive branch: | election results: Yahya A. J. J. JAMMEH reelected president; percent of vote - Yahya A. J. J. JAMMEH 52.9%, Ousainou DARBOE 32.7% |
| Legislative branch: | unicameral National Assembly (53 seats; 48 elected by popular vote, five appointed by the president; members serve five-year terms) |
| Legislative branch: | elections: last held 17 January 2002 (next to be held NA January 2007) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - APRC 45, PDOIS 2, NRP 1, |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Patriotic Reorientation and Construction or APRC [Yahya A. J. J. JAMMEH]; Gambian People's Party-Progressive People's Party-United Democratic Party or GPP-PPP-UDP Coalition [Ousainou DARBOE]; National Convention Party or NCP [Sheriff DIBBA]; National Reconciliation Party or NRP [Hamat N. K. BAH]; People's Democratic Organization for Independence and Socialism or PDOIS [Sidia JATTA] |
| Political parties and leaders: | note: in August 2001, an independent electoral commission allowed the reregistration of the GPP, NCP, and PPP, three parties banned since 1996 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, NAM, OAU, OIC, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIK, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Essa Bokar SEY |
| Diplomatic representation in the US: | chancery: Suite 1000, 1155 15th Street NW, Washington, DC 20005 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1430 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1399 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jackson McDONALD |
| Diplomatic representation from the US: | embassy: Kairaba Avenue, Fajara, Banjul |
| Diplomatic representation from the US: | mailing address: P. M. B. No. 19, Banjul |
| Diplomatic representation from the US: | telephone: [220] 392856, 392858, 391971 |
| Diplomatic representation from the US: | FAX: [220] 392475 |
| Flag description: | three equal horizontal bands of red (top), blue with white edges, and green |
