| Government | Gambia, The |
| --- | --- |
| Country name: | conventional long form: Republic of The Gambia |
| Country name: | conventional short form: The Gambia |
| Government type: | republic |
| Capital: | name: Banjul |
| Capital: | geographic coordinates: 13 27 N, 16 34 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 divisions and 1 city*; Banjul*, Central River, Lower River, North Bank, Upper River, Western |
| Independence: | 18 February 1965 (from UK) |
| National holiday: | Independence Day, 18 February (1965) |
| Constitution: | approved by national referendum 8 August 1996; effective 16 January 1997 |
| Legal system: | based on a composite of English common law, Islamic law, and customary law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Yahya A. J. J. JAMMEH (since 18 October 1996); note - from 1994 to 1996 he was chairman of the Junta; Vice President Isatou NJIE-SAIDY (since 20 March 1997); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Yahya A. J. J. JAMMEH (since 18 October 1996); Vice President Isatou NJIE-SAIDY (since 20 March 1997) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held 22 September 2006 (next to be held in 2011) |
| Executive branch: | election results: Yahya A. J. J. JAMMEH reelected president; percent of vote - Yahya A. J. J. JAMMEH 67.3%, Ousainou DARBOE 26.6%, Halifa SALLAH 6.0% |
| Legislative branch: | unicameral National Assembly (53 seats; 48 members elected by popular vote, 5 appointed by the president; to serve five-year terms) |
| Legislative branch: | elections: last held 25 January 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - APRC 47, UDP 4, NADD 1, independent 1 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Patriotic Reorientation and Construction or APRC (the ruling party) [Yahya A. J. J. JAMMEH]; Gambia People's Democratic Party or GPDP [Henry GOMEZ]; National Alliance for Democracy and Development or NADD [Halifa SALLAH]; National Convention Party or NCP [Sheriff DIBBA]; National Reconciliation Party or NRP [Hamat N. K. BAH]; People's Democratic Organization for Independence and Socialism or PDOIS [Sidia JATTA]; United Democratic Party or UDP [Ousainou DARBOE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, NAM, OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Dodou Bammy JAGNE |
| Diplomatic representation in the US: | chancery: Suite 905, 1156 15th Street NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1379 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-1430 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph D. STAFFORD, III |
| Diplomatic representation from the US: | embassy: Kairaba Avenue, Fajara, Banjul |
| Diplomatic representation from the US: | mailing address: P. M. B. No. 19, Banjul |
| Diplomatic representation from the US: | telephone: [220] 439-2856, 437-6169, 437-6170 |
| Diplomatic representation from the US: | FAX: [220] 439-2475 |
| Flag description: | three equal horizontal bands of red (top), blue with white edges, and green |
