| Government | CAMBODIA |
| --- | --- |
| Country name: | conventional long form: Kingdom of Cambodia |
| Country name: | conventional short form: Cambodia |
| Country name: | local long form: Preahreacheanachakr Kampuchea (phonetic transliteration) |
| Country name: | local short form: Kampuchea Kampuchea |
| Country name: | former: Khmer Republic, Democratic Kampuchea, People's Republic of Kampuchea, State of Cambodia |
| Country name: | etymology: the English name Cambodia is an anglicization of the French Cambodge, which is the French transliteration of the native name Kampuchea |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Phnom Penh |
| Capital: | geographic coordinates: 11 33 N, 104 55 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 24 provinces (khett, singular and plural) and 1 municipality (krong, singular and plural) |
| Administrative divisions: | provinces: Banteay Meanchey, Battambang, Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kep, Koh Kong, Kratie, Mondolkiri, Oddar Meanchey, Pailin, Preah Vihear, Prey Veng, Pursat, Ratanakiri, Siem Reap, Sihanoukville, Stung Treng, Svay Rieng, Takeo, Tbong Khmum |
| Administrative divisions: | municipalities: Phnom Penh (Phnum Penh) |
| Independence: | 9 November 1953 (from France) |
| National holiday: | Independence Day, 9 November (1953) |
| Constitution: | previous 1947; latest promulgated 21 September 1993; amended 1999, 2008, 2014 (2016) |
| Legal system: | civil law system (influenced by the UN Transitional Authority in Cambodia) customary law, Communist legal theory, and common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Cambodia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King Norodom SIHAMONI (since 29 October 2004) |
| Executive branch: | head of government: Prime Minister HUN SEN (since 14 January 1985); Permanent Deputy Prime Minister MEN SAM AN (since 25 September 2008); Deputy Prime Ministers SAR KHENG (since 3 February 1992), SOK AN, TEA BANH, HOR NAMHONG (all since 16 July 2004), BIN CHHIN (since 5 September 2007), KEAT CHHON, YIM CHHAI LY (since 24 September 2008), KE KIMYAN (since 12 March 2009) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and appointed by the monarch |
| Executive branch: | elections/appointments: monarch chosen by the 9-member, Royal Council of the Throne from among all eligible males of royal descent; following legislative elections, a member of the majority party or majority coalition named prime minister by the Chairman of the National Assembly and appointed by the monarch |
| Legislative branch: | description: bicameral Parliament of Cambodia consists of the Senate (61 seats; 57 indirectly elected by parliamentarians and commune councils, 2 indirectly elected by the National Assembly, and 2 appointed by the monarch; members serve 6-year terms) and the National Assembly (123 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | note: two seats will be added to the National Assembly in 2018, for a total of 125 |
| Legislative branch: | elections: Senate - last held on 4 February 2012 (next to be held in 2018); National Assembly - last held on 28 July 2013 (next to be held in July 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - CPP 77.8%, SRP 22.2%; seats by party - CPP 46, SRP 11; National Assembly - percent of vote by party - CPP 48.8%, CNRP 44.5%, other 6.7%; seats by party - CPP 68, CNRP 55 |
| Judicial branch: | highest court(s): Supreme Council (organized into 5- and 9-judge panels and includes a court chief and deputy chief); Constitutional Court (consists of 9 members); note - in 1997, the Cambodian Government requested UN assistance in establishing trials to prosecute former Khmer Rouge senior leaders for crimes against humanity committed during the 1975-1979 Khmer Rouge regime; the Extraordinary Chambers of the Courts in Cambodia (also called the Khmer Rouge Tribunal) were established and began hearings for the first case in 2009; court proceeding were ongoing in 2016 |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Council judge candidates recommended by the Supreme Council of Magistracy, a 17-member body chaired by the monarch and includes other high-level judicial officers; judges of both courts appointed by the monarch; Supreme Court judges appointed for life; Constitutional Council judges appointed for 9-year terms with one-third of the court renewed every 3 years |
| Judicial branch: | subordinate courts: Appellate Court; provincial and municipal courts; Military Court |
| Political parties and leaders: | Cambodian National Rescue Party or CNRP [SAM RANGSI, also spelled SAM RAINSY] (a July 2012 merger between the Sam Rangsi Party or SRP and the former Human Rights Party or HRP [KHEM SOKHA, also spelled KEM SOKHA]) |
| Political parties and leaders: | Cambodian People's Party or CPP [HUN SEN] |
| Political pressure groups and leaders: | Partnership for Transparency Fund or PTF (anti-corruption organization) |
| Political pressure groups and leaders: | Students Movement for Democracy |
| Political pressure groups and leaders: | The Committee for Free and Fair Elections or Comfrel |
| Political pressure groups and leaders: | other: human rights organizations; labor unions; youth groups |
| International organization participation: | ADB, ARF, ASEAN, CICA, CICA (observer), EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MINUSMA, MIGA, NAM, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador CHUM BUN RONG (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 4530 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7742 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-8381 |
| Diplomatic representation from the US: | chief of mission: Ambassador William A. HEIDT (since 2 December 2015) |
| embassy: | mailing address: Unit 8166, Box P, APO AP 96546 |
| embassy: | telephone: [855] (23) 728-000 |
| embassy: | FAX: [855] (23) 728-600 |
| Flag description: | three horizontal bands of blue (top), red (double width), and blue with a white three-towered temple representing Angkor Wat outlined in black in the center of the red band; red and blue are traditional Cambodian colors |
| Flag description: | note: only national flag to incorporate an actual building into its design |
| National symbol(s): | Angkor Wat temple, kouprey (wild ox); national colors: red, blue |
| National anthem: | name: "Nokoreach" (Royal Kingdom) |
| National anthem: | lyrics/music: CHUON NAT/F. PERRUCHOT and J. JEKYLL |
| National anthem: | note: adopted 1941, restored 1993; the anthem, based on a Cambodian folk tune, was restored after the defeat of the Communist regime |
