| Government | Cambodia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Cambodia |
| Country name: | conventional short form: Cambodia |
| Country name: | local long form: Preahreacheanachakr Kampuchea (phonetic pronunciation) |
| Country name: | local short form: Kampuchea |
| Country name: | former: Kingdom of Cambodia, Khmer Republic, Democratic Kampuchea, People's Republic of Kampuchea, State of Cambodia |
| Government type: | multiparty democracy under a constitutional monarchy |
| Capital: | name: Phnom Penh |
| Capital: | geographic coordinates: 11 33 N, 104 55 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 20 provinces (khaitt, singular and plural) and 4 municipalities* (krong, singular and plural) |
| Administrative divisions: | provinces: Banteay Mean Cheay, Batdambang, Kampong Cham, Kampong Chhnang, Kampong Spoe, Kampong Thum, Kampot, Kandal, Kaoh Kong, Krachen, Mondol Kiri, Otdar Mean Cheay, Pouthisat, Preah Vihear, Prey Veng, Rotanah Kiri, Siem Reab, Stoeng Treng, Svay Rieng, Takev |
| Administrative divisions: | municipalities: Keb, Pailin, Phnum Penh, Preah Seihanu |
| Independence: | 9 November 1953 (from France) |
| National holiday: | Independence Day, 9 November (1953) |
| Constitution: | promulgated 21 September 1993 |
| Legal system: | primarily a civil law mixture of French-influenced codes from the United Nations Transitional Authority in Cambodia (UNTAC) period, royal decrees, and acts of the legislature, with influences of customary law and remnants of communist legal theory; increasing influence of common law in recent years; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King Norodom SIHAMONI (since 29 October 2004) |
| Executive branch: | head of government: Prime Minister HUN SEN (since 14 January 1985) and Deputy Prime Ministers SAR KHENG (since 3 February 1992); SOK AN, LU LAY SRENG, TEA BANH, HOR NAMHONG, NHEK BUNCHHAY (since 16 July 2004); KEV PUT REAKSMEI (since 24 October 2006) |
| Executive branch: | cabinet: Council of Ministers in theory appointed by the monarch; in practice named by the prime minister |
| Executive branch: | elections: none; the monarch is chosen by a Royal Throne Council; following legislative elections, a member of the majority party or majority coalition is named prime minister by the Chairman of the National Assembly and appointed by the king |
| Legislative branch: | bicameral, consists of the National Assembly (123 seats; members elected by popular vote to serve five-year terms) and the Senate (61 seats; 2 members appointed by the monarch, 2 elected by the National Assembly, and 57 elected by parliamentarians and commune councils; members serve five-year terms) |
| Legislative branch: | elections: National Assembly - last held 27 July 2003 (next to be held in July 2008); Senate - last held 22 January 2006 (next to be held in January 2011) |
| Legislative branch: | election results: National Assembly - percent of vote by party - CPP 47%, SRP 22%, FUNCINPEC 21%, other 10%; seats by party - CPP 73, FUNCINPEC 26, SRP 24; Senate - percent of vote by party - CPP 69%, FUNCINPEC 21%, SRP 10%; seats by party - CPP 45, FUNCINPEC 10, SRP 2 (January 2006) |
| Judicial branch: | Supreme Council of the Magistracy (provided for in the constitution and formed in December 1997); Supreme Court (and lower courts) exercises judicial authority |
| Political parties and leaders: | Cambodian Pracheachon Party (Cambodian People's Party) or CPP [CHEA SIM]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [KEV PUT REAKSMEI]; Sam Rangsi Party or SRP [SAM RANGSI] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, APT, ARF, AsDB, ASEAN, EAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador EK SEREYWATH |
| Diplomatic representation in the US: | chancery: 4530 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7742 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-8381 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph A. MUSSOMELI |
| Diplomatic representation from the US: | embassy: #1, Street 96, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh |
| Diplomatic representation from the US: | mailing address: Box P, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [855] (23) 728-000 |
| Diplomatic representation from the US: | FAX: [855] (23) 728-600 |
| Flag description: | three horizontal bands of blue (top), red (double width), and blue with a white three-towered temple representing Angkor Wat outlined in black in the center of the red band; only national flag to incorporate an actual building in its design |
