| Government | Cambodia |
| --- | --- |
| Country name: | conventional long form: Kingdom of Cambodia |
| Country name: | conventional short form: Cambodia |
| Country name: | local long form: Preahreacheanachakr Kampuchea (phonetic pronunciation) |
| Country name: | local short form: Kampuchea |
| Country name: | former: Khmer Republic, Democratic Kampuchea, People's Republic of Kampuchea, State of Cambodia |
| Government type: | multiparty democracy under a constitutional monarchy |
| Capital: | name: Phnom Penh |
| Capital: | geographic coordinates: 11 33 N, 104 55 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 provinces (khett, singular and plural) and 1 municipality (krong, singular and plural) |
| Administrative divisions: | provinces: Banteay Mean Choay, Batdambang, Kampong Cham, Kampong Chhnang, Kampong Spoe, Kampong Thum, Kampot, Kandal, Kaoh Kong, Keb, Krachen, Mondol Kiri, Otdar Mean Choay, Pailin, Pouthisat, Preah Seihanu (Sihanoukville), Preah Vihear, Prey Veng, Rotanokiri, Siem Reab, Stoeng Treng, Svay Rieng, Takev |
| Administrative divisions: | municipalities: Phnum Penh (Phnom Penh) |
| Independence: | 9 November 1953 (from France) |
| National holiday: | Independence Day, 9 November (1953) |
| Constitution: | promulgated 21 September 1993 |
| Legal system: | civil law system (influenced by the UN Transitional Authority in Cambodia) customary law, Communist legal theory, and common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King Norodom SIHAMONI (since 29 October 2004) |
| Executive branch: | head of government: Prime Minister HUN SEN (since 14 January 1985) [co-prime minister from 1993 to 1997]; Permanent Deputy Prime Minister MEN SAM AN (since 25 September 2008); Deputy Prime Ministers SAR KHENG (since 3 February 1992); SOK AN, TEA BANH, HOR NAMHONG, NHEK BUNCHHAY (since 16 July 2004); BIN CHHIN (since 5 September 2007); KEAT CHHON, YIM CHHAI LY (since 24 September 2008); KE KIMYAN (since 12 March 2009) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the king chosen by a Royal Throne Council from among all eligible males of royal descent; following legislative elections, a member of the majority party or majority coalition named prime minister by the Chairman of the National Assembly and appointed by the king |
| Legislative branch: | bicameral, consists of the Senate (61 seats; 2 members appointed by the monarch, 2 elected by the National Assembly, and 57 elected by parliamentarians and commune councils; members serve five-year terms) and the National Assembly (123 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 22 January 2006 (next to be held in January 2012); National Assembly - last held on 27 July 2008 (next to be held in July 2013) |
| Legislative branch: | election results: Senate - percent of vote by party - CPP 69%, FUNCINPEC 21%, SRP 10%; seats by party - CPP 45, FUNCINPEC 10, SRP 2; National Assembly - percent of vote by party - CPP 58%, SRP 22%, HRP 7%; NRP 6%; FUNCINPEC 5%; others 2%; seats by party - CPP 90, SRP 26, HRP 3, FUNCINPEC 2, NRP 2 |
| Judicial branch: | Supreme Council of the Magistracy (provided for in the constitution and formed in December 1997); Supreme Court (and lower courts) exercises judicial authority |
| Political parties and leaders: | Cambodian People's Party or CPP [CHEA SIM]; Human Rights Party or HRP [KHEM SOKHA, also spelled KEM SOKHA]; National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [KEV PUT REAKSMEI]; Nationalist Party or NP [CHHIM SEAK LENG] (formerly the NRP); Sam Rangsi Party or SRP [SAM RANGSI, also spelled SAM RAINSY] |
| Political pressure groups and leaders: | Cambodian Freedom Fighters or CFF; Partnership for Transparency Fund or PTF (anti-corruption organization); Students Movement for Democracy; The Committee for Free and Fair Elections or Comfrel |
| Political pressure groups and leaders: | other: human rights organizations; vendors |
| International organization participation: | ADB, ARF, ASEAN, CICA, CICA (observer), EAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMISS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador HENG HEM |
| Diplomatic representation in the US: | chancery: 4530 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-7742 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-8381 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Jeff DIGLE |
| Diplomatic representation from the US: | embassy: #1, Street 96, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh |
| Diplomatic representation from the US: | mailing address: Box P, APO AP 96546 |
| Diplomatic representation from the US: | telephone: [855] (23) 728-000 |
| Diplomatic representation from the US: | FAX: [855] (23) 728-600 |
| Flag description: | three horizontal bands of blue (top), red (double width), and blue with a white three-towered temple representing Angkor Wat outlined in black in the center of the red band; red and blue are traditional Cambodian colors |
| Flag description: | note: only national flag to incorporate an actual building in its design |
| National symbol(s): | Angkor Wat temple; kouprey (wild ox) |
| National anthem: | name: "Nokoreach" (Royal Kingdom) |
| National anthem: | lyrics/music: CHUON NAT/F. PERRUCHOT and J. JEKYLL |
| National anthem: | note: adopted 1941, restored 1993; the anthem, based on a Cambodian folk tune, was restored after the defeat of the Communist regime |
