| Government | Cameroon |
| --- | --- |
| Country name: | conventional long form: Republic of Cameroon |
| Country name: | conventional short form: Cameroon |
| Country name: | local long form: Republique du Cameroun/Republic of Cameroon |
| Country name: | local short form: Cameroun/Cameroon |
| Country name: | former: Kamerun, French Cameroon, British Cameroon, Federal Republic of Cameroon, United Republic of Cameroon |
| Country name: | etymology: in the 15th century, Portuguese explorers named the area near the mouth of the Wouri River the Rio dos Camaroes (River of Prawns) after the abundant shrimp in the water; over time the designation became Cameroon in English; this is the only instance where a country is named after a crustacean |
| Government type: | presidential republic |
| Capital: | name: Yaounde |
| Capital: | geographic coordinates: 3 52 N, 11 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology:Â founded as a German colonial settlement ofÂ Jaunde in 1888 and named after the local Yaunde (Ewondo) people |
| Administrative divisions: | 10 regions (regions, singular - region); Adamaoua, Centre, East (Est), Far North (Extreme-Nord), Littoral, North (Nord), North-West (Nord-Ouest), West (Ouest), South (Sud), South-West (Sud-Ouest) |
| Independence: | 1 January 1960 (from French-administered UN trusteeship) |
| National holiday: | State Unification Day (National Day), 20 May (1972) |
| Constitution: | history: several previous; latest effective 18 January 1996 |
| Constitution: | amendments: proposed by the president of the republic or by Parliament; amendment drafts require approval of at least one third of the membership in either house of Parliament; passage requires absolute majority vote of the Parliament membership; passage of drafts requested by the president for a second reading in Parliament requires two-thirds majority vote of its membership; the president can opt to submit drafts to a referendum, in which case passage requires a simple majority; constitutional articles on Cameroonâ€™s unity and territorial integrity and its democratic principles cannot be amended; amended 2008 |
| Legal system: | mixed legal system of English common law, French civil law, and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Cameroon |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President Paul BIYA (since 6 November 1982) |
| Executive branch: | head of government: Prime Minister Joseph Dion NGUTE (since 4 January 2019); Deputy Prime Minister Amadou ALI (since 2014) |
| Executive branch: | cabinet: Cabinet proposed by the prime minister, appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term (no term limits); election last held on 7 October 2018 (next to be held in October 2025); prime minister appointed by the president |
| Executive branch: | election results: Paul BIYA reelected president; percent of vote - Paul BIYA (CPDM) 71.3%, Maurice KAMTO (MRC) 14.2%, Cabral LIBII (Univers) 6.3%, other 8.2% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of: |
| Legislative branch: | Senate or Senat (100 seats; 70 members indirectly elected by regional councils and 30 appointed by the president; members serve 5-year terms) |
| Legislative branch: | National Assembly or Assemblee Nationale (180 seats; members directly elected in multi-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 25 March 2018 (next to be held in 2023) |
| Legislative branch: | National Assembly - last held on 9 February 2020 (current term extended by President); note - the constitutional court has ordered a partial rerun of elections in the English speaking areas; date to be determined |
| Legislative branch: | election results: Senate - percent of vote by party - CDPM 81.1%, SDF 8.6%, UNDP 5.8%, UDC 1.16%, other 2.8%; seats by party - CPDM 63, SDF 7 |
| Legislative branch: | National Assembly - percent of vote by party - NA; seats by party - CPDM 139, UNDP 7, SDF 5, PCRN 5, UDC 4, FSNC 3, MDR 2, Union of Socialist Movements 2; 13 vacant; composition - NA |
| Judicial branch: | highest courts: Supreme Court of Cameroon (consists of 9 titular and 6 surrogate judges and organized into judicial, administrative, and audit chambers); Constitutional Council (consists of 11 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president with the advice of the Higher Judicial Council of Cameroon, a body chaired by the president and includes the minister of justice, selected magistrates, and representatives of the National Assembly; judge term NA; Constitutional Council members appointed by the president for single 9-year terms |
| Judicial branch: | subordinate courts: Parliamentary Court of Justice (jurisdiction limited to cases involving the president and prime minister); appellate and first instance courts; circuit and magistrates' courts |
| Political parties and leaders: | Alliance for Democracy and Development |
| Political parties and leaders: | Cameroon People's Democratic Movement or CPDM [Paul BIYA] |
| Political parties and leaders: | Cameroon People's Party or CPP [Edith Kah WALLA] |
| Political parties and leaders: | Cameroon Renaissance Movement or MRC [Maurice KAMTO] |
| Political parties and leaders: | Cameroonian Democratic Union or UDC [Adamou Ndam NJOYA] |
| Political parties and leaders: | Cameroonian Party for National Reconciliation or PCRN [Cabral LIBII] |
| Political parties and leaders: | Front for the National Salvation of Cameroon or FSNC [Issa Tchiroma BAKARY] |
| Political parties and leaders: | Movement for the Defense of the Republic or MDR [Dakole DAISSALA] |
| Political parties and leaders: | Movement for the Liberation and Development of Cameroon or MLDC [Marcel YONDO] |
| Political parties and leaders: | National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA] |
| Political parties and leaders: | Progressive Movement or MP [Jean-Jacques EKINDI] |
| Political parties and leaders: | Social Democratic Front or SDF [John FRU NDI] |
| Political parties and leaders: | Union of Peoples of Cameroon or UPC [Provisionary Management Bureau] |
| Political parties and leaders: | Union of Socialist Movements |
| International organization participation: | ACP, AfDB, AU, BDEAC, C, CEMAC, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Henri ETOUNDI ESSOMBA (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 2349 Massachusetts Avenue, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-8790 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-3826 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter Henry BARLERIN (since 20 December 2017) |
| Diplomatic representation from the US: | telephone: [237] 22220 1500; Consular: [237] 22220 1603 |
| Diplomatic representation from the US: | embassy: Avenue Rosa Parks, YaoundÃ© |
| Diplomatic representation from the US: | mailing address: P.O. Box 817, Yaounde; pouch: American Embassy, US Department of State, Washington, DC 20521-2520 |
| Diplomatic representation from the US: | FAX: [237] 22220 1500 Ext. 4531; Consular FAX: [237] 22220 1752 |
| Diplomatic representation from the US: | branch office(s): Douala |
| Flag description: | three equal vertical bands of green (hoist side), red, and yellow, with a yellow five-pointed star centered in the red band; the vertical tricolor recalls the flag of France; red symbolizes unity, yellow the sun, happiness, and the savannahs in the north, and green hope and the forests in the south; the star is referred to as the "star of unity" |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | lion; national colors: green, red, yellow |
| National anthem: | name: "O Cameroun, Berceau de nos Ancetres" (O Cameroon, Cradle of Our Forefathers) |
| National anthem: | lyrics/music: Rene Djam AFAME, Samuel Minkio BAMBA, Moise Nyatte NKO'O [French], Benard Nsokika FONLON [English]/Rene Djam AFAME |
| National anthem: | note: adopted 1957; Cameroon's anthem, also known as "Chant de Ralliement" (The Rallying Song), has been used unofficially since 1948 and officially adopted in 1957; the anthem has French and English versions whose lyrics differ |
