| Government | Trinidad and Tobago |
| --- | --- |
| Country name: | conventional long form: Republic of Trinidad and Tobago |
| Country name: | conventional short form: Trinidad and Tobago |
| Country name: | etymology: explorer Christopher COLUMBUS named the larger island "La Isla de la Trinidad" (The Island of the Trinity) on 31 July 1498 on his third voyage; the tobacco grown and smoked by the natives of the smaller island or its elongated cigar shape may account for the "tobago" name, which is spelled "tobaco" in Spanish |
| Government type: | parliamentary republic |
| Capital: | name: Port of Spain |
| Capital: | geographic coordinates: 10 39 N, 61 31 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 regions, 3 boroughs, 2 cities, 1 ward |
| Administrative divisions: | regions: Couva/Tabaquite/Talparo, Diego Martin, Mayaro/Rio Claro, Penal/Debe, Princes Town, Sangre Grande, San Juan/Laventille, Siparia, Tunapuna/Piarco; |
| Administrative divisions: | borough: Arima, Chaguanas, Point Fortin; |
| Administrative divisions: | cities: Port of Spain, San Fernando; |
| Administrative divisions: | ward: Tobago |
| Independence: | 31 August 1962 (from the UK) |
| National holiday: | Independence Day, 31 August (1962) |
| Constitution: | history: previous 1962; latest 1976 (2018) |
| Constitution: | amendments: proposed by Parliament; passage of amendments affecting constitutional provisions such as human rights and freedoms or citizenship requires at least two-thirds majority vote by the membership of both houses and assent to by the president; passage of amendments such as the powers and authorities of the executive, legislative, and judicial branches of government, and the procedure for amending the constitution requires at least three-quarters majority vote by the House membership, two-thirds majority vote by the Senate membership, and assent to by the president; amended many times, last in 2007 (2018) |
| Legal system: | English common law; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court of the Judicature (consists of a chief justice for both the Court of Appeal with 12 judges and the High Court with 24 judges); note - Trinidad and Tobago can file appeals beyond its Supreme Court to the Caribbean Court of Justice, with final appeal to the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the president after consultation with the prime minister and the parliamentary leader of the opposition; other judges appointed by the Judicial Legal Services Commission, headed by the chief justice and 5 members with judicial experience; all judges serve for life with mandatory retirement normally at age 65 |
| Judicial branch: | subordinate courts: Courts of Summary Criminal Jurisdiction; Petty Civil Courts; Family Court |
| Executive branch: | chief of state: President Paula-Mae WEEKES (since 19 March 2018) |
| Executive branch: | head of government: Prime Minister Keith ROWLEY (since 9 September 2015) |
| Executive branch: | cabinet: Cabinet appointed from among members of Parliament |
