| Government | Trinidad and Tobago |
| --- | --- |
| Country name: | conventional long form: Republic of Trinidad and Tobago |
| Country name: | conventional short form: Trinidad and Tobago |
| Government type: | parliamentary democracy |
| Capital: | Port-of-Spain |
| Administrative divisions: | 9 regional corporations, 2 city corporations, 3 borough corporations, and 1 ward |
| Administrative divisions: | : regional corporations: Couva/Tabaquite/Talparo, Diego Martin, Mayaro/Rio Claro, Penal/Debe, Princes Town, Sangre Grande, San Juan/Laventille, Siparia, Tunapuna/Piarco |
| Administrative divisions: | : city corporations: Port of Spain, San Fernando; |
| Administrative divisions: | : ward: Tobago |
| Administrative divisions: | : borough corporations: Arima, Point Fortin, Chaguanas |
| Independence: | 31 August 1962 (from UK) |
| National holiday: | Independence Day, 31 August (1962) |
| Constitution: | 1 August 1976 |
| Legal system: | based on English common law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President George Maxwell RICHARDS (since 17 March 2003) |
| Executive branch: | elections: president elected by an electoral college, which consists of the members of the Senate and House of Representatives, for a five-year term; election last held 14 February 2003 (next to be held in 2008); the president usually appoints as prime minister the leader of the majority party in the House of Representatives |
| Executive branch: | election results: George Maxwell RICHARDS elected president; percent of electoral college vote - 43% |
| Executive branch: | cabinet: Cabinet appointed from among the members of Parliament |
| Executive branch: | head of government: Prime Minister Patrick MANNING (since 24 December 2001) |
| Legislative branch: | bicameral Parliament consists of the Senate (31 seats; 16 members appointed by the ruling party, 9 by the President, 6 by the opposition party for a maximum term of five years) and the House of Representatives (36 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held 7 October 2002 (next to be held by October 2007) |
| Legislative branch: | note: Tobago has a unicameral House of Assembly with 12 members serving four-year terms |
| Legislative branch: | election results: House of Representatives - percent of vote - PNM 55.5%, UNC 44.5%; seats by party - PNM 20, UNC 16 |
| Judicial branch: | Supreme Court of Judicature (comprised of the High Court of Justice and the Court of Appeals; the chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition; other justices are appointed by the president on the advice of the Judicial and Legal Service Commission); High Court of Justice; Court of Appeals; the highest court of appeal is the Privy Council in London |
| Political parties and leaders: | National Alliance for Reconstruction or NAR [Lennox SANKERSINGH]; People's National Movement or PNM [Patrick MANNING]; Team Unity or TU [Ramesh MAHARAJ]; United National Congress or UNC [Basdeo PANDAY]; Democratic Action Committee or DAC [Hochoy CHARLES], note - only active in Tobago |
| Political pressure groups and leaders: | Jamaat-al Muslimeen [Yasin BAKR] |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-24, G-77, IADB, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Marina Annette VALERE |
| Diplomatic representation in the US: | chancery: 1708 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-6490 |
| Diplomatic representation in the US: | FAX: [1] (202) 785-3130 |
| Diplomatic representation in the US: | consulate(s) general: Miami and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Roy L. AUSTIN |
| Diplomatic representation from the US: | embassy: 15 Queen's Park West, Port-of-Spain |
| Diplomatic representation from the US: | mailing address: P. O. Box 752, Port-of-Spain |
| Diplomatic representation from the US: | telephone: [1] (868) 622-6372 through 6376, 622-6176 |
| Diplomatic representation from the US: | FAX: [1] (868) 628-5462 |
| Flag description: | red with a white-edged black diagonal band from the upper hoist side to the lower fly side |
