| Government | El Salvador |
| --- | --- |
| Country name: | conventional long form: Republic of El Salvador |
| Country name: | conventional short form: El Salvador |
| Country name: | local long form: Republica de El Salvador |
| Country name: | local short form: El Salvador |
| Government type: | republic |
| Capital: | name: San Salvador |
| Capital: | geographic coordinates: 13 42 N, 89 12 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 14 departments (departamentos, singular - departamento); Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 20 December 1983 |
| Legal system: | based on civil and Roman law with traces of common law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Elias Antonio SACA Gonzalez (since 1 June 2004); Vice President Ana Vilma Albanez DE ESCOBAR (since 1 June 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Elias Antonio SACA Gonzalez (since 1 June 2004); Vice President Ana Vilma Albanez DE ESCOBAR (since 1 June 2004) |
| Executive branch: | cabinet: Council of Ministers selected by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single five-year term; election last held 21 March 2004 (next to be held in March 2009) |
| Executive branch: | election results: Elias Antonio SACA Gonzalez elected president; percent of vote - Elias Antonio SACA Gonzalez 57.7%, Schafik HANDAL 35.6%, Hector SILVA 3.9%, other 2.8% |
| Legislative branch: | unicameral Legislative Assembly or Asamblea Legislativa (84 seats; members are elected by direct, popular vote to serve three-year terms) |
| Legislative branch: | elections: last held 12 March 2006 (next to be held in March 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ARENA 34, FMLN 32, PCN 10, PDC 6, CD 2 |
| Judicial branch: | Supreme Court or Corte Suprema (15 judges are selected by the Legislative Assembly; the 15 judges are assigned to four Supreme Court chambers - constitutional, civil, penal, and administrative conflict) |
| Political parties and leaders: | Christian Democratic Party or PDC [Rodolfo PARKER]; Democratic Convergence or CD [Ruben ZAMORA] (formerly United Democratic Center or CDU); Farabundo Marti National Liberation Front or FMLN [Medardo GONZALEZ]; National Conciliation Party or PCN [Ciro CRUZ ZEPEDA]; National Republican Alliance or ARENA [Elias Antonio SACA Gonzalez]; Popular Social Christian Party or PPSC [Rene AGUILUZ]; Revolutionary Democratic Front or FDR [Julio Cesar HERNANDEZ Carcamo] |
| Political pressure groups and leaders: | labor organizations - Electrical Industry Union of El Salvador or SIES; Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS; National Confederation of Salvadoran Workers or CNTS; National Union of Salvadoran Workers or UNTS; Port Industry Union of El Salvador or SIPES; Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC; Salvadoran Workers Central or CTS; Workers Union of Electrical Corporation or STCEL; business organizations - National Association of Small Enterprise or ANEP; Salvadoran Assembly Industry Association or ASIC; Salvadoran Industrial Association or ASI |
| International organization participation: | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURSO, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rene Antonio LEON Rodriguez |
| Diplomatic representation in the US: | chancery: 1400 16th Street, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-9671 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-3763 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Dallas, Elizabeth (New Jersey), Houston, Las Vegas, Los Angeles, Miami, New York (2), Nogales (Arizona), Santa Ana (California), San Francisco, Washington (DC), Woodbridge (Virginia), Woodstock (Georgia) |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles L. GLAZER |
| Diplomatic representation from the US: | embassy: Final Boulevard Santa Elena Sur, Antiguo Cuscatlan, La Libertad, San Salvador |
| Diplomatic representation from the US: | mailing address: Unit 3116, APO AA 34023; 3450 San Salvador Place, Washington, DC 20521-3450 |
| Diplomatic representation from the US: | telephone: [503] 2501-2999 |
| Diplomatic representation from the US: | FAX: [503] 2501-2150 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with the national coat of arms centered in the white band; the coat of arms features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL; similar to the flag of Nicaragua, which has a different coat of arms centered in the white band - it features a triangle encircled by the words REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom; also similar to the flag of Honduras, which has five blue stars arranged in an X pattern centered in the white band |
