| Government | Finland |
| --- | --- |
| Country name: | conventional long form: Republic of Finland |
| Country name: | conventional short form: Finland |
| Country name: | local long form: Suomen tasavalta/Republiken Finland |
| Country name: | local short form: Suomi/Finland |
| Government type: | republic |
| Capital: | name: Helsinki |
| Capital: | geographic coordinates: 60 10 N, 24 56 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 regions (maakunnat, singular - maakunta (Finnish); landskapen, singular - landskapet (Swedish)); Aland (Swedish), Ahvenanmaa (Finnish); Etela-Karjala (Finnish), Sodra Karelen (Swedish) [South Karelia]; Etela-Pohjanmaa (Finnish), Sodra Osterbotten (Swedish) [South Ostrobothnia]; Etela-Savo (Finnish), Sodra Savolax (Swedish) [South Savo]; Kanta-Hame (Finnish), Egentliga Tavastland (Swedish); Kainuu (Finnish), Kajanaland (Swedish); Keski-Pohjanmaa (Finnish), Mellersta Osterbotten (Swedish) [Central Ostrobothnia]; Keski-Suomi (Finnish), Mellersta Finland (Swedish) [Central Finland]; Kymenlaakso (Finnish), Kymmenedalen (Swedish); Lappi (Finnish), Lappland (Swedish); Paijat-Hame (Finnish), Paijanne-Tavastland (Swedish); Pirkanmaa (Finnish), Birkaland (Swedish) [Tampere]; Pohjanmaa (Finnish), Osterbotten (Swedish) [Ostrobothnia]; Pohjois-Karjala (Finnish), Norra Karelen (Swedish) [North Karelia]; Pohjois-Pohjanmaa (Finnish), Norra Osterbotten (Swedish) [North Ostrobothnia]; Pohjois-Savo (Finnish), Norra Savolax (Swedish) [North Savo]; Satakunta (Finnish and Swedish); Uusimaa (Finnish), Nyland (Swedish) [Newland]; Varsinais-Suomi (Finnish), Egentliga Finland (Swedish) [Southwest Finland] |
| Independence: | 6 December 1917 (from Russia) |
| National holiday: | Independence Day, 6 December (1917) |
| Constitution: | previous 1906, 1919; latest drafted 17 June 1997, approved by Parliament 11 June 1999, entered into force 1 March 2000; amended several times, last in 2011 (2011) |
| Legal system: | civil law system based on the Swedish model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Sauli NIINISTO (since 1 March 2012) |
| Executive branch: | head of government: Prime Minister Jyrki KATAINEN (since 22 June 2011) |
| Executive branch: | cabinet: Council of State or Valtioneuvosto appointed by the president, responsible to parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held on 5 February 2012 (next to be held in February 2018); the parliament elects a prime minister who is then appointed to office by the president |
| Executive branch: | election results: percent of vote - Sauli NIINISTO (Kok) 36.96%, Pekka HAAVISTO (Vihr) 18.76%, Paavo VAYRYNEN (Kesk) 17.53%, Timo SOINI (TF) 9.4%, Paavo LIPPONEN (SDP) 6.7%, Paavo ARHINMÄKI (Vas) 5.48%, Eva BIAUDET (SFP) 2.7%, Sari ESSAYAH (KD) 2.47%; a runoff election between NIINISTO and HAAVISTO was held 5 February 2012 - NIINISTO 62.59%, HAAVISTO 37.41%; Jyrki KATAINEN elected prime minister; election results 118-72 |
| Executive branch: | note: government coalition - Kok, SDP, Vihr, SFP, Vas, and KD (2013) |
| Legislative branch: | unicameral Parliament or Eduskunta (200 seats; members elected by popular vote on a proportional basis to serve four-year terms) |
| Legislative branch: | elections: last held on 17 April 2011 (next to be held in April 2015) |
| Legislative branch: | election results: percent of vote by party - Kok 20.4%, SDP 19.1%, PS 19.1%, Kesk 15.8%, Vas 8.1%, Vihr 7.3%, SFP 4.3%, KD 4%, other 1.9%; seats by party - Kok 44, SDP 42, TF 39, Kesk 35, Vas 14, Vihr 10, SFP 9, KD 6, other 1 (the constituency of Aland) |
| Judicial branch: | highest court(s): Supreme Court or Korkein Oikeus (consists of the court president and 18 judges); Supreme Administrative Court (consists of 21 judges including the court president and organized into 3 chambers) |
| Judicial branch: | note - Finland has a dual judicial system - courts with civil and criminal jurisdiction, and administrative courts with jurisdiction for litigation between individuals and administrative organs of the state and communities |
| Judicial branch: | judge selection and term of office: Supreme Court and Supreme Administrative Court judges appointed by the president of the republic; judges serve until mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: 6 Courts of Appeal; 8 regional administrative courts; 27 district courts; special courts for issues relating to markets, labor, insurance, impeachment, land, tenancy, and water rights |
| Political parties and leaders: | Center Party or Kesk [Juha SIPILA] |
| Political parties and leaders: | Christian Democrats or KD [Paivi RASANEN] |
| Political parties and leaders: | Green League or Vihr [Ville NIINISTO] |
| Political parties and leaders: | Left Alliance or Vas [Paavo ARHINMAKI] |
| Political parties and leaders: | National Coalition Party or Kok [Jyrki KATAINEN] |
| Political parties and leaders: | Social Democratic Party or SDP [Jutta URPILAINEN] |
| Political parties and leaders: | Swedish People's Party or SFP [Carl HAGLUND] |
| Political parties and leaders: | The Finns Party or PS [Timo SOINI] |
