| Government | Bhutan |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bhutan |
| Country name: | conventional short form: Bhutan |
| Country name: | local long form: Druk Gyalkhap |
| Country name: | local short form: Druk Yul |
| Government type: | absolute monarchy; special treaty relationship with India; note - transition to a constitutional monarchy is expected in 2008 |
| Capital: | name: Thimphu |
| Capital: | geographic coordinates: 27 29 N, 89 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 20 districts (dzongkhag, singular and plural); Bumthang, Chhukha, Chirang, Daga, Gasa, Geylegphug, Ha, Lhuntshi, Mongar, Paro, Pemagatsel, Punakha, Samchi, Samdrup Jongkhar, Shemgang, Tashigang, Tashi Yangtse, Thimphu, Tongsa, Wangdi Phodrang |
| Independence: | 8 August 1949 (from India) |
| National holiday: | National Day (Ugyen WANGCHUCK became first hereditary king), 17 December (1907) |
| Constitution: | none; note - a draft constitution was unveiled in March 2005 and is expected to be adopted following the election of a new National Assembly in 2008 |
| Legal system: | based on Indian law and English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | each family has one vote in village-level elections |
| Executive branch: | chief of state: King Jigme Khesar Namgyel WANGCHUCK (since 14 December 2006); note - King Jigme Singye WANGCHUCK abdicated the throne on 14 December 2006 and his son immediately succeeded him |
| Executive branch: | head of government: Prime Minister Kinzang DORJI (since August 2007) |
| Executive branch: | cabinet: Council of Ministers (Lhengye Shungtsog) nominated by the monarch, approved by the National Assembly; members serve fixed, five-year terms; note - there is also a Royal Advisory Council (Lodoi Tsokde), members nominated by the monarch |
| Executive branch: | elections: none; the monarch is hereditary, but democratic reforms in July 1998 grant the National Assembly authority to remove the monarch with two-thirds vote; election of a new National Assembly is expected in 2008 |
| Legislative branch: | unicameral National Assembly or Tshogdu (150 seats; 105 members elected from village constituencies, 10 represent religious bodies, and 35 are designated by the monarch to represent government and other secular interests; to serve three-year terms) |
| Legislative branch: | elections: first election to be held in 2008; note - local elections last held August 2005 (next to be held in 2008) |
| Legislative branch: | election results: NA |
| Judicial branch: | Supreme Court of Appeal (the monarch); High Court (judges appointed by the monarch) |
| Political parties and leaders: | no legal parties |
| Political pressure groups and leaders: | Buddhist clergy; ethnic Nepalese organizations leading militant antigovernment campaign; Indian merchant community; United Front for Democracy (exiled) |
| International organization participation: | AsDB, BIMSTEC, CP, FAO, G-77, IBRD, ICAO, IDA, IFAD, IFC, IMF, Interpol, IOC, IOM (observer), ISO (correspondent), ITSO, ITU, NAM, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | none; note - the Permanent Mission to the UN for Bhutan has consular jurisdiction in the US; address: 2 United Nations Plaza, 27th Floor, New York, NY 10017; telephone [1] (212) 826-1919; FAX [1] (212) 826-2998 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US and Bhutan have no formal diplomatic relations, although informal contact is maintained between the Bhutanese and US Embassy in New Delhi (India) |
| Flag description: | divided diagonally from the lower hoist side corner; the upper triangle is yellow and the lower triangle is orange; centered along the dividing line is a large black and white dragon facing away from the hoist side |
