| Government | Bhutan |
| --- | --- |
| Country name: | conventional long form: Kingdom of Bhutan |
| Country name: | conventional short form: Bhutan |
| Country name: | local long form: Druk Gyalkhap |
| Country name: | local short form: Druk Yul |
| Country name: | etymology: named after the Bhotia, the ethnic Tibetans who migrated from Tibet to Bhutan; "Bod" is the Tibetan name for their land; the Bhutanese name "Druk Yul" means "Land of the Thunder Dragon" |
| Government type: | constitutional monarchy |
| Capital: | name: Thimphu |
| Capital: | geographic coordinates: 27 28 N, 89 38 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the origins of the name are unclear; the traditional explanation, dating to the 14th century, is that "thim" means "dissolve" and "phu" denotes "high ground" to express the meaning of "dissolving high ground," in reference to a local deity that dissolved before a traveler's eyes, becoming a part of the rock on which the present city stands |
| Administrative divisions: | 20 districts (dzongkhag, singular and plural); Bumthang, Chhukha, Dagana, Gasa, Haa, Lhuentse, Mongar, Paro, Pemagatshel, Punakha, Samdrup Jongkhar, Samtse, Sarpang, Thimphu, Trashigang, Trashi Yangtse, Trongsa, Tsirang, Wangdue Phodrang, Zhemgang |
| Independence: | 17 December 1907 (became a unified kingdom under its first hereditary king); 8 August 1949 (Treaty of Friendship with India maintains Bhutanese independence) |
| National holiday: | National Day (Ugyen WANGCHUCK became first hereditary king), 17 December (1907) |
| Constitution: | history: previous governing documents were various royal decrees; first constitution drafted November 2001 to March 2005, ratified 18 July 2008 |
| Constitution: | amendments: proposed as a motion by simple majority vote in a joint session of Parliament; passage requires at least a three-fourths majority vote in a joint session of the next Parliament and assent by the king |
| Legal system: | civil law based on Buddhist religious law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Bhutan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King Jigme Khesar Namgyel WANGCHUCK (since 14 December 2006); note - King Jigme Singye WANGCHUCK abdicated the throne on 14 December 2006 to his son |
| Executive branch: | head of government: Prime Minister Lotay TSHERING (since 7 November 2018) |
| Executive branch: | cabinet: Council of Ministers or Lhengye Zhungtshog members nominated by the monarch in consultation with the prime minister and approved by the National Assembly; members serve 5-year terms |
| Executive branch: | elections/appointments: the monarchy is hereditary but can be removed by a two-thirds vote of Parliament; leader of the majority party in Parliament is nominated as the prime minister, appointed by the monarch |
| Legislative branch: | description: bicameral Parliament or Chi Tshog consists of: |
| Legislative branch: | non-partisan National Council or Gyelyong Tshogde (25 seats; 20 members directly elected in single-seat constituencies by simple majority vote and 5 members appointed by the king; members serve 5-year terms) |
| Legislative branch: | National Assembly or Tshogdu (47 seats; members directly elected in single-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | National Council election last held on 20 April 2018 (next to be held in 2023) |
| Legislative branch: | National Assembly - first round held on 15 September 2018 and second round held on 18 October 2018 (next to be held in 2023) |
| Legislative branch: | election results: |
| Legislative branch: | National Council - seats by party - independent 20 (all candidates ran as independents); composition - men 23, women 2, percent of women 8% |
| Legislative branch: | National Assembly - first round - percent of vote by party - DNT 31.9%, DPT 30.9%, PDP 27.4%, BKP 9.8%; second round - percent of vote by party -Â  NA; seats by party - DNT 30, DPT 17; composition - men 40, women 7, percent of women 14.9%; note - total Parliament percent of women 12.5% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 4 associateÂ justices); note - the Supreme Court has sole jurisdiction in constitutional matters |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the monarch upon the advice of the National Judicial Commission, a 4-member body to include the Legislative Committee of the National Assembly, the attorney general, the Chief Justice of Bhutan and the senior Associate Justice of the Supreme Court; other judges (drangpons) appointed by the monarch from among the High Court judges selected by the National Judicial Commission; chief justice serves a 5-year term or until reaching age 65 years, whichever is earlier; the 4 other judges serve 10-year terms or until age 65, whichever is earlier |
| Judicial branch: | subordinate courts: High Court (first appellate court); District or Dzongkhag Courts; sub-district or Dungkhag Courts |
| Political parties and leaders: | Bhutan Kuen-Nyam Party or BKP |
| Political parties and leaders: | Bhutan Peace and Prosperity Party (Druk Phuensum Tshogpa) or DPT [Pema GYAMTSHO] (Druk Chirwang Tshogpa or DCT merged withÂ DPT in March 2018) |
| Political parties and leaders: | People's Democratic Party or PDP [Tshering TOBGAY] |
| Political parties and leaders: | United Party of Bhutan (Druk Nyamrup Tshogpa) or DNT [Lotay TSHERING] |
| International organization participation: | ADB, BIMSTEC, CP, FAO, G-77, IBRD, ICAO, IDA, IFAD, IFC, IMF, Interpol, IOC, IOM (observer), IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
