| Government | GUYANA |
| --- | --- |
| Country name: | conventional long form: Cooperative Republic of Guyana |
| Country name: | conventional short form: Guyana |
| Country name: | former: British Guiana |
| Country name: | etymology: the name is derived from Guiana, the original name for the region that included British Guiana, Dutch Guiana, and French Guiana; ultimately the word is derived from an indigenous Amerindian language and means "land of many waters" (referring to the area's multitude of rivers and streams) |
| Government type: | parliamentary republic |
| Capital: | name: Georgetown |
| Capital: | geographic coordinates: 6 48 N, 58 09 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 regions; Barima-Waini, Cuyuni-Mazaruni, Demerara-Mahaica, East Berbice-Corentyne, Essequibo Islands-West Demerara, Mahaica-Berbice, Pomeroon-Supenaam, Potaro-Siparuni, Upper Demerara-Berbice, Upper Takutu-Upper Essequibo |
| Independence: | 26 May 1966 (from the UK) |
| National holiday: | Republic Day, 23 February (1970) |
| Constitution: | several previous; latest promulgated 6 October 1980; amended many times, last in 2009; note - in 2015, Guinea's High Court reversed the constitutional two-term presidential limit (2016) |
| Legal system: | common law system, based on the English model, with some Roman-Dutch civil law influence |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: na |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President David GRANGER (since 16 May 2015) |
| Executive branch: | head of government: Prime Minister Moses NAGAMOOTOO (since 20 May 2015) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president, responsible to the National Assembly |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly from party lists to serve a 5-year term (no term limits); election last held on 11 May 2015 (next to be held in 2020); prime minister appointed by the president |
| Executive branch: | election results: David GRANGER (APNU-AFC) elected president by National Assembly; percent of vote - 50.3% |
| Legislative branch: | description: unicameral National Assembly (65 seats; members directly elected in multi-seat constituencies and a single nationwide constituency by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 11 May 2015 (next to be held by May 2020) |
| Legislative branch: | election results: percent of vote by party - APNU 50.3%, PPP/C 49.19%, other 0.51%; seats by party - APNU 33, PPP/C 32 |
| Judicial branch: | highest court(s): Supreme Court of Judicature (consists of the Court of Appeal with a chief justice and 3 justices, and the High Court with a chief justice and 10 justices organized into 3- or 5-judge panels); note - in 2009, Guyana ceased final appeals in civil and criminal cases to the Judicial Committee of the Privy Council (in London), replacing it with the Caribbean Court of Justice, the judicial organ of the Caribbean Community |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president; other judges of both courts appointed by the Judicial Service Commission, a body appointed by the president; judges appointed for life with retirement at age 65 |
| Judicial branch: | subordinate courts: Land Court; magistrates' courts |
| Political parties and leaders: | A Partnership for National Unity or APNU [David A. GRANGER] |
| Political parties and leaders: | Alliance for Change or AFC [Khemraj RAMJATTAN] |
| Political parties and leaders: | Justice for All Party [C.N. SHARMA] |
| Political parties and leaders: | People's Progressive Party/Civic or PPP/C [Donald RAMOTAR] |
| Political parties and leaders: | Rise, Organize, and Rebuild or ROAR [Ravi DEV] |
| Political parties and leaders: | The United Force or TUF [Manzoor NADIR] |
| Political parties and leaders: | The Unity Party [Joey JAGAN] |
| Political parties and leaders: | Vision Guyana [Peter RAMSAROOP] |
| Political pressure groups and leaders: | Amerindian People's Association |
| Political pressure groups and leaders: | Guyana Bar Association |
| Political pressure groups and leaders: | Guyana Citizens Initiative |
| Political pressure groups and leaders: | Guyana Human Rights Association |
| Political pressure groups and leaders: | Guyana Public Service Union or GPSU |
| Political pressure groups and leaders: | Private Sector Commission |
| Political pressure groups and leaders: | Trades Union Congress |
| International organization participation: | ACP, AOSIS, C, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, Petrocaribe, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Lesley DOWRIDGE-COLLINS (since 22 July 2016) |
| Diplomatic representation in the US: | chancery: 2490 Tracy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-1297 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Perry L. HOLLOWAY (since 2 October 2015) |
| Diplomatic representation from the US: | embassy: US Embassy, 100 Young and Duke Streets, Kingston, Georgetown |
| Diplomatic representation from the US: | mailing address: P. O. Box 10507, Georgetown; US Embassy, 3170 Georgetown Place, Washington DC 20521-3170 |
| Diplomatic representation from the US: | telephone: [592] 225-4900 through 4909 |
| Diplomatic representation from the US: | FAX: [592] 225-8497 |
| Flag description: | green with a red isosceles triangle (based on the hoist side) superimposed on a long, yellow arrowhead; there is a narrow, black border between the red and yellow, and a narrow, white border between the yellow and the green; green represents forest and foliage; yellow stands for mineral resources and a bright future; white symbolizes Guyana's rivers; red signifies zeal and the sacrifice of the people; black indicates perseverance |
| National symbol(s): | Canje pheasant (hoatzin), jaguar, Victoria Regia water lily; national colors: red, yellow, green, black, white |
| National anthem: | name: "Dear Land of Guyana, of Rivers and Plains" |
| National anthem: | lyrics/music: Archibald Leonard LUKERL/Robert Cyril Gladstone POTTER |
| National anthem: | note: adopted 1966 |
