| Government | Guyana |
| --- | --- |
| Country name: | conventional long form: Cooperative Republic of Guyana |
| Country name: | conventional short form: Guyana |
| Country name: | former: British Guiana |
| Government type: | republic |
| Capital: | name: Georgetown |
| Capital: | geographic coordinates: 6 48 N, 58 10 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Barima-Waini, Cuyuni-Mazaruni, Demerara-Mahaica, East Berbice-Corentyne, Essequibo Islands-West Demerara, Mahaica-Berbice, Pomeroon-Supenaam, Potaro-Siparuni, Upper Demerara-Berbice, Upper Takutu-Upper Essequibo |
| Independence: | 26 May 1966 (from the UK) |
| National holiday: | Republic Day, 23 February (1970) |
| Constitution: | 6 October 1980 |
| Legal system: | based on English common law with certain admixtures of Roman-Dutch law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bharrat JAGDEO (since 11 August 1999); note - assumed presidency after resignation of President Janet JAGAN and was reelected in 2001, and again in 2006 |
| Executive branch: | head of government: Prime Minister Samuel HINDS (since October 1992, except for a period as chief of state after the death of President Cheddi JAGAN on 6 March 1997) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president, responsible to the legislature |
| Executive branch: | elections: president elected by popular vote as leader of a party list in parliamentary elections, which must be held at least every five years (no term limits); elections last held 28 August 2006 (next to be held by August 2011); prime minister appointed by the president |
| Executive branch: | election results: President Bharrat JAGDEO reelected; percent of vote 54.6% |
| Legislative branch: | unicameral National Assembly (65 seats; members elected by popular vote, also not more than 4 non-elected non-voting ministers and 2 non-elected non-voting parliamentary secretaries appointed by the president; to serve five-year terms) |
| Legislative branch: | elections: last held 28 August 2006 (next to be held by August 2011) |
| Legislative branch: | election results: percent of vote by party - PPP/C 54.6%, PNC/R 34%, AFC 8.1%, other 3.3%; seats by party - PPP/C 36, PNC/R 22, AFC 5, other 2 |
| Judicial branch: | Supreme Court of Judicature, consisting of the High Court and the Court of Appeal, with right of final appeal to the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | Alliance for Change or AFC [Raphael TROTMAN and Khemraj RAMJATTAN]; Guyana Action Party or GAP [Paul HARDY]; Justice for All Party [C.N. SHARMA]; People's National Congress/Reform or PNC/R [Robert Herman Orlando CORBIN]; People's Progressive Party/Civic or PPP/C [Bharrat JAGDEO]; Rise, Organize, and Rebuild or ROAR [Ravi DEV]; The United Force or TUF [Manzoor NADIR]; The Unity Party [Joey JAGAN]; Vision Guyana [Peter RAMSAROOP]; Working People's Alliance or WPA [Rupert ROOPNARAINE] |
| Political pressure groups and leaders: | Amerindian People's Association; Guyana Bar Association; Guyana Citizens Initiative; Guyana Human Rights Association; Guyana Public Service Union or GPSU; Private Sector Commission; Trades Union Congress |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (subscriber), ITU, ITUC, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, RG, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bayney KARRAN |
| Diplomatic representation in the US: | chancery: 2490 Tracy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-1297 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador John Melvin JONES |
| Diplomatic representation from the US: | embassy: US Embassy, 100 Young and Duke Streets, Kingston, Georgetown |
| Diplomatic representation from the US: | mailing address: P. O. Box 10507, Georgetown; US Embassy, 3170 Georgetown Place, Washington DC 20521-3170 |
| Diplomatic representation from the US: | telephone: [592] 225-4900 through 4909 |
| Diplomatic representation from the US: | FAX: [592] 225-8497 |
| Flag description: | green, with a red isosceles triangle (based on the hoist side) superimposed on a long, yellow arrowhead; there is a narrow, black border between the red and yellow, and a narrow, white border between the yellow and the green |
