| Government | NETHERLANDS |
| --- | --- |
| Country name: | conventional long form: Kingdom of the Netherlands |
| Country name: | conventional short form: Netherlands |
| Country name: | local long form: Koninkrijk der Nederlanden |
| Country name: | local short form: Nederland |
| Country name: | etymology: the country name literally means "the lowlands" and refers to the geographic features of the land being both flat and down river from higher areas (i.e., at the estuaries of the Scheldt, Meuse, and Rhine Rivers; only about half of the Netherlands is more than 1 meter above sea level) |
| Government type: | parliamentary constitutional monarchy; part of the Kingdom of the Netherlands |
| Capital: | name: Amsterdam; note - The Hague is the seat of government |
| Capital: | geographic coordinates: 52 21 N, 4 55 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: time descriptions apply to the continental Netherlands only, not to the Caribbean components |
| Administrative divisions: | 12 provinces (provincies, singular - provincie); Drenthe, Flevoland, Fryslan (Friesland), Gelderland, Groningen, Limburg, Noord-Brabant (North Brabant), Noord-Holland (North Holland), Overijssel, Utrecht, Zeeland (Zealand), Zuid-Holland (South Holland) |
| Administrative divisions: | note 1: the Netherlands is one of four constituent parts (countries) of the Kingdom of the Netherlands; the other three parts, Aruba, Curacao, and Sint Maarten, are all islands in the Caribbean; while all four parts are considered equal partners, in practice, most of the Kingdom's affairs are administered by the Netherlands, which makes up about 98% of the Kingdom's total land area and population |
| Administrative divisions: | note 2: three other Caribbean islands, Bonaire, Saint Eustatius, and Saba, are considered to be special municipalities of the Netherlands proper |
| Dependent areas: | Aruba, Curacao, Sint Maarten |
| Independence: | 23 January 1579 (the northern provinces of the Low Countries conclude the Union of Utrecht breaking with Spain; on 26 July 1581 they formally declared their independence with an Act of Abjuration; however, it was not until 30 January 1648 and the Peace of Westphalia that Spain recognized this independence) |
| National holiday: | King's Day (the King's birthday of 27 April (1967); celebrated on 26 April if 27 April is a Sunday) |
| Constitution: | history: previous 1597, 1798; latest adopted 24 August 1815 (substantially revised in 1848) |
| Constitution: | amendments: proposed as an “Act of Parliament” by or on behalf of the king or by the Second Chamber of the States General; the Second Chamber is dissolved after its first reading of the “Act”; passage requires a second reading by both the First Chamber and newly elected Second Chamber, followed by at least two-thirds majority vote of both chambers, and ratification by the king; amended many times, last in 2010 (2016) |
| Legal system: | civil law system based on the French system; constitution does not permit judicial review of acts of the States General |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Netherlands |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King WILLEM-ALEXANDER (since 30 April 2013); Heir Apparent Princess Catharina-Amalia (since 30 April 2013) |
| Executive branch: | head of government: Prime Minister Mark RUTTE (since 14 October 2010); Deputy Prime Minister Lodewijk ASSCHER (since 5 November 2012); note - Mark RUTTE heads his second cabinet since 5 November 2012 |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch; note -there is also a Council of State composed of the monarch, heir apparent, and councilors that provides advice to the cabinet on legislative and administrative policy |
| Executive branch: | elections/appointments: the monarchy is hereditary; following Second Chamber elections, the leader of the majority party or majority coalition usually appointed prime minister by the monarch; deputy prime ministers appointed by the monarch |
| Legislative branch: | description: bicameral States General or Staten Generaal consists of the First Chamber or Eerste Kamer (75 seats; members indirectly elected by the country's 12 provincial council members by proportional representation vote; members serve 4-year terms) and the Second Chamber or Tweede Kamer (150 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve up to 4-year terms) |
| Legislative branch: | elections: First Chamber - last held on 26 May 2015 (next to be held in May 2019); Second Chamber - last held on 12 September 2012 (next to be held no later than 15 March 2017) |
| Legislative branch: | election results: First Chamber - percent of vote by party - NA; seats by party - VVD 13, CDA 12, D66 10, PVV 9, SP 9, PvdA 8, GL 4, CU 3, other 7; Second Chamber - percent of vote by party - VVD 26.6%, PvdA 24.8%, PVV, 10.1%, SP 9.7%, CDA 8.5%, D66 8.0%, CU 3.1%, GL 2.3%, other 6.9%; seats by party - VVD 41, PvdA 38, PVV 15, SP 15, CDA 13, D66 12, CU 5, GL 4, other 7 |
| Judicial branch: | highest court(s): Supreme Court or Hoge Raad (consists of 41 judges: the president, 6 vice-presidents, 31 justices or raadsheren, and 3 justices in exceptional service, referred to as buitengewone dienst); the court is divided into criminal, civil, tax, and ombuds chambers |
