| Government | Netherlands |
| --- | --- |
| Country name: | conventional long form: Kingdom of the Netherlands |
| Country name: | conventional short form: Netherlands |
| Country name: | local long form: Koninkrijk der Nederlanden |
| Country name: | local short form: Nederland |
| Government type: | constitutional monarchy |
| Capital: | name: Amsterdam; note - The Hague is the seat of government |
| Capital: | geographic coordinates: 52 21 N, 4 55 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: time descriptions apply to the continental Netherlands only, not to the Caribbean components |
| Administrative divisions: | 12 provinces (provincies, singular - provincie); Drenthe, Flevoland, Fryslan (Friesland), Gelderland, Groningen, Limburg, Noord-Brabant (North Brabant), Noord-Holland (North Holland), Overijssel, Utrecht, Zeeland (Zealand), Zuid-Holland (South Holland) |
| Dependent areas: | Aruba, Curacao, Sint Maarten |
| Independence: | 23 January 1579 (the northern provinces of the Low Countries conclude the Union of Utrecht breaking with Spain; on 26 July 1581 they formally declared their independence with an Act of Abjuration; however, it was not until 30 January 1648 and the Peace of Westphalia that Spain recognized this independence) |
| National holiday: | King's Day (for 2014, the holiday will be on 26 April; thereafter it will fall on the King's Birthday of 27 April (1967)) |
| Constitution: | previous 1597, 1798; latest adopted 24 August 1815 (substantially revised in 1848); amended many times, last in 2010 (2013) |
| Legal system: | civil law system based on the French system; constitution does not permit judicial review of acts of the States General |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King WILLEM-ALEXANDER (since 30 April 2013) |
| Executive branch: | head of government: Prime Minister Mark RUTTE (since 14 October 2010); Deputy Prime Minister Lodewijk ASSCHER (since 5 November 2012); note - Mark RUTTE tendered his resignation 23 April 2012; new elections were held on 12 September 2012 in which his party won the most seats; during the interim period he remained in office in a care-taking position; he was sworn in again as prime minister on 5 November 2012 |
| Executive branch: | cabinet: Council of Ministers appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; following Second Chamber elections, the leader of the majority party or leader of a majority coalition usually appointed prime minister by the monarch; deputy prime ministers appointed by the monarch |
| Executive branch: | note: there is also a Council of State composed of the monarch, heir apparent, and councilors that provides advice to the cabinet on legislative and administrative policy |
| Legislative branch: | bicameral States General or Staten Generaal consists of the First Chamber or Eerste Kamer (75 seats; members indirectly elected by the country's 12 provincial councils to serve four-year terms) and the Second Chamber or Tweede Kamer (150 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: First Chamber - last held on May 2011 (next to be held in May 2015); Second Chamber - last held on 12 September 2012 (next to be held by May 2017) |
| Legislative branch: | election results: First Chamber - percent of vote by party - NA; seats by party - VVD 16, PvdA 14, CDA 11, PVV 10, SP 8, D66 5, GL 5, other 6; Second Chamber - percent of vote by party - VVD 26.6%, PvdA 24.8%, PVV, 10.1%, SP 9.7%, CDA 8.5%, D66 8.0%, CU 3.1%, GL 6.7%, other 2.5%; seats by party - VVD 41, PvdA 38, PVV 15, SP 15, CDA 13, D66 12, CU 5, GL 4, other 7 |
| Judicial branch: | highest court(s): Supreme Court or Hoge Raad (consists of 41 judges: the president, 6 vice-presidents, 31 justices or raadsheren, and 3 justices in exceptional service, referred to as buitengewone dienst); the court is divided into criminal, civil, tax, and ombuds chambers |
| Judicial branch: | judge selection and term of office: justices appointed by the monarch from a list provided by the Second Chamber of the States General; justices appointed for life or until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: courts of appeal; district courts, each with up to 5 subdistrict courts |
| Political parties and leaders: | Christian Democratic Appeal or CDA [Sybrand VAN HAERSMA BUMA] |
| Political parties and leaders: | Christian Union or CU [Arie SLOB] |
| Political parties and leaders: | Democrats 66 or D66 [Alexander PECHTOLD] |
| Political parties and leaders: | Green Left or GL [Bram VAN OJIK] |
| Political parties and leaders: | Labor Party or PvdA [Diederik SAMSOM] |
| Political parties and leaders: | Party for Freedom or PVV [Geert WILDERS] |
| Political parties and leaders: | Party for the Animals or PvdD [Marianne THIEME] |
| Political parties and leaders: | People's Party for Freedom and Democracy or VVD [Mark RUTTE] |
| Political parties and leaders: | Reformed Political Party or SGP [Kees VAN DER STAAIJ] |
| Political parties and leaders: | Socialist Party or SP [Emile ROEMER] |
| Political parties and leaders: | plus a few minor parties |
| Political pressure groups and leaders: | Christian Trade Union Federation or CNV [Jaap SMIT] |
| Political pressure groups and leaders: | Confederation of Netherlands Industry and Employers or VNO-NCW [Bernard WIENTJES] |
