| Government | MALDIVES |
| --- | --- |
| Country name: | conventional long form: Republic of Maldives |
| Country name: | conventional short form: Maldives |
| Country name: | local long form: Dhivehi Raajjeyge Jumhooriyyaa |
| Country name: | local short form: Dhivehi Raajje |
| Country name: | etymology: archipelago apparently named after the main island (and capital) of Male; the word "Maldives" means "the islands (dives) of Male"; alternatively, the name may derive from the Sanskrit word "maladvipa" meaning "garland of islands"; Dhivehi Raajje in Maldivian means "Kingdom of the Dhivehi people" |
| Government type: | presidential republic |
| Capital: | name: Male |
| Capital: | geographic coordinates: 4 10 N, 73 30 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 21 administrative atolls (atholhuthah, singular - atholhu); Addu, Ariatholhu Dhekunuburi, Ariatholhu Uthuruburi, Faadhippolhu, Felidhuatholhu, Fuvammulah, Hahdhunmathi, Huvadhuatholhu Dhekunuburi, Huvadhuatholhu Uthuruburi, Kolhumadulu, Maale, Maaleatholhu, Maalhosmadulu Dhekunuburi, Maalhosmadulu Uthuruburi, Miladhunmadulu Dhekunuburi, Miladhunmadulu Uthuruburi, Mulakatholhu, Nilandheatholhu Dhekunuburi, Nilandheatholhu Uthuruburi, Thiladhunmathee Dhekunuburi, Thiladhunmathee Uthuruburi |
| Independence: | 26 July 1965 (from the UK) |
| National holiday: | Independence Day, 26 July (1965) |
| Constitution: | history: many previous; latest ratified 7 August 2008 |
| Constitution: | amendments: proposed by Parliament; passage requires at least three-quarters majority vote by its membership and the signature of the president of the republic; passage of amendments to constitutional articles on rights and freedoms and the terms of office of Parliament and of the president also requires a majority vote in a referendum; amended 2015 (2017) |
| Legal system: | Islamic religious legal system with English common law influences, primarily in commercial matters |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Maldives |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 18 years of age; universal |
