| Government | Maldives |
| --- | --- |
| Country name: | conventional long form: Republic of Maldives |
| Country name: | conventional short form: Maldives |
| Country name: | local long form: Dhivehi Raajjeyge Jumhooriyyaa |
| Country name: | local short form: Dhivehi Raajje |
| Country name: | etymology: archipelago apparently named after the main island (and capital) of Male; the word "Maldives" means "the islands (dives) of Male"; alternatively, the name may derive from the Sanskrit word "maladvipa" meaning "garland of islands"; Dhivehi Raajje in Dhivehi means "Kingdom of the Dhivehi people" |
| Government type: | presidential republic |
| Capital: | name: Male |
| Capital: | geographic coordinates: 4 10 N, 73 30 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 21 administrative atolls (atholhuthah, singular - atholhu); Addu (Addu City), Ariatholhu Dhekunuburi (South Ari Atoll), Ariatholhu Uthuruburi (North Ari Atoll), Faadhippolhu, Felidhuatholhu (Felidhu Atoll), Fuvammulah, Hahdhunmathi, Huvadhuatholhu Dhekunuburi (South Huvadhu Atoll), Huvadhuatholhu Uthuruburi (North Huvadhu Atoll), Kolhumadulu, Maale (Male), Maaleatholhu (Male Atoll), Maalhosmadulu Dhekunuburi (South Maalhosmadulu), Maalhosmadulu Uthuruburi (North Maalhosmadulu), Miladhunmadulu Dhekunuburi (South Miladhunmadulu), Miladhunmadulu Uthuruburi (North Miladhunmadulu), Mulakatholhu (Mulaku Atoll), Nilandheatholhu Dhekunuburi (South Nilandhe Atoll), Nilandheatholhu Uthuruburi (North Nilandhe Atoll), Thiladhunmathee Dhekunuburi (South Thiladhunmathi), Thiladhunmathee Uthuruburi (North Thiladhunmathi) |
| Independence: | 26 July 1965 (from the UK) |
| National holiday: | Independence Day, 26 July (1965) |
| Constitution: | history: many previous; latest ratified 7 August 2008 (2018) |
| Constitution: | amendments: proposed by Parliament; passage requires at least three-quarters majority vote by its membership and the signature of the president of the republic; passage of amendments to constitutional articles on rights and freedoms and the terms of office of Parliament and of the president also requires a majority vote in a referendum; amended 2015 (2018) |
| Legal system: | Islamic religious legal system with English common law influences, primarily in commercial matters |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
