| Government | Maldives |
| --- | --- |
| Country name: | conventional long form: Republic of Maldives |
| Country name: | conventional short form: Maldives |
| Country name: | local long form: Dhivehi Raajjeyge Jumhooriyyaa |
| Country name: | local short form: Dhivehi Raajje |
| Government type: | republic |
| Capital: | name: Male |
| Capital: | geographic coordinates: 4 10 N, 73 30 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 19 atolls (atholhu, singular and plural) and the capital city*; Alifu, Baa, Dhaalu, Faafu, Gaafu Alifu, Gaafu Dhaalu, Gnaviyani, Haa Alifu, Haa Dhaalu, Kaafu, Laamu, Lhaviyani, Maale (Male)*, Meemu, Noonu, Raa, Seenu, Shaviyani, Thaa, Vaavu |
| Independence: | 26 July 1965 (from the UK) |
| National holiday: | Independence Day, 26 July (1965) |
| Constitution: | new constitution ratified 7 August 2008 |
| Legal system: | based on Islamic law with admixtures of English common law primarily in commercial matters; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed "Anni" NASHEED (since 11 November 2008); Vice President Mohamed WAHEED Hassan Maniku (since 11 November 2008); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Mohamed "Anni" NASHEED (since 11 November 2008); Vice President Mohamed WAHEED Hassan Maniku (since 11 November 2008) |
| Executive branch: | cabinet: Cabinet of Ministers is appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: under the new constitution, the president elected by direct vote; president elected for a five-year term (eligible for a second term); election last held on 8 and 28 October 2008 (next to be held in 2013) |
| Executive branch: | election results: Mohamed NASHEED elected president; percent of vote - NASHEED 54.3%, Maumoon Abdul GAYOOM 45.7% |
| Legislative branch: | unicameral People's Council or People's Majlis (77 seats; members elected by direct vote to serve five-year terms); note - the Majlis in February 2009 passed legislation that increased the number of seats to 77 from 50 |
| Legislative branch: | elections: last held on 9 May 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote - DRP 36.4%, MDP 33.8 %, PA 9.1%, DQP 2.6% Republican Party 1.2%, independents 16.9%; seats by party - DRP 28, MDP 26, PA 7, DQP 2, Republican Party 1, independents 13 |
| Judicial branch: | Supreme Court; Supreme Court judges are appointed by the president with approval of voting members of the People's Council; High Court; Trial Courts; all lower court judges are appointed by the Judicial Service Commission |
| Political parties and leaders: | Adhaalath (Justice) Party or AP [Shaykh Hussein RASHEED Ahmed]; Dhivehi Quamee Party or DQP [Hassan SAEED]; Dhivehi Rayyithunge Party (Maldivian People's Party) or DRP [THASMEEN Ali]; Gaumii Ithihaad (National Alliance) or GI [Mohamed WAHEED]; Islamic Democratic Party or IDP; Maldivian Democratic Party or MDP [Mariya DIDI]; Maldives National Congress or MNC; Maldives Social Democratic Party or MSDP; People's Alliance or PA [Abdullah YAMEEN]; People's Party or PP; Poverty Alleviation Party or PAP; Republican (Jumhooree) Party or JP [Gasim IBRAHIM]; Social Liberal Party or SLP [Ibrahim ISMAIL] |
| Political pressure groups and leaders: | other: various unregistered political parties |
| International organization participation: | ADB, AOSIS, C, CP, FAO, G-77, IBRD, ICAO, IDA, IDB, IFAD, IFC, IFRCS (observer), ILO, IMF, IMO, Interpol, IOC, IPU, ITU, MIGA, NAM, OIC, OPCW, SAARC, SACEP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Abdul GHAFOOR Mohamed |
| Diplomatic representation in the US: | chancery: 800 2nd Avenue, Suite 400E, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6195 |
| Diplomatic representation in the US: | FAX: [1] (212) 661-6405 |
| Diplomatic representation from the US: | the US does not have an embassy in Maldives; the US Ambassador to Sri Lanka, Ambassador Patricia A. BUTENIS, is accredited to Maldives and makes periodic visits |
| Flag description: | red with a large green rectangle in the center bearing a vertical white crescent moon; the closed side of the crescent is on the hoist side of the flag; red recalls those who have sacrificed their lives in defense of their country, the green rectangle represents peace and prosperity, and the white crescent signifies Islam |
| National anthem: | name: "Gaumee Salaam" (National Salute) |
| National anthem: | lyrics/music: Mohamed Jameel DIDI/Wannakuwattawaduge DON AMARADEVA |
| National anthem: | note: lyrics adopted 1948, music adopted 1972; between 1948 and 1972, the lyrics were sung to the tune of "Auld Lang Syne" |
