| Government | Congo, Democratic Republic of the |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of the Congo |
| Country name: | conventional short form: DRC |
| Country name: | local long form: Republique Democratique du Congo |
| Country name: | local short form: RDC |
| Country name: | former: Congo Free State, Belgian Congo, Congo/Leopoldville, Congo/Kinshasa, Zaire |
| Country name: | abbreviation: DRC (or DROC) |
| Country name: | etymology: named for the Congo River, most of which lies within the DRC; the river name derives from Kongo, a Bantu kingdom that occupied its mouth at the time of Portuguese discovery in the late 15th century and whose name stems from its people the Bakongo, meaning "hunters" |
| Government type: | semi-presidential republic |
| Capital: | name: Kinshasa |
| Capital: | geographic coordinates: 4 19 S, 15 18 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: the DRC has two time zones |
| Administrative divisions: | 26 provinces (provinces, singular - province); Bas-Uele (Lower Uele), Equateur, Haut-Katanga (Upper Katanga), Haut-Lomami (Upper Lomami), Haut-Uele (Upper Uele), Ituri, Kasai, Kasai-Central, Kasai-Oriental (East Kasai), Kinshasa, Kongo Central, Kwango, Kwilu, Lomami, Lualaba, Mai-Ndombe, Maniema, Mongala, Nord-Kivu (North Kivu), Nord-Ubangi (North Ubangi), Sankuru, Sud-Kivu (South Kivu), Sud-Ubangi (South Ubangi), Tanganyika, Tshopo, Tshuapa |
| Independence: | 30 June 1960 (from Belgium) |
| National holiday: | Independence Day, 30 June (1960) |
| Constitution: | history: several previous; latest adopted 13 May 2005, approved by referendum 18-19 December 2005, promulgated 18 February 2006 (2017) |
| Constitution: | amendments: proposed by the president of the republic, by the government, by either house of Parliament, or by public petition; agreement on the substance of a proposed bill requires absolute majority vote in both houses; passage requires a referendum only if both houses in joint meeting fail to achieve three-fifths majority vote; constitutional articles including the form of government, universal suffrage, judicial independence, political pluralism, and personal freedoms cannot be amended; amended 2011 (2017) |
| Legal system: | civil law system primarily based on Belgian law, but also customary and tribal law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Democratic Republic of the Congo |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Judicial branch: | highest courts: Court of Cassation or Cour de Cassation (consists of 26 justices and organized into legislative and judiciary sections); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges nominated by the Judicial Service Council, an independent body of public prosecutors and selected judges of the lower courts; judge tenure NA; Constitutional Court judges - 3 nominated by the president, 3 by the Judicial Service Council, and 3 by the legislature; judges appointed by the president to serve 9-year non-renewable terms with one-third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: State Security Court; Court of Appeals (organized into administrative and judiciary sections); Tribunal de Grande; magistrates' courts; customary courts |
| Executive branch: | chief of state: President Joseph KABILA (since 17 January 2001) |
| Executive branch: | head of government: Prime Minister Bruno TSHIBALA (since 7 April 2017); Deputy Prime Ministers Jose MAKILA, Leonard She OKITUNDU, Henri MOVA Sankanyi (since February 2018) |
| Executive branch: | cabinet: Ministers of State appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority vote for a 5-year term (eligible for a second term); election last held on 28 November 2011 (next originally scheduled for 27 November 2016 but now scheduled for 30 December 2018); prime minister appointed by the president |
| Executive branch: | election results: Joseph KABILA reelected president; percent of vote - Joseph KABILA (PPRD) 49%, Etienne TSHISEKEDI (UDPS) 32.3%, other 18.7%; note - election marred by serious voting irregularities |
| Legislative branch: | description: bicameral Parliament or Parlement consists of: |
| Legislative branch: | Senate (108 seats; members indirectly elected by provincial assemblies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | National Assembly (500 seats; 439 members directly elected in multi-seat constituencies by proportional representation vote and 61 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 19 January 2007 (follow-on election has been delayed) |
| Legislative branch: | National Assembly - last held on 28 November 2011 (next originally scheduled for 27 November 2016 but postponed |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - PPRD 22, MLC 14, FR 7, RCD 7, PDC 6, CDC 3, MSR 3, PALU 2, other 18, independent 26; composition - men 103, women 5, percent of women 4.6% |
