| Government | Congo, Democratic Republic of the |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of the Congo |
| Country name: | conventional short form: DRC |
| Country name: | local long form: Republique Democratique du Congo |
| Country name: | local short form: RDC |
| Country name: | former: Congo Free State, Belgian Congo, Congo/Leopoldville, Congo/Kinshasa, Zaire |
| Country name: | abbreviation: DRC (or DROC) |
| Country name: | etymology: named for the Congo River, most of which lies within the DRC; the river name derives from Kongo, a Bantu kingdom that occupied its mouth at the time of Portuguese discovery in the late 15th century and whose name stems from its people the Bakongo, meaning "hunters" |
| Government type: | semi-presidential republic |
| Capital: | name: Kinshasa |
| Capital: | geographic coordinates: 4 19 S, 15 18 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: founded as a trading post in 1881 and named Leopoldville in honor of King Leopold II of the Belgians, who controlled the Congo Free State, the vast central African territory that became the Democratic Republic of the Congo in 1960; in 1966, Leopoldville was renamed Kinshasa, after a village of that name that once stood near the site |
| Capital: | note: the DRC has two time zones |
| Administrative divisions: | 26 provinces (provinces, singular - province); Bas-Uele (Lower Uele), Equateur, Haut-Katanga (Upper Katanga), Haut-Lomami (Upper Lomami), Haut-Uele (Upper Uele), Ituri, Kasai, Kasai-Central, Kasai-Oriental (East Kasai), Kinshasa, Kongo Central, Kwango, Kwilu, Lomami, Lualaba, Mai-Ndombe, Maniema, Mongala, Nord-Kivu (North Kivu), Nord-Ubangi (North Ubangi), Sankuru, Sud-Kivu (South Kivu), Sud-Ubangi (South Ubangi), Tanganyika, Tshopo, Tshuapa |
| Independence: | 30 June 1960 (from Belgium) |
| National holiday: | Independence Day, 30 June (1960) |
| Constitution: | history: several previous; latest adopted 13 May 2005, approved by referendum 18-19 December 2005, promulgated 18 February 2006 |
| Constitution: | amendments: proposed by the president of the republic, by the government, by either house of Parliament, or by public petition; agreement on the substance of a proposed bill requires absolute majority vote in both houses; passage requires a referendum only if both houses in joint meeting fail to achieve three-fifths majority vote; constitutional articles, including the form of government, universal suffrage, judicial independence, political pluralism, and personal freedoms, cannot be amended; amended 2011 (2017) |
| Legal system: | civil law system primarily based on Belgian law, but also customary and tribal law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Democratic Republic of the Congo |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Felix TSHISEKEDI (since 24 January 2019) |
| Executive branch: | head of government: Prime Minister Sylvestre ILUNGA Ilunkamba (since 20 May 2019); Deputy Prime Ministers Jose MAKILA, Leonard She OKITUNDU, Henri MOVA Sankanyi (since February 2018) |
| Executive branch: | cabinet: Ministers of State appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority vote for a 5-year term (eligible for a second term); election last held on 30 December 2018 (next to be held in December 2023); prime minister appointed by the president |
| Executive branch: | election results: Felix TSHISEKEDI elected president; percent of vote - Felix TSHISEKEDI (UDPS) 38.6%, Martin FAYULU (Lamuka coalition) 34.8%, Emmanuel Ramazani SHADARY (PPRD) 23.9%, other 2.7%; note - election marred by serious voting irregularities |
| Legislative branch: | description: bicameral Parliament or Parlement consists of: |
| Legislative branch: | Senate (108 seats; members indirectly elected by provincial assemblies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | National Assembly (500 seats; 439 members directly elected in multi-seat constituencies by proportional representation vote and 61 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 19 January 2007 (follow-on election has been delayed) |
| Legislative branch: | National Assembly - last held on 30 December 2018 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPRD 22, MLC 14, FR 7, RCD 7, PDC 6, CDC 3, MSR 3, PALU 2, other 18, independent 26; composition - men 103, women 5, percent of women 4.6% |
| Legislative branch: | National Assembly - percent of vote by party - NA; seats by party - PPRD 62, UDPS 41, PPPD 29, MSR 27, MLC 22, PALU 19, UNC 17, ARC 16, AFDC 15, ECT 11, RRC 11, other 214 (includes numerous political parties that won 10 or fewer seats and 2 constituencies where voting was halted), independent 16; composition - men 456, women 44, percent of womenÂ  8.8%; total Parliament percent of women 8.1%;note - the November 2011 election was marred by violence including the destruction of ballots in 2 constituencies resulting in the closure of polling sites; election results were delayed 3 months, strongly contested, and continue to be unresolved |
