| Government | Guernsey |
| --- | --- |
| Country name: | conventional long form: Bailiwick of Guernsey |
| Country name: | conventional short form: Guernsey |
| Dependency status: | British crown dependency |
| Government type: | parliamentary democracy |
| Capital: | name: Saint Peter Port |
| Capital: | geographic coordinates: 49 27 N, 2 32 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none (British crown dependency); there are no first-order administrative divisions as defined by the US Government, but there are 10 parishes: Castel, Forest, Saint Andrew, Saint Martin, Saint Peter Port, Saint Pierre du Bois, Saint Sampson, Saint Saviour, Torteval, Vale |
| Independence: | none (British crown dependency) |
| National holiday: | Liberation Day, 9 May (1945) |
| Constitution: | unwritten; includes royal charters, statutes, and common law and practice |
| Legal system: | customary legal system based on Norman customary law, and includes elements of the French Civil Code and English common law |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Lieutenant Governor Air Marshall Peter WALKER (since 15 April 2011) |
| Executive branch: | head of government: Chief Minister Jonathan LE TOCQ (since 12 March 2014); Bailiff Richard COLLAS (since 23 March 2012) note - Chief Minister Peter HARWOOD resigned 25 February 2014 |
| Executive branch: | cabinet: Policy Council elected by the States of Deliberation |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; lieutenant governor and bailiff appointed by the monarch; chief minister elected by States of Deliberation |
| Executive branch: | election results: Peter HARWOOD elected chief minister, percent of vote NA |
| Legislative branch: | unicameral States of Deliberation (45 seats; members elected by popular vote to serve four-year terms; note - there are also 10 Douzaine representatives - one from each parish, 2 representatives from Alderney and the appointed attorney general and soliciter general); note - Alderney and Sark have parliaments |
| Legislative branch: | elections: last held on 18 April 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote - NA; seats - all independents |
| Judicial branch: | highest court(s): Guernsey Court of Appeal (consists of the Bailiff of Guernsey, who is the ex-officio president of the Guernsey Court of Appeal, and at least 12 judges); Royal Court (organized into 3 divisions - Full Court sits with 1 judge and 7 to 12 jurats acting as judges of fact, Ordinary Court sits with 1 judge and normally 3 jurats, and Matrimonial Causes Division sits with a 1 judge and 4 jurats); note - appeals beyond Guernsey courts are heard by the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Royal Court Balliff, Deputy Balliff and Court of Appeal justices appointed by the  British Crown and hold office at Her Majesty's pleasure; jurats elected by the States of Election, a body chaired by the Balliff and a number of jurats |
| Judicial branch: | subordinate courts: Court of Alderney; Court of the Seneschal of Sark; Magistrate's Court (includes Juvenile Court); Contracts Court; Ecclesiastical Court; Court of Chief Pleas |
| Political parties and leaders: | none; all independents |
| Political pressure groups and leaders: | Stop Traffic Endangering Pedestrian Safety or STEPS |
| Political pressure groups and leaders: | No More Masts [Colin FALLAIZE] |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (British crown dependency) |
| Diplomatic representation from the US: | none (British crown dependency) |
| Flag description: | white with the red cross of Saint George (patron saint of England) extending to the edges of the flag and a yellow equal-armed cross of William the Conqueror superimposed on the Saint George cross; the red cross represents the old ties with England and the fact that Guernsey is a British Crown dependency; the gold cross is a replica of the one used by Duke William of Normandy at the Battle of Hastings |
| National symbol(s): | Guernsey cow; donkey |
| National anthem: | name: "Sarnia Cherie" (Guernsey Dear) |
| National anthem: | lyrics/music: George DEIGHTON/Domencio SANTANGELO |
| National anthem: | note: adopted 1911; serves as a local anthem; as a British crown dependency, "God Save the Queen" remains official (see United Kingdom) |
