| Government | Dominica |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Dominica |
| Country name: | conventional short form: Dominica |
| Government type: | parliamentary democracy |
| Capital: | name: Roseau |
| Capital: | geographic coordinates: 15 18 N, 61 24 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 parishes; Saint Andrew, Saint David, Saint George, Saint John, Saint Joseph, Saint Luke, Saint Mark, Saint Patrick, Saint Paul, Saint Peter |
| Independence: | 3 November 1978 (from the UK) |
| National holiday: | Independence Day, 3 November (1978) |
| Constitution: | 3 November 1978 |
| Legal system: | common law based on the English model |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicholas J. O. LIVERPOOL (since October 2003) |
| Executive branch: | head of government: Prime Minister Roosevelt SKERRIT (since 8 January 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by the House of Assembly for a five-year term; election last held on 1 October 2003 (next to be held in 2013); prime minister appointed by the president |
| Executive branch: | election results: in the absence of an opposition candidate, Nicholas LIVERPOOL consented to a second term in 2008 at the request of the prime minister and leader of the opposition and no formal election was held in 2008 |
| Legislative branch: | unicameral House of Assembly (30 seats; 9 members appointed, 21 elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 18 December 2009 (next to be held in 2015); note - tradition dictates that the election will be held within five years of the last election, but technically it is five years from the first seating of parliament (12 May 2005) plus a 90-day grace period |
| Legislative branch: | election results: percent of vote by party - DLP 61.2%, UWP 34.9%; seats by party - DLP 18, UWP 3 |
| Judicial branch: | Eastern Caribbean Supreme Court, consisting of the Court of Appeal and the High Court (located in Saint Lucia; one of the six judges must reside in Dominica and preside over the Court of Summary Jurisdiction) |
| Political parties and leaders: | Dominica Freedom Party or DFP [Charles SAVARIN]; Dominica Labor Party or DLP [Roosevelt SKERRIT]; Dominica United Workers Party or UWP [Earl WILLIAMS] |
| Political pressure groups and leaders: | Dominica Liberation Movement or DLM (a small leftist party) |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, FAO, G-77, IAEA, IBRD, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, ITUC, MIGA, NAM, OAS, OECS, OIF, OPANAL, OPCW, PetroCaribe, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hubert J. CHARLES |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6781 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6791 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Dominica; the US Ambassador to Barbados is accredited to Dominica |
| Flag description: | green, with a centered cross of three equal bands - the vertical part is yellow (hoist side), black, and white and the horizontal part is yellow (top), black, and white; superimposed in the center of the cross is a red disk bearing a Sisserou parrot, unique to Dominica, encircled by 10 green, five-pointed stars edged in yellow; the 10 stars represent the 10 administrative divisions (parishes); green symbolizes the island's lush vegetation; the triple-colored cross represents the Christian Trinity; the yellow color denotes sunshine, the main agricultural products (citrus and bananas), and the native Carib Indians; black is for the rich soil and the African heritage of most citizens; white signifies rivers, waterfalls, and the purity of aspirations; the red disc stands for social justice |
| National symbol(s): | Sisserou parrot |
| National anthem: | name: "Isle of Beauty, Isle of Splendor" |
| National anthem: | lyrics/music: Wilfred Oscar Morgan POND/Lemuel McPherson CHRISTIAN |
| National anthem: | note: adopted 1967 |
