| Government | Mauritius |
| --- | --- |
| Country name: | conventional long form: Republic of Mauritius |
| Country name: | conventional short form: Mauritius |
| Country name: | local long form: Republic of Mauritius |
| Country name: | local short form: Mauritius |
| Country name: | etymology: island named after Prince Maurice VAN NASSAU, stadtholder of the Dutch Republic, in 1598 |
| Country name: | note: pronounced mah-rish-us |
| Government type: | parliamentary republic |
| Capital: | name: Port Louis |
| Capital: | geographic coordinates: 20 09 S, 57 29 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after Louis XV, who was king of France in 1736 when the port became the administrative center of MauritiusÂ and a major reprovisioning stop for French ships traveling between Europe and Asia |
| Administrative divisions: | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| Independence: | 12 March 1968 (from the UK) |
| National holiday: | Independence and Republic Day, 12 March (1968 & 1992); note - became independent and a republic on the same date in 1968 and 1992 respectively |
| Constitution: | history: several previous; latest adopted 12 March 1968 |
| Constitution: | amendments: proposed by the National Assembly; passage of amendments affecting constitutional articles, including the sovereignty of the state, fundamental rights and freedoms, citizenship, or the branches of government, requires approval in a referendum by at least three-fourths majority of voters followed by a unanimous vote by the Assembly; passage of other amendments requires only two-thirds majority vote by the Assembly; amended many times, last in 2016 |
| Legal system: | civil legal system based on French civil law with some elements of English common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 out of the previous 7 years including the last 12 months |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pritivirajsing ROOPUN (since December 2019); Vice President Marie Cyril Eddy BoissÃ©zon (2 December 2019) note - President Ameenah GURIB-FAKIM (since 5 June 2015) resigned on 23 March 2018 amid a credit card scandal |
