| Government | Mauritius |
| --- | --- |
| Country name: | conventional long form: Republic of Mauritius |
| Country name: | conventional short form: Mauritius |
| Government type: | parliamentary democracy |
| Capital: | Port Louis |
| Administrative divisions: | 9 districts and 3 dependencies*; Agalega Islands*, Black River, Cargados Carajos Shoals*, Flacq, Grand Port, Moka, Pamplemousses, Plaines Wilhems, Port Louis, Riviere du Rempart, Rodrigues*, Savanne |
| Independence: | 12 March 1968 (from UK) |
| National holiday: | Independence Day, 12 March (1968) |
| Constitution: | 12 March 1968; amended 12 March 1992 |
| Legal system: | based on French civil law system with elements of English common law in certain areas |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Sir Anerood JUGNAUTH (since 7 October 2003) and Vice President Abdool Raouf BUNDHUN (since 25 February 2002) |
| Executive branch: | head of government: Prime Minister Paul BERENGER (since 30 September 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president and vice president elected by the National Assembly for five-year terms; election last held 25 February 2002 (next to be held NA 2007); prime minister and deputy prime minister appointed by the president, responsible to the National Assembly |
| Executive branch: | election results: Karl OFFMANN elected president and Raouf BUNDHUN elected vice president; percent of vote by the National Assembly - NA; note - Karl OFFMANN stepped down on 30 September 2003 |
| Legislative branch: | unicameral National Assembly (66 seats; 62 elected by popular vote, 4 appointed by the election commission from the losing political parties to give representation to various ethnic minorities; members serve five-year terms) |
| Legislative branch: | elections: last held on 11 September 2000 (next to be held NA September 2004) |
| Legislative branch: | election results: percent of vote by party - MSM/MMM 52.3%, MLP/PMSD 36.9%, OPR 10.8%; seats by party - MSM/MMM 54, MLP/PMSD 6, OPR 2 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Hizbullah [Cehl Mohamed FAKEEMEEAH]; Mauritian Labor Party or MLP [Navinchandra RAMGOOLAM]; Mauritian Militant Movement or MMM [Paul BERENGER] - in coalition with MSM; Mauritian Social Democrat Party or PMSD [Charles Xavier-Luc DUVAL]; Militant Socialist Movement or MSM [Pravind JUGNAUTH] - governing party; Rodrigues Movement or MR [Joseph (Nicholas) Von MALLY]; Rodrigues Peoples Organization or OPR [Serge CLAIR] |
| Political pressure groups and leaders: | various labor unions |
| International organization participation: | ACCT, ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, ISO, ITU, MIGA, NAM, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Usha JEETAH |
| Diplomatic representation in the US: | FAX: [1] (202) 966-0983 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-1491, 1492 |
| Diplomatic representation in the US: | chancery: 4301 Connecticut Avenue NW, Suite 441, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador John PRICE |
| Diplomatic representation from the US: | embassy: 4th Floor, Rogers House, John Kennedy Street, Port Louis |
| Diplomatic representation from the US: | mailing address: international mail: P. O. Box 544, Port Louis; US mail: American Embassy, Port Louis, Department of State, Washington, DC 20521-2450 |
| Diplomatic representation from the US: | telephone: [230] 202-4400 |
| Diplomatic representation from the US: | FAX: [230] 208-9534 |
| Flag description: | four equal horizontal bands of red (top), blue, yellow, and green |
