| Government | Australia |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Australia |
| Country name: | conventional short form: Australia |
| Government type: | federal parliamentary democracy and a Commonwealth realm |
| Capital: | name: Canberra |
| Capital: | geographic coordinates: 35 17 S, 149 13 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends first Sunday in April |
| Capital: | note: Australia is divided into three time zones |
| Administrative divisions: | 6 states and 2 territories*; Australian Capital Territory*, New South Wales, Northern Territory*, Queensland, South Australia, Tasmania, Victoria, Western Australia |
| Dependent areas: | Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Coral Sea Islands, Heard Island and McDonald Islands, Macquarie Island, Norfolk Island |
| Independence: | 1 January 1901 (from the federation of UK colonies) |
| National holiday: | Australia Day, 26 January (1788); ANZAC Day (commemorates the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | 9 July 1900; effective 1 January 1901 |
| Legal system: | common law system based on the English model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Queen of Australia ELIZABETH II (since 6 February 1952); represented by Governor General Quentin BRYCE (since 5 September 2008) |
| Executive branch: | head of government: Prime Minister Julia Eileen GILLARD (since 24 June 2010); Deputy Prime Minister Wayne Maxwell SWAN (since 24 June 2010) |
| Executive branch: | cabinet: prime minister nominates, from among members of Parliament, candidates who are subsequently sworn in by the governor general to serve as government ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; following legislative elections, the leader of the majority party or leader of a majority coalition is sworn in as prime minister by the governor general |
| Legislative branch: | bicameral Federal Parliament consists of the Senate (76 seats; 12 members from each of the six states and 2 from each of the two mainland territories; one-half of state members are elected every three years by popular vote to serve six-year terms while all territory members are elected every three years) and the House of Representatives (150 seats; members elected by popular vote to serve terms of up to three-years; no state can have fewer than 5 representatives) |
| Legislative branch: | elections: Senate - last held on 21 August 2010; House of Representatives - last held on 21 August 2010 (the latest a simultaneous half-Senate and House of Representative elections can be held is 30 November 2013) |
| Legislative branch: | election results: Senate (effective 1 July 2011) - percent of vote by party - NA; seats by party - Liberal/National Party 34, Australian Labor Party 31, Greens 9, others 2; House of Representatives - percent of vote by party - Australian Labor Party 38.1%, Liberal Party 30.4%, Greens 11.5%, Liberal National Party of Queensland 9.3%, independents 6.6%, The Nationals 3.7%, Country Liberals 0.3%; seats by party - Australian Labor Party 72, Liberal Party 44, Liberal National Party of Queensland 21, The Nationals 7, Country Liberals 1, Greens 1, independents 4 |
| Judicial branch: | High Court (the chief justice and six other justices are appointed by the governor general acting on the advice of the government) |
| Political parties and leaders: | Australian Greens [Bob BROWN]; Australian Labor Party [Julia GILLARD]; Family First Party [Steve FIELDING]; Liberal Party [Tony ABBOTT]; The Nationals [Warren TRUSS] |
| Political pressure groups and leaders: | other: business groups; environmental groups; social groups; trade unions |
| International organization participation: | ADB, ANZUS, APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CP, EAS, EBRD, FAO, FATF, G-20, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NEA, NSG, OECD, OPCW, OSCE (partner), Paris Club, PCA, PIF, SAARC (observer), Sparteca, SPC, UN, UNCTAD, UNESCO, UNHCR, UNMISS, UNMIT, UNRWA, UNTSO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kim Christian BEAZLEY |
| Diplomatic representation in the US: | chancery: 1601 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-3000 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-3168 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Honolulu, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Jeffrey L. BLEICH |
| Diplomatic representation from the US: | embassy: Moonah Place, Yarralumla, Canberra, Australian Capital Territory 2600 |
| Diplomatic representation from the US: | mailing address: APO AP 96549 |
| Diplomatic representation from the US: | telephone: [61] (02) 6214-5600 |
| Diplomatic representation from the US: | FAX: [61] (02) 6214-5970 |
| Diplomatic representation from the US: | consulate(s) general: Melbourne, Perth, Sydney |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and a large seven-pointed star in the lower hoist-side quadrant known as the Commonwealth or Federation Star, representing the federation of the colonies of Australia in 1901; the star depicts one point for each of the six original states and one representing all of Australia's internal and external territories; on the fly half is a representation of the Southern Cross constellation in white with one small five-pointed star and four larger, seven-pointed stars |
| National symbol(s): | Southern Cross constellation (five, seven-pointed stars); kangaroo; emu |
| National anthem: | name: "Advance Australia Fair" |
| National anthem: | lyrics/music: Peter Dodds McCORMICK |
| National anthem: | note: adopted 1984; although originally written in the late 19th century, the anthem did not become used for all official occasions until 1984; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" is also played at Royal functions (see United Kingdom) |
