| Government | Australia |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Australia |
| Country name: | conventional short form: Australia |
| Government type: | federal parliamentary democracy and a Commonwealth realm |
| Capital: | name: Canberra |
| Capital: | geographic coordinates: 35 16 S, 149 08 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends first Sunday in April |
| Capital: | note: Australia is divided into three time zones |
| Administrative divisions: | 6 states and 2 territories*; Australian Capital Territory*, New South Wales, Northern Territory*, Queensland, South Australia, Tasmania, Victoria, Western Australia |
| Dependent areas: | Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Coral Sea Islands, Heard Island and McDonald Islands, Macquarie Island, Norfolk Island |
| Independence: | 1 January 1901 (from the federation of UK colonies) |
| National holiday: | Australia Day (commemorates the arrival of the First Fleet of Australian settlers), 26 January (1788); ANZAC Day (commemorates the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | 9 July 1900; effective 1 January 1901; amended several times, last in 1977; note - a referendum to amend the constitution to reflect the Aboriginal and Torres Strait Islander Peoples Recognition Act 2013 is to be completed by the end of 2014 (2013) |
| Legal system: | common law system based on the English model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Queen of Australia ELIZABETH II (since 6 February 1952); represented by Governor General Quentin BRYCE (since 5 September 2008) |
| Executive branch: | head of government: Prime Minister Anthony John "Tony" ABBOTT (since 18 September 2013); Deputy Prime Minister Warren TRUSS (since 18 September 2013) |
| Executive branch: | cabinet: prime minister nominates, from among members of Parliament, candidates who are subsequently sworn in by the governor general to serve as government ministers |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; following legislative elections, the leader of the majority party or leader of a majority coalition is sworn in as prime minister by the governor general |
| Legislative branch: | bicameral Federal Parliament consists of the Senate (76 seats; 12 members from each of the six states and 2 from each of the two mainland territories; one-half of state members are elected every three years by popular vote to serve six-year terms while all territory members are elected every three years) and the House of Representatives (150 seats; members elected by popular vote to serve terms of up to three-years; no state can have fewer than 5 representatives) |
| Legislative branch: | elections: Senate - last held on 7 September 2013; House of Representatives - last held on 7 September 2013 (the latest a simultaneous half-Senate and House of Representative elections can be held is 30 November 2016) |
| Legislative branch: | election results: Senate NA; House of Representatives - percent of vote by party - Liberal/National Coalition 53.45%, Australian Labor Party 46.55%; seats by party - Liberal/National Coalition 90 (Liberal 58, Liberal National 22, Nationals 9, Country Liberals 1), Australian Labor Party 55, Australian Greens Party 1, Katter's Australian Party 1, Palmer United Party 1, independents 2 |
| Judicial branch: | highest court(s): High Court of Australia (consists of 7 justices, including the chief justice); note - each of the 6 states, 2 territories, and Norfolk Island has a Supreme Court; the High Court is the final appellate court beyond the state and territory supreme courts |
| Judicial branch: | judge selection and term of office: justices appointed by the governor-general in council for life with mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: subordinate courts at the federal level: Federal Court; Federal Magistrates' Courts of Australia; Family Court; subordinate courts at the state and territory level: Local Court - New South Wales; Magistrates' Courts – Victoria, Queensland, South Australia, Western Australia, Tasmania, Northern Territory, Australian Capital Territory; District Courts – New South Wales, Queensland, South Australia, Western Australia; County Court – Victoria; Family Court – Western Australia; Court of Petty Sessions – Norfolk Island |
| Political parties and leaders: | Australian Greens Party [Christine MILNE] |
| Political parties and leaders: | Australian Labor Party [Bill SHORTEN] |
| Political parties and leaders: | Country Liberal Party [Terry MILLS] |
| Political parties and leaders: | Family First Party [Steve FIELDING] |
| Political parties and leaders: | Katter's Australian Party [Bob KATTER] |
| Political parties and leaders: | Liberal National Party of Queensland [Campbell NEWMAN] |
| Political parties and leaders: | Liberal Party [Tony ABBOTT] |
| Political parties and leaders: | National Party of Australia [Warren TRUSS] |
| Political parties and leaders: | Palmer United Party [Clive PALMER] |
| Political pressure groups and leaders: | other: business groups, environmental groups, social groups, trade unions |
| International organization participation: | ADB, ANZUS, APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CD, CP, EAS, EBRD, EITI (implementing country), FAO, FATF, G-20, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NEA, NSG, OECD, OPCW, OSCE (partner), Paris Club, PCA, PIF, SAARC (observer), SICA (observer), Sparteca, SPC, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNMISS, UNMIT, UNRWA, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kim Christian BEAZLEY (since 7 February 2010) |
| Diplomatic representation in the US: | chancery: 1601 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-3000 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-3168 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Honolulu, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John BERRY (since 25 September 2013) |
| Diplomatic representation from the US: | embassy: Moonah Place, Yarralumla, Canberra, Australian Capital Territory 2600 |
| Diplomatic representation from the US: | mailing address: APO AP 96549 |
| Diplomatic representation from the US: | telephone: [61] (02) 6214-5600 |
| Diplomatic representation from the US: | FAX: [61] (02) 6214-5970 |
| Diplomatic representation from the US: | consulate(s) general: Melbourne, Perth, Sydney |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and a large seven-pointed star in the lower hoist-side quadrant known as the Commonwealth or Federation Star, representing the federation of the colonies of Australia in 1901; the star depicts one point for each of the six original states and one representing all of Australia's internal and external territories; on the fly half is a representation of the Southern Cross constellation in white with one small, five-pointed star and four larger, seven-pointed stars |
