| Government | AUSTRALIA |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Australia |
| Country name: | conventional short form: Australia |
| Country name: | etymology: the name Australia derives from the Latin "australis" meaning "southern"; the Australian landmass was long referred to as "Terra Australis" or the Southern Land |
| Government type: | parliamentary democracy (Federal Parliament) under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Canberra |
| Capital: | geographic coordinates: 35 16 S, 149 08 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends first Sunday in April |
| Capital: | note: Australia has three time zones |
| Administrative divisions: | 6 states and 2 territories*; Australian Capital Territory*, New South Wales, Northern Territory*, Queensland, South Australia, Tasmania, Victoria, Western Australia |
| Dependent areas: | Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Coral Sea Islands, Heard Island and McDonald Islands, Norfolk Island |
| Independence: | 1 January 1901 (from the federation of UK colonies) |
| National holiday: | Australia Day (commemorates the arrival of the First Fleet of Australian settlers), 26 January (1788); ANZAC Day (commemorates the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | 9 July 1900; effective 1 January 1901; amended several times, last in 1977; note - a referendum to amend the constitution to reflect the Aboriginal and Torres Strait Islander Peoples Recognition Act 2013 held in 2017 was rejected (2017) |
| Legal system: | common law system based on the English model |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen or permanent resident of Australia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 4 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Queen of Australia ELIZABETH II (since 6 February 1952); represented by Governor Gen. Sir Peter COSGROVE (since 28 March 2014) |
| Executive branch: | head of government: Prime Minister Malcolm TURNBULL (since 15 September 2015) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister from among members of Parliament and sworn in by the governor general |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; following legislative elections, the leader of the majority party or majority coalition is sworn in as prime minister by the governor general |
| Legislative branch: | description: bicameral Federal Parliament consists of the Senate (76 seats; 12 members from each of the 6 states and 2 each from the 2 mainland territories; members directly elected in multi-seat constituencies by proportional representation vote; members serve 6-year terms with one-half of state membership renewed every 3 years and territory membership renewed every 3 years) and the House of Representatives (150 seats; members directly elected in single-seat constituencies by majority preferential vote; members serve terms of up to 3 years) |
| Legislative branch: | elections: Senate - last held on 2 July 2016 (next to be held in 2019); House of Representatives - last held on 2 July 2016; this election represents a rare double dissolution where all 226 seats in both the Senate and House of Representatives are up for reelection |
| Legislative branch: | election results: Senate - percent of vote by party - Liberal/National Coalition 35.2%, ALP 29.8%, the Greens 8.7%, Pauline Hanson's One Nation 4.3%, Nick Xenophon Team 3.3%, other 18.7%; seats by party - Liberal/National Coalition 30, ALP 26, The Greens 9, Pauline Hanson's One Nation 4, Nick Xenophon Team 3, other 4; House of Representatives - percent of vote by party - Liberal/National Coalition 42%, ALP 34.7%, The Greens 10.2%, Nick Xenophon Team 1.9%. Katter's Australian Party 0.5%, independent 2.8%, other 7.8%; seats by party - Liberal/National Coalition 76, ALP 69, The Greens 1, Katter's Australian Party 1, Nick Xenophon Team 1, independent 2 |
| Judicial branch: | highest court(s): High Court of Australia (consists of 7 justices, including the chief justice); note - each of the 6 states, 2 territories, and Norfolk Island has a Supreme Court; the High Court is the final appellate court beyond the state and territory supreme courts |
| Judicial branch: | judge selection and term of office: justices appointed by the governor-general in council for life with mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: subordinate courts: subordinate courts at the federal level: Federal Court; Federal Magistrates' Courts of Australia; Family Court; subordinate courts at the state and territory level: Local Court - New South Wales; Magistrates' Courts – Victoria, Queensland, South Australia, Western Australia, Tasmania, Northern Territory, Australian Capital Territory; District Courts – New South Wales, Queensland, South Australia, Western Australia; County Court – Victoria; Family Court – Western Australia; Court of Petty Sessions – Norfolk Island |
| Political parties and leaders: | Australian Greens Party [Richard DI NATALE] |
| Political parties and leaders: | Australian Labor Party [Bill SHORTEN] |
| Political parties and leaders: | Country Liberal Party or CLP [Gary HIGGINS] |
| Political parties and leaders: | Family First Party [Bob DAY] |
| Political parties and leaders: | Katter's Australian Party [Bob KATTER] |
| Political parties and leaders: | Liberal National Party of Queensland or LNP [Timothy NICHOLLS] |
| Political parties and leaders: | Liberal Party [Malcolm TURNBULL] |
| Political parties and leaders: | National Party of Australia [Barnaby JOYCE] |
| Political parties and leaders: | Palmer United Party or PUP [Clive PALMER] |
| Political pressure groups and leaders: | business groups, environmental groups, social groups, trade unions |
| International organization participation: | ADB, ANZUS, APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CD, CP, EAS, EBRD, EITI (implementing country), FAO, FATF, G-20, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NEA, NSG, OECD, OPCW, OSCE (partner), Pacific Alliance (observer), Paris Club, PCA, PIF, SAARC (observer), SICA (observer), Sparteca, SPC, UN, UNCTAD, UNESCO, UNHCR, UNMISS, UNMIT, UNRWA, UNTSO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Joseph Benedict HOCKEY (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 1601 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-3000 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-3168 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Honolulu, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James CAROUSO (since September 2016) |
