| Government | Kenya |
| --- | --- |
| Country name: | conventional long form: Republic of Kenya |
| Country name: | conventional short form: Kenya |
| Country name: | local long form: Republic of Kenya/Jamhuri ya Kenya |
| Country name: | local short form: Kenya |
| Country name: | former: British East Africa |
| Government type: | republic |
| Capital: | name: Nairobi |
| Capital: | geographic coordinates: 1 17 S, 36 49 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces and 1 area*; Central, Coast, Eastern, Nairobi Area*, North Eastern, Nyanza, Rift Valley, Western |
| Independence: | 12 December 1963 (from the UK) |
| National holiday: | Independence Day, 12 December (1963) |
| Constitution: | 27 August 2010; the new constitution abolishes the position of prime minister and establishes a bicameral legislature; many details have yet to be finalized and will require significant legislative action |
| Legal system: | based on Kenyan statutory law, Kenyan and English common law, tribal law, and Islamic law; judicial review in High Court; accepts compulsory ICJ jurisdiction with reservations; constitutional amendment of 1982 making Kenya a de jure one-party state repealed in 1991 |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mwai KIBAKI (since 30 December 2002); Vice President Stephen Kalonzo MUSYOKA (since 10 January 2008); |
| Executive branch: | head of government: President Mwai KIBAKI (since 30 December 2002); Vice President Stephen Kalonzo MUSYOKA (since 10 January 2008); note - the roles of the president and prime minister are not well defined at this juncture; constitutionally, the president remains chief of state and head of government, but the prime minister is charged with coordinating government business |
| Executive branch: | cabinet: Cabinet appointed by the president and headed by the prime minister, who is the leader of the largest party in parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); in addition to receiving the largest number of votes in absolute terms, the presidential candidate must also win 25% or more of the vote in at least five of Kenya's seven provinces and one area to avoid a runoff; election last held on 27 December 2007 (next to be held in December 2012); vice president appointed by the president |
| Executive branch: | election results: President Mwai KIBAKI reelected; percent of vote - Mwai KIBAKI 46%, Raila ODINGA 44%, Kalonzo MUSYOKA 9% |
| Legislative branch: | unicameral National Assembly or Bunge usually referred to as Parliament (224 seats; 210 members elected by popular vote to serve five-year terms, 12 nominated members appointed by the president but selected by the parties in proportion to their parliamentary vote totals, 2 ex-officio members) |
| Legislative branch: | elections: last held on 27 December 2007 (next to be held in December 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ODM 99, PNU 46, ODM-K 16, KANU 14 other 35; ex-officio 2; seats appointed by the president - ODM 6, PNU 3, ODM-K 2, KANU 1 |
| Judicial branch: | Court of Appeal (chief justice is appointed by the president); High Court |
| Political parties and leaders: | Forum for the Restoration of Democracy-Kenya or FORD-Kenya [Musikari KOMBO]; Forum for the Restoration of Democracy-People or FORD-People [Reuben OYONDI]; Kenya African National Union or KANU [Uhuru KENYATTA]; National Rainbow Coalition-Kenya or NARC-Kenya [Martha KARUA]; Orange Democratic Movement or ODM [Raila ODINGA]; Orange Democratic Movement-Kenya or ODM-K [Kalonzo MUSYOKA]; Party of National Unity or PNU [Mwai KIBAKI]; Shirikisho Party of Kenya or SPK [Chirau Ali MWAKWERE] |
| Political pressure groups and leaders: | Council of Islamic Preachers of Kenya or CIPK [Sheikh Idris MOHAMMED]; Kenya Human Rights Commission [L. Muthoni WANYEKI]; Muslim Human Rights Forum [Ali-Amin KIMATHI]; National Convention Executive Council or NCEC, a proreform coalition of political parties and nongovernment organizations [Ndung'u WAINANA]; National Muslim Leaders Forum or NAMLEF [Abdullahi ABDI]; Protestant National Council of Churches of Kenya or NCCK [Canon Peter Karanja MWANGI]; Roman Catholic and other Christian churches; Supreme Council of Kenya Muslims or SUPKEM [Shaykh Abdul Gafur al-BUSAIDY] |
| Political pressure groups and leaders: | other: labor unions |
| International organization participation: | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Elkanah Odembo ABSALOM |
| Diplomatic representation in the US: | chancery: 2249 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-6101 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-3829 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael E. RANNEBERGER |
| Diplomatic representation from the US: | embassy: US Embassy, United Nations Avenue, Nairobi; P. O. Box 606 Village Market, Nairobi 00621 |
| Diplomatic representation from the US: | mailing address: Box 21A, Unit 64100, APO AE 09831 |
| Diplomatic representation from the US: | telephone: [254] (20) 363-6000 |
| Diplomatic representation from the US: | FAX: [254] (20) 363-410 |
| Flag description: | three equal horizontal bands of black (top), red, and green; the red band is edged in white; a large Maasai warrior's shield covering crossed spears is superimposed at the center; black symbolizes the majority population, red the blood shed in the struggle for freedom, green stands for natural wealth, and white for peace; the shield and crossed spears symbolize the defense of freedom |
| National anthem: | name: "Ee Mungu Nguvu Yetu" (Oh God of All Creation) |
| National anthem: | lyrics/music: Graham HYSLOP, Thomas KALUME, Peter KIBUKOSYA, Washington OMONDI, and George W. SENOGA-ZAKE/traditional, adapted by Graham HYSLOP, Thomas KALUME, Peter KIBUKOSYA, Washington OMONDI, and George W. SENOGA-ZAKE |
| National anthem: | note: adopted 1963; the anthem is based on a traditional Kenyan folk song |
