| Government | Western Sahara |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Western Sahara |
| Country name: | former: Rio de Oro, Saguia el Hamra, Spanish Sahara |
| Country name: | etymology: self-descriptive name specifying the territory's western location on the African continent's vast desert |
| Government type: | legal status of territory and issue of sovereignty unresolved; territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile of the Sahrawi Arab Democratic Republic (SADR), near Tindouf, Algeria, led by President Mohamed ABDELAZIZ until his death in May 2016; current President Brahim GHALI elected in July 2016; territory partitioned between Morocco and Mauritania in April 1976 when Spain withdrew, with Morocco acquiring northern two-thirds; Mauritania, under pressure from Polisario guerrillas, abandoned all claims to its portion in August 1979; Morocco moved to occupy that sector shortly thereafter and has since asserted administrative control; the Polisario's government-in-exile was seated as an Organization of African Unity (OAU) member in 1984; Morocco between 1980 and 1987 built a fortified sand berm delineating the roughly 75% of Western Sahara west of the barrier that currently is controlled by Morocco; guerrilla activities continued sporadically until a UN-monitored cease-fire was implemented on 6 September 1991 (Security Council Resolution 690) by the United Nations Mission for the Referendum in Western Sahara (MINURSO) |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none officially; the territory west of the Moroccan berm falls under de facto Moroccan control; Morocco claims the territory of Western Sahara, the political status of which is considered undetermined by the US Government; portions of the regions Guelmim-Es Smara and Laayoune-Boujdour-Sakia El Hamra, as claimed by Morocco, lie within Western Sahara; Morocco also claims Oued Eddahab-Lagouira, another region that falls entirely within Western Sahara |
| Suffrage: | none; (residents of Moroccan-controlled Western Sahara participate in Moroccan elections) |
| Executive branch: | none |
| International organization participation: | AU, WFTU (NGOs) |
| Diplomatic representation in the US: | none |
| Diplomatic representation from the US: | none |
