| Government | Azerbaijan |
| --- | --- |
| Country name: | conventional long form: Republic of Azerbaijan |
| Country name: | conventional short form: Azerbaijan |
| Country name: | local short form: none |
| Country name: | former: Azerbaijan Soviet Socialist Republic |
| Country name: | local long form: Azarbaycan Respublikasi |
| Government type: | republic |
| Capital: | Baku (Baki) |
| Administrative divisions: | 59 rayons (rayonlar; rayon - singular), 11 cities* (saharlar; sahar - singular), 1 autonomous republic** (muxtar respublika); Abseron Rayonu, Agcabadi Rayonu, Agdam Rayonu, Agdas Rayonu, Agstafa Rayonu, Agsu Rayonu, Ali Bayramli Sahari*, Astara Rayonu, Baki Sahari*, Balakan Rayonu, Barda Rayonu, Beylaqan Rayonu, Bilasuvar Rayonu, Cabrayil Rayonu, Calilabad Rayonu, Daskasan Rayonu, Davaci Rayonu, Fuzuli Rayonu, Gadabay Rayonu, Ganca Sahari*, Goranboy Rayonu, Goycay Rayonu, Haciqabul Rayonu, Imisli Rayonu, Ismayilli Rayonu, Kalbacar Rayonu, Kurdamir Rayonu, Lacin Rayonu, Lankaran Rayonu, Lankaran Sahari*, Lerik Rayonu, Masalli Rayonu, Mingacevir Sahari*, Naftalan Sahari*, Naxcivan Muxtar Respublikasi**, Neftcala Rayonu, Oguz Rayonu, Qabala Rayonu, Qax Rayonu, Qazax Rayonu, Qobustan Rayonu, Quba Rayonu, Qubadli Rayonu, Qusar Rayonu, Saatli Rayonu, Sabirabad Rayonu, Saki Rayonu, Saki Sahari*, Salyan Rayonu, Samaxi Rayonu, Samkir Rayonu, Samux Rayonu, Siyazan Rayonu, Sumqayit Sahari*, Susa Rayonu, Susa Sahari*, Tartar Rayonu, Tovuz Rayonu, Ucar Rayonu, Xacmaz Rayonu, Xankandi Sahari*, Xanlar Rayonu, Xizi Rayonu, Xocali Rayonu, Xocavand Rayonu, Yardimli Rayonu, Yevlax Rayonu, Yevlax Sahari*, Zangilan Rayonu, Zaqatala Rayonu, Zardab Rayonu |
| Independence: | 30 August 1991 (from Soviet Union) |
| National holiday: | Founding of the Democratic Republic of Azerbaidzhan, 28 May (1918) |
| Constitution: | adopted 12 November 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
