| Government | Azerbaijan |
| --- | --- |
| Country name: | conventional long form: Republic of Azerbaijan |
| Country name: | conventional short form: Azerbaijan |
| Country name: | local long form: Azarbaycan Respublikasi |
| Country name: | local short form: Azarbaycan |
| Country name: | former: Azerbaijan Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Baku (Baki, Baky) |
| Capital: | geographic coordinates: 40 23 N, 49 52 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 66 rayons (rayonlar; rayon - singular), 11 cities (saharlar; sahar - singular); |
| Administrative divisions: | rayons: Abseron, Agcabadi, Agdam, Agdas, Agstafa, Agsu, Astara, Babak, Balakan, Barda, Beylaqan, Bilasuvar, Cabrayil, Calilabad, Culfa, Daskasan, Fuzuli, Gadabay, Goranboy, Goycay, Goygol, Haciqabul, Imisli, Ismayilli, Kalbacar, Kangarli, Kurdamir, Lacin, Lankaran, Lerik, Masalli, Neftcala, Oguz, Ordubad, Qabala, Qax, Qazax, Qobustan, Quba, Qubadli, Qusar, Saatli, Sabirabad, Sabran, Sadarak, Sahbuz, Saki, Salyan, Samaxi, Samkir, Samux, Sarur, Siyazan, Susa, Tartar, Tovuz, Ucar, Xacmaz, Xizi, Xocali, Xocavand, Yardimli, Yevlax, Zangilan, Zaqatala, Zardab |
| Administrative divisions: | cities: Baku, Ganca, Lankaran, Mingacevir, Naftalan, Naxcivan (Nakhichevan), Saki, Sirvan, Sumqayit, Xankandi, Yevlax |
| Independence: | 30 August 1991 (declared from the Soviet Union); 18 October 1991 (adopted by the Supreme Council of Azerbaijan) |
| National holiday: | Founding of the Democratic Republic of Azerbaijan, 28 May (1918) |
| Constitution: | several previous; latest adopted 12 November 1995; amended 1996, 2002, 2009 (2009) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ilham ALIYEV (since 31 October 2003) |
| Executive branch: | head of government: Prime Minister Artur RASIZADE (since 4 November 2003); First Deputy Prime Minister Yaqub EYYUBOV (since June 2006) |
