| Government | AZERBAIJAN |
| --- | --- |
| Country name: | conventional long form: Republic of Azerbaijan |
| Country name: | conventional short form: Azerbaijan |
| Country name: | local long form: Azarbaycan Respublikasi |
| Country name: | local short form: Azarbaycan |
| Country name: | former: Azerbaijan Soviet Socialist Republic |
| Country name: | etymology: the name translates as "Land of Fire" and refers to naturally occurring surface fires on ancient oil pools or from natural gas discharges |
| Government type: | presidential republic |
| Capital: | name: Baku (Baki, Baky) |
| Capital: | geographic coordinates: 40 23 N, 49 52 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 66 rayons (rayonlar; rayon - singular), 11 cities (saharlar; sahar - singular); |
| Administrative divisions: | rayons: Abseron, Agcabadi, Agdam, Agdas, Agstafa, Agsu, Astara, Babak, Balakan, Barda, Beylaqan, Bilasuvar, Cabrayil, Calilabad, Culfa, Daskasan, Fuzuli, Gadabay, Goranboy, Goycay, Goygol, Haciqabul, Imisli, Ismayilli, Kalbacar, Kangarli, Kurdamir, Lacin, Lankaran, Lerik, Masalli, Neftcala, Oguz, Ordubad, Qabala, Qax, Qazax, Qobustan, Quba, Qubadli, Qusar, Saatli, Sabirabad, Sabran, Sadarak, Sahbuz, Saki, Salyan, Samaxi, Samkir, Samux, Sarur, Siyazan, Susa, Tartar, Tovuz, Ucar, Xacmaz, Xizi, Xocali, Xocavand, Yardimli, Yevlax, Zangilan, Zaqatala, Zardab |
| Administrative divisions: | cities: Baku, Ganca, Lankaran, Mingacevir, Naftalan, Naxcivan (Nakhichevan), Saki, Sirvan, Sumqayit, Xankandi, Yevlax |
| Independence: | 30 August 1991 (declared from the Soviet Union); 18 October 1991 (adopted by the Supreme Council of Azerbaijan) |
| National holiday: | Republic Day (founding of the Democratic Republic of Azerbaijan), 28 May (1918) |
| Constitution: | history: several previous; latest adopted 12 November 1995 |
| Constitution: | amendments: proposed by the president of the republic or by at least 63 members of the National Assembly; passage requires at least 95 votes of Assembly members in two separate readings of the draft amendment six months apart and requires presidential approval after each of the two Assembly votes, followed by presidential signature; constitutional articles on the authority, sovereignty, and unity of the people cannot be amended; amended 2002, 2009, 2016 (2017) |
| Legal system: | civil law system |
