| Government | Cape Verde |
| --- | --- |
| Country name: | conventional long form: Republic of Cape Verde |
| Country name: | conventional short form: Cape Verde |
| Country name: | local long form: Republica de Cabo Verde |
| Country name: | local short form: Cabo Verde |
| Government type: | republic |
| Capital: | name: Praia |
| Capital: | geographic coordinates: 14 55 N, 23 31 W |
| Capital: | time difference: UTC-1 (4 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 17 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Praia, Porto Novo, Ribeira Grande, Sal, Santa Catarina, Santa Cruz, Sao Domingos, Sao Filipe, Sao Miguel, Sao Nicolau, Sao Vicente, Tarrafal |
| Independence: | 5 July 1975 (from Portugal) |
| National holiday: | Independence Day, 5 July (1975) |
| Constitution: | new constitution came into force 25 September 1992; underwent a major revision on 23 November 1995, substantially increasing the powers of the president; a 1999 revision created the position of national ombudsman (Provedor de Justica) |
| Legal system: | derived from the legal system of Portugal |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pedro Verona PIRES (since 22 March 2001) |
| Executive branch: | head of government: Prime Minister Jose Maria Pereira NEVES (since 1 February 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 12 February 2006 (next to be held February 2011); prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: Pedro PIRES reelected president; percent of vote - Pedro PIRES (PAICV) 51.2%, Carlos VIEGA (MPD) 48.8% |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (72 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 22 January 2006 (next to be held in January 2011) |
| Legislative branch: | election results: percent of vote by party - PAICV 52.3%, MPD 44%, UCID 2.7%; seats by party - PAICV 41, MPD 29, ADM 2 |
| Judicial branch: | Supreme Tribunal of Justice or Supremo Tribunal de Justia |
| Political parties and leaders: | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic Alliance for Change or ADM [Dr. Eurico MONTEIRO] (a coalition of PCD, PTS, and UCID); Democratic Christian Party or PDC [Manuel RODRIGUES, chairman]; Democratic Renovation Party or PRD [Victor FIDALGO, president]; Democratic and Independent Cape Verdean Union or UCID [Antonio MONTEIRO]; Movement for Democracy or MPD [Agostinho LOPES, president]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO, president]; Party of Work and Solidarity or PTS [Isaias RODRIGUES, president]; Social Democratic Party or PSD [Joao ALEM, president] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITU, MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose BRITO |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-6820 |
| Diplomatic representation in the US: | FAX: [1] (202) 965-1207 |
| Diplomatic representation in the US: | consulate(s) general: Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador Roger D. PIERCE |
| Diplomatic representation from the US: | embassy: Rua Abilio Macedo n6, Praia |
| Diplomatic representation from the US: | mailing address: C. P. 201, Praia |
| Diplomatic representation from the US: | telephone: [238] 2-60-89-00 |
| Diplomatic representation from the US: | FAX: [238] 2-61-13-55 |
| Flag description: | three horizontal bands of light blue (top, double width), white (with a horizontal red stripe in the middle third), and light blue; a circle of 10 yellow five-pointed stars is centered on the hoist end of the red stripe and extends into the upper and lower blue bands |
