| Government | Cape Verde |
| --- | --- |
| Country name: | conventional long form: Republic of Cape Verde |
| Country name: | conventional short form: Cape Verde |
| Country name: | local long form: Republica de Cabo Verde |
| Country name: | local short form: Cabo Verde |
| Government type: | republic |
| Capital: | name: Praia |
| Capital: | geographic coordinates: 14 55 N, 23 31 W |
| Capital: | time difference: UTC-1 (4 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 22 municipalities (concelhos, singular - concelho); Boa Vista, Brava, Maio, Mosteiros, Paul, Porto Novo, Praia, Ribeira Brava, Ribeira Grande, Ribeira Grande de Santiago, Sal, Santa Catarina, Santa Catarina do Fogo, Santa Cruz, Sao Domingos, Sao Filipe, Sao Lourenco dos Orgaos, Sao Miguel, Sao Salvador do Mundo, Sao Vicente, Tarrafal, Tarrafal de Sao Nicolau |
| Independence: | 5 July 1975 (from Portugal) |
| National holiday: | Independence Day, 5 July (1975) |
| Constitution: | 25 September 1992; a major revision on 23 November 1995 substantially increased the powers of the president; a 1999 revision created the position of national ombudsman (Provedor de Justica) |
| Legal system: | civil law system of Portugal |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jorge Carlos FONSECA (since 9 September 2011) |
| Executive branch: | head of government: Prime Minister Jose Maria Pereira NEVES (since 1 February 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 7 August 2011 with a second round runoff on 21 August 2011; prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: percent of vote (second round) - Jorge Carlos FONSECA 53.4%, Manuel Inocencio SOUSA 46.6% |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (72 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 6 February 2011 (next to be held by 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PAICV 38, MPD 32, UCID 2 |
| Judicial branch: | Supreme Tribunal of Justice or Supremo Tribunal de Justia; Court of Audit; Military Courts; Fiscal and Customs Courts |
| Political parties and leaders: | African Party for Independence of Cape Verde or PAICV [Jose Maria Pereira NEVES, chairman]; Democratic and Independent Cape Verdean Union or UCID [Antonio MONTEIRO]; Democratic Christian Party or PDC [Manuel RODRIGUES]; Democratic Renovation Party or PRD [Victor FIDALGO]; Movement for Democracy or MPD [Jorge SANTOS]; Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO]; Party of Work and Solidarity or PTS [Isaias RODRIGUES]; Social Democratic Party or PSD [Joao ALEM] |
| Political pressure groups and leaders: | other: environmentalists; political pressure groups |
| International organization participation: | ACP, AfDB, AOSIS, AU, CD, CPLP, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Fatima Lima VEIGA |
| Diplomatic representation in the US: | chancery: 3415 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-6820 |
| Diplomatic representation in the US: | FAX: [1] (202) 965-1207 |
| Diplomatic representation in the US: | consulate(s) general: Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador Adrienne O'NEAL |
| Diplomatic representation from the US: | embassy: Rua Abilio Macedo n6, Praia |
| Diplomatic representation from the US: | mailing address: C. P. 201, Praia |
| Diplomatic representation from the US: | telephone: [238] 2-60-89-00 |
| Diplomatic representation from the US: | FAX: [238] 2-61-13-55 |
| Flag description: | five unequal horizontal bands; the top-most band of blue - equal to one half the width of the flag - is followed by three bands of white, red, and white, each equal to 1/12 of the width, and a bottom stripe of blue equal to one quarter of the flag width; a circle of 10, yellow, five-pointed stars is centered on the red stripe and positioned 3/8 of the length of the flag from the hoist side; blue stands for the sea and the sky, the circle of stars represents the 10 major islands united into a nation, the stripes symbolize the road to formation of the country through peace (white) and effort (red) |
| National anthem: | name: "Cantico da Liberdade" (Song of Freedom) |
| National anthem: | lyrics/music: Amilcar Spencer LOPES/Adalberto Higino Tavares SILVA |
| National anthem: | note: adopted 1996 |
